id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,PapersChat,Agentic AI application for retrieving and chatting with scientific papers from ArXiv and PubMed,"PapersChat is an AI agent application designed to assist researchers in literature review and information retrieval. It integrates with scientific databases like ArXiv and PubMed, allowing users to query, summarize, and extract information from research papers through a conversational interface.",AI5;AI5-01,literature_review;information_retrieval,workflow,Python,https://github.com/AstraBert/PapersChat,,MIT,arxiv;pubmed;literature-review;agent
2,Robin,Multi-agent system for automating scientific discovery and experiments,"Robin is a multi-agent system developed by Future House designed to automate the scientific discovery process. It utilizes Large Language Models (LLMs) to plan, execute, and analyze scientific experiments, specifically targeting research in biology and chemistry. It can perform literature reviews, formulate hypotheses, and orchestrate lab automation tasks.",AI5;AI5-01,scientific_discovery;experiment_automation;literature_review,solver,Python,https://github.com/Future-House/robin,,Apache-2.0,agent;scientific-discovery;lab-automation;llm
3,Adala,Autonomous data labeling agent framework,"Adala is an agent framework designed for autonomous data processing, specifically focusing on data labeling tasks. It allows researchers to create agents that can learn from feedback and improve their labeling quality, essential for creating high-quality datasets for scientific machine learning.",AI5;AI5-01,data_labeling;data_processing,library,Python,https://github.com/HumanSignal/Adala,,Apache-2.0,data-labeling;autonomous-agents;dataset-creation
4,PII Masker,AI-powered PII detection and masking tool,"PII Masker utilizes advanced AI models (DeBERTa-v3) to automatically detect and mask Personally Identifiable Information (PII) in datasets. This is critical for processing sensitive scientific data, such as medical records or social science survey data, ensuring privacy compliance.",AI5;AI5-01,data_privacy;data_cleaning,library,Jupyter Notebook,https://github.com/HydroXai/pii-masker,,None,pii-masking;data-privacy;deberta
5,Hephaestus,Semi-structured agentic framework for self-building workflows,"Hephaestus is an agentic framework where workflows are dynamically constructed by agents based on task discovery rather than predefined paths. This adaptive orchestration is valuable for complex, non-linear scientific problem solving where the solution path is not known a priori.",AI5;AI5-01,workflow_orchestration;agent_planning,library,Python,https://github.com/Ido-Levi/Hephaestus,,NOASSERTION,agent-framework;dynamic-workflow;orchestration
6,CommonGround,Platform for building and collaborating with AI agent teams,"CommonGround is an application designed to facilitate the construction, observation, and collaboration of multi-agent teams. It provides a shared environment for agents to interact, which is useful for simulating multi-agent systems or coordinating complex research tasks involving multiple specialized agents.",AI5;AI5-01,multi_agent_collaboration;agent_observation,platform,Python,https://github.com/Intelligent-Internet/CommonGround,,NOASSERTION,multi-agent;collaboration;agent-platform
7,MindSearch,LLM-based multi-agent framework for deep web search,"MindSearch is a multi-agent framework designed to mimic human search behavior for complex information retrieval tasks. It is particularly effective for scientific literature review and information gathering, capable of synthesizing answers from multiple web sources similar to Perplexity.ai but as an open framework.",AI5;AI5-01,information_retrieval;literature_review,library,JavaScript,https://github.com/InternLM/MindSearch,,Apache-2.0,web-search;multi-agent;information-retrieval
8,AGiXT,Dynamic AI agent automation and orchestration platform,"AGiXT is a comprehensive platform for managing and orchestrating AI agents. It supports instruction management, complex task execution, and adaptive memory across various AI providers. In scientific contexts, it serves as a robust infrastructure for building autonomous research assistants and lab automation agents.",AI5;AI5-01,agent_orchestration;workflow_automation,platform,Python,https://github.com/Josh-XT/AGiXT,,MIT,agent-platform;automation;orchestration
9,Agent Service Toolkit,Toolkit for building and deploying AI agent services,"This toolkit provides a complete stack (LangGraph, FastAPI, Streamlit) for developing and deploying AI agent services. It facilitates the creation of robust, service-oriented research agents that can be integrated into larger scientific workflows or accessible via APIs.",AI5;AI5-01,agent_deployment;service_creation,library,Python,https://github.com/JoshuaC215/agent-service-toolkit,,MIT,langgraph;agent-service;deployment
10,JudgeVal,Agent evaluation and post-training framework,"JudgeVal is a framework designed for the post-building layer of agents, focusing on evaluation and monitoring. It provides tools for Reinforcement Learning (RL) and Supervised Fine-Tuning (SFT) based on agent performance, which is crucial for optimizing scientific agents to ensure accuracy and reliability.",AI5;AI5-01,model_evaluation;agent_training,library,Python,https://github.com/JudgmentLabs/judgeval,,Apache-2.0,evaluation;rlhf;agent-monitoring
11,Klavis,Platform for reliable tool integration with AI agents (MCP),"Klavis is a platform that facilitates the integration of tools with AI agents, likely leveraging the Model Context Protocol (MCP). It ensures reliable tool usage at scale, which is essential for scientific agents that need to interact with diverse databases, simulation software, and analysis scripts.",AI5;AI5-01,tool_integration;agent_infrastructure,platform,Python,https://github.com/Klavis-AI/klavis,,Apache-2.0,mcp;tool-use;agent-integration
12,KwaiAgents,Generalized information-seeking agent system,"KwaiAgents is a system designed for information seeking using Large Language Models. It supports the creation of agents capable of retrieving, processing, and synthesizing information, which is directly applicable to scientific literature mining and data gathering tasks.",AI5;AI5-01,information_retrieval;agent_system,library,Python,https://github.com/KwaiKEG/KwaiAgents,,NOASSERTION,information-seeking;llm-agent;search
13,CrewAI-GUI-Qt,Node-based GUI for CrewAI workflow creation,"This tool provides a visual, node-based interface for designing and managing CrewAI agents and workflows. It simplifies the orchestration of complex multi-agent systems, making it easier for researchers to design agentic workflows without deep coding.",AI5;AI5-01,workflow_design;visual_programming,workflow,Python,https://github.com/LangGraph-GUI/CrewAI-GUI-Qt,,MIT,gui;crewai;workflow-editor
14,LazyLLM,Low-code framework for building multi-agent LLM applications,LazyLLM is a framework designed to simplify the construction of multi-agent LLM applications. It provides abstractions that allow researchers to quickly prototype and deploy agent-based solutions for tasks like data analysis or automated reasoning without extensive boilerplate code.,AI5;AI5-01,agent_development;rapid_prototyping,library,Python,https://github.com/LazyAGI/LazyLLM,,Apache-2.0,multi-agent;low-code;llm-framework
