id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,MungeSumstats,Standardisation and quality control tool for GWAS summary statistics,"A package to standardise and perform quality control on Genome-Wide Association Study (GWAS) summary statistics, enabling downstream analysis.",Bioinformatics;Genetics,quality_control;standardization,library,R,https://github.com/Al-Murphy/MungeSumstats,,None,gwas;genetics;quality-control
2,Jupyter_Dock,Interactive molecular docking protocols and visualization workflows,"A set of Jupyter Notebooks serving as a workflow tool for performing molecular docking, visualizing results, and converting file formats interactively.",Chemistry;Drug Discovery,molecular_docking;visualization,workflow,Jupyter Notebook,https://github.com/AngelRuizMoreno/Jupyter_Dock,,MIT,docking;molecular-modeling;jupyter
3,xsmiles,Visualization library for SMILES strings and atom attributions,"A TypeScript library to visualize atom and non-atom attributions on chemical structures defined by SMILES strings, useful for interpretability in chem-AI.",Chemistry;C1-01,visualization;interpretability,library,TypeScript,https://github.com/Bayer-Group/xsmiles,,BSD-3-Clause,smiles;visualization;cheminformatics
4,rdkit-scripts,Collection of utility scripts for RDKit-based cheminformatics tasks,"A set of Python scripts leveraging RDKit to perform common cheminformatics operations, simplifying workflows for chemical data processing.",Chemistry;C1,data_processing;utility,library,Python,https://github.com/DrrDom/rdkit-scripts,,MIT,rdkit;cheminformatics;scripts
5,rdeditor,Simple GUI molecule editor based on RDKit,"A graphical user interface for editing molecular structures using RDKit and PySide, facilitating chemical structure input and modification.",Chemistry;C1,visualization;molecular_editing,solver,Python,https://github.com/EBjerrum/rdeditor,,LGPL-3.0,gui;molecule-editor;rdkit
6,scikit-mol,Scikit-learn compatible molecular vectorization using RDKit,"A library providing scikit-learn compatible transformers for molecular vectorization (fingerprints, descriptors) using RDKit, streamlining ML pipelines in chemistry.",Chemistry;Machine Learning,feature_extraction;molecular_representation,library,Python,https://github.com/EBjerrum/scikit-mol,,LGPL-3.0,scikit-learn;rdkit;molecular-fingerprints
7,wagl,Satellite imagery standardization and analysis ready data (ARD) generation,"A Python library for processing and standardising satellite imagery into Analysis Ready Data (ARD) forms, supporting earth observation research.",Earth Science;Remote Sensing,image_processing;standardization,library,Python,https://github.com/GeoscienceAustralia/wagl,,Apache-2.0,satellite-imagery;remote-sensing;ard
8,standardised-image-reconstruction,Standardised image reconstruction for photoacoustic imaging,A project providing standardised algorithms and tools for image reconstruction in photoacoustic imaging research.,Medical Imaging;Physics,image_reconstruction;standardization,library,Python,https://github.com/IPASC/standardised-image-reconstruction,,MIT,photoacoustic-imaging;reconstruction;ipasc
9,InChI,Official implementation of the IUPAC International Chemical Identifier,"The official C library for generating and processing the IUPAC International Chemical Identifier (InChI), a standard for molecular representation.",Chemistry;C1-01,standardization;molecular_representation,library,C,https://github.com/IUPAC-InChI/InChI,https://www.inchi-trust.org/,MIT,inchi;iupac;standard
10,RInChI,Reaction InChI implementation for chemical reactions,"Implementation of the Reaction InChI (RInChI) standard for representing chemical reactions, extending the InChI identifier system.",Chemistry;C1-01,standardization;reaction_representation,library,C++,https://github.com/IUPAC-InChI/RInChI,,None,rinchi;reaction;inchi
11,InformaticsMatters Pipelines,Containerised components for cheminformatics workflows,"A collection of containerised tools and pipelines for cheminformatics and computational chemistry, facilitating reproducible workflows.",Chemistry;Cheminformatics,workflow;data_processing,workflow,Python,https://github.com/InformaticsMatters/pipelines,,Apache-2.0,containers;pipelines;cheminformatics
12,chemical-converters,Encoder-decoders for translating chemical formats,A Python library providing encoder-decoder models to translate between different chemical file formats and representations.,Chemistry;C1-01,format_conversion;data_processing,library,Python,https://github.com/Knowledgator/chemical-converters,,Apache-2.0,converter;chemical-formats;nlp
13,psikit,Interface bridging Psi4 and RDKit for quantum chemistry,"A Python library that integrates Psi4 (quantum chemistry) and RDKit (cheminformatics), allowing seamless workflows between molecular generation and QM calculations.",Chemistry;Quantum Chemistry,simulation;quantum_calculation,library,Python,https://github.com/Mishima-syk/psikit,,BSD-3-Clause,psi4;rdkit;quantum-chemistry
14,molecule-resolver,Tool to resolve molecular structures from identifiers across databases,A Python tool that automates the resolution of chemical identifiers to structures by querying multiple public databases.,Chemistry;C1-01,retrieval;identification,solver,Python,https://github.com/MoleculeResolver/molecule-resolver,,MIT,resolver;identifiers;database-query
15,ctfile,Parser for chemical table files (CTfile),"A Python package for parsing and handling chemical table files (CTfile) such as Molfile and SDfile, essential for chemical data IO.",Chemistry;C1,parsing;data_io,library,Python,https://github.com/MoseleyBioinformaticsLab/ctfile,,BSD-3-Clause-Clear,parser;molfile;sdfile
16,nfp,Keras layers for molecular deep learning with RDKit and Pymatgen,"A library providing Keras layers and utilities for building end-to-end deep learning models for molecules and materials, integrating with RDKit and Pymatgen.",Chemistry;Materials Science,modeling;machine_learning,library,Python,https://github.com/NREL/nfp,,NOASSERTION,deep-learning;gnn;materials
17,Clipboard-to-SMILES-Converter,Utility to convert clipboard chemical structures to SMILES,"A productivity tool that converts chemical structures copied to the clipboard into SMILES strings, facilitating data entry and interoperability.",Chemistry;C1-01,utility;format_conversion,solver,Python,https://github.com/O-Schilter/Clipboard-to-SMILES-Converter,,MIT,smiles;clipboard;converter
18,RanDepict,Generator for diverse chemical structure depictions,"A utility to generate varied chemical structure depictions with random styles and augmentations, useful for training optical chemical structure recognition (OCSR) models.",Chemistry;C1,visualization;data_augmentation,library,Python,https://github.com/OBrink/RanDepict,,MIT,depiction;ocsr;augmentation
19,JISA,Library for scientific instrument control and experiment automation,"A Java library for standardised instrument control, data handling, and GUI creation, designed for automating physics and engineering experiments.",Physics;Experimental Science,instrument_control;data_acquisition,library,Java,https://github.com/OE-FET/JISA,,AGPL-3.0,instrument-control;automation;visa
20,ccdutils,Utilities for PDB Chemical Component Dictionary,A set of Python tools to process and analyze small molecules from the wwPDB Chemical Component Dictionary using RDKit.,Bioinformatics;Chemistry,data_processing;structural_biology,library,Python,https://github.com/PDBeurope/ccdutils,,Apache-2.0,pdb;chemical-components;rdkit
21,Free-Wilson,Free-Wilson SAR analysis implementation,An implementation of the Free-Wilson method for Structure-Activity Relationship (SAR) analysis using RDKit.,Chemistry;Drug Discovery,analysis;sar,library,Python,https://github.com/PatWalters/Free-Wilson,,MIT,sar;free-wilson;rdkit
22,rd_filters,Structural alert filtering using RDKit and ChEMBL,"A script to filter chemical compounds based on structural alerts (e.g., PAINS, Glaxo) using RDKit and ChEMBL data, essential for library design.",Chemistry;Drug Discovery,filtering;quality_control,solver,Python,https://github.com/PatWalters/rd_filters,,MIT,structural-alerts;filtering;medchem
23,solubility,Implementation of ESOL solubility prediction,An implementation of Delaney's ESOL (Estimated SOLubility) method for predicting aqueous solubility of organic molecules using RDKit.,Chemistry;Property Prediction,prediction;property_estimation,library,Python,https://github.com/PatWalters/solubility,,MIT,solubility;esol;prediction
24,useful_rdkit_utils,Collection of helper functions for RDKit,A library of reusable RDKit utility functions and Jupyter notebook helpers for common cheminformatics tasks.,Chemistry;C1,utility;data_processing,library,Jupyter Notebook,https://github.com/PatWalters/useful_rdkit_utils,,MIT,rdkit;utils;cheminformatics
25,Kaplan,Molecular conformer searching package,"A package for performing conformer searches for molecules, aiding in structural analysis and modeling.",Chemistry;Molecular Modeling,conformer_generation;modeling,library,TeX,https://github.com/PeaWagon/Kaplan,,MIT,conformer-search;molecular-modeling
26,PACKMAN,Protein structure and dynamics analysis package,"A Python package for analyzing protein structures and dynamics, providing an object-oriented interface similar to OpenBabel.",Bioinformatics;Structural Biology,analysis;structural_biology,library,Python,https://github.com/Pranavkhade/PACKMAN,,NOASSERTION,protein-structure;dynamics;bioinformatics
27,ProteinDF,Molecular orbital calculation software for proteins,Canonical Kohn-Sham molecular orbital calculation software optimized for large molecules such as proteins.,Chemistry;Physics,simulation;quantum_calculation,solver,C++,https://github.com/ProteinDF/ProteinDF,,GPL-3.0,dft;molecular-orbital;protein
