id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,meshy,"Library for slicing, measurements, transformations, and visualizations on polygon meshes","A JavaScript library designed for processing and analyzing 3D polygon meshes. It provides functionalities for slicing meshes, performing geometric measurements, applying transformations, and visualizing the results, which are essential operations in computational geometry and 3D data analysis.",D3;D3-01,mesh_processing;geometric_analysis,library,JavaScript,https://github.com/0x00019913/meshy,,MIT,mesh-processing;3d-visualization;geometry
2,CMasher,Scientific colormaps for making accessible and informative plots,A Python library providing a collection of scientific colormaps designed to be perceptually uniform and color-vision deficiency friendly. It aims to improve the accuracy and accessibility of scientific data visualization.,D3;D3-01,visualization_utility;plotting,library,Python,https://github.com/1313e/CMasher,https://cmasher.readthedocs.io,BSD-3-Clause,colormaps;visualization;matplotlib
3,SuGaR,Surface-Aligned Gaussian Splatting for Efficient 3D Mesh Reconstruction,"The official PyTorch implementation of SuGaR, a method for high-quality 3D mesh reconstruction and rendering using Surface-Aligned Gaussian Splatting. It enables efficient creation of 3D models from image data, useful for scientific visualization and digital preservation.",D3;D3-01,3d_reconstruction;rendering,solver,C++,https://github.com/Anttwo/SuGaR,https://anttwo.github.io/sugar/,NOASSERTION,gaussian-splatting;3d-reconstruction;rendering
4,rend3,Customizable and efficient 3D renderer library built on wgpu,"A 3D rendering library written in Rust, built on top of wgpu. It provides a high-level interface for modern graphics APIs, suitable for building scientific visualization applications that require efficient cross-platform rendering.",D3;D3-01,rendering;visualization_engine,library,Rust,https://github.com/BVE-Reborn/rend3,https://docs.rs/rend3,Apache-2.0,renderer;wgpu;rust;3d
5,Babylon.js,Powerful 3D rendering engine for the web,"A comprehensive JavaScript framework for building 3D applications on the web using WebGL and WebGPU. It is widely used in scientific visualization for creating interactive web-based models, simulations, and data visualizations.",D3;D3-01,rendering;visualization_engine,library,TypeScript,https://github.com/BabylonJS/Babylon.js,https://doc.babylonjs.com,Apache-2.0,webgl;3d-engine;visualization
6,BioExplorer,Tool for extracting and analyzing scientific data from visualization,"Developed by the Blue Brain Project, BioExplorer is a tool designed for scientists to extract and analyze data from large-scale scientific visualizations, facilitating interactive exploration of biological simulations.",D3;D3-01,scientific_visualization;data_analysis,application,C++,https://github.com/BlueBrain/BioExplorer,,Apache-2.0,neuroscience;visualization;blue-brain
7,Livre,Large-scale Interactive Volume Rendering Engine,"A volume rendering engine developed by the Blue Brain Project, designed for interactive visualization of large-scale volumetric datasets, commonly found in biomedical research and simulations.",D3;D3-01,volume_rendering;scientific_visualization,library,C++,https://github.com/BlueBrain/Livre,,LGPL-3.0,volume-rendering;visualization;hpc
8,DBiharMesher,Quadrilateral surface mesher for bifurcating vessels,"A specialized meshing tool designed to generate quadrilateral surface meshes for bifurcating vessels, utilizing a biharmonic equation solver. It is useful for computational fluid dynamics (CFD) simulations in bio-medical engineering.",D3;D3-01,mesh_generation;bioinformatics,solver,C++,https://github.com/BlueFern/DBiharMesher,,GPL-2.0,meshing;cfd;biomedical
9,glChAoS.P,3D Strange Attractors and Hypercomplex Fractals explorer,A real-time 3D visualization tool for exploring strange attractors and hypercomplex fractals using GPU acceleration. It allows for the interactive simulation and rendering of millions of particles to visualize chaotic systems.,D3;D3-01,scientific_visualization;chaos_theory,application,C++,https://github.com/BrutPitt/glChAoS.P,https://www.michelemorrone.eu/glchaosp/,BSD-2-Clause,fractals;chaos-theory;visualization;opengl
10,feffery-maplibre,High performance map framework for Plotly Dash,"A component library for Plotly Dash that integrates MapLibre, enabling high-performance, interactive geospatial visualizations within Dash-based scientific data applications.",D3;D3-01,geospatial_visualization;dashboard_component,library,JavaScript,https://github.com/CNFeffery/feffery-maplibre,http://fmaplib.feffery.tech/,MIT,dash;maplibre;geospatial;visualization
