id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,GNN-TableExtraction,Graph Neural Networks based table extraction implementation for PDF documents,"Implementation of the ICPR2022 paper 'Graph Neural Networks and Representation Embedding for table extraction in PDF Documents', providing a deep learning approach to identify and extract tabular structures from scientific PDFs.",G1;G1-01,table_extraction;structure_recognition,solver,Python,https://github.com/AILab-UniFI/GNN-TableExtraction,,NOASSERTION,gnn;table-extraction;pdf-parsing;deep-learning
2,CTE-Dataset,Contextualized Table Extraction Dataset for document analysis,"A dataset designed for the task of contextualized table extraction, supporting the development and benchmarking of models that extract tables along with their surrounding context from documents.",G1;G1-01,table_extraction;dataset_creation,dataset,Python,https://github.com/AILab-UniFI/cte-dataset,,None,dataset;table-extraction;document-analysis
3,PDF_Form_OCR,Table recognition and content extraction tool for PDF files,"A Python-based tool for extracting content and recognizing tables within PDF documents, facilitating the digitization of structured data from scanned or native PDF forms.",G1;G1-01,table_recognition;pdf_extraction,solver,Python,https://github.com/AlsoSprachZarathushtra/PDF_Form_OCR,,Apache-2.0,ocr;table-recognition;pdf-extraction
4,TableNet,Deep learning model for end-to-end table detection and extraction,"An implementation of the TableNet architecture, an end-to-end deep learning model designed to detect tabular regions and recognize table structures (rows and columns) directly from scanned document images.",G1;G1-01,table_detection;structure_recognition,solver,Jupyter Notebook,https://github.com/AmanSavaria1402/TableNet,,None,deep-learning;table-detection;ocr;document-analysis
5,PTC-Mathcad-to-LaTeX-parser,Converter for PTC Mathcad files to LaTeX format,"A Python application that parses PTC Mathcad 15 files and converts the mathematical content into LaTeX, enabling the migration of engineering calculations to scientific publishing formats.",G1;G1-01,format_conversion;latex_generation,solver,Python,https://github.com/ArtificialTruth/PTC-Mathcad-to-LaTeX-parser,,NOASSERTION,mathcad;latex;converter;engineering-tools
6,TableExtractor-Advanced-PDF-Table-Extraction,Advanced PDF table extraction using OCR and image processing,"A Python project leveraging OCR and image processing techniques to extract tabular data from scanned PDF documents, addressing challenges in digitizing unstructured scientific data.",G1;G1-01,table_extraction;ocr,solver,Jupyter Notebook,https://github.com/Baskar-forever/TableExtractor-Advanced-PDF-Table-Extraction,,MIT,pdf;table-extraction;ocr;image-processing
7,GIANT-Dataset,Large-scale synthetic bibliographic reference string dataset and generator,"A massive dataset of 1 billion annotated synthetic bibliographic reference strings, accompanied by scripts to generate tagged XML citation strings, used for training and evaluating citation parsing models.",G1;G1-01,citation_parsing;dataset_creation,dataset,JavaScript,https://github.com/BeelGroup/GIANT-The-1-Billion-Annotated-Synthetic-Bibliographic-Reference-String-Dataset,,MIT,citation-parsing;bibliometrics;dataset;synthetic-data
8,BADLAD,Bengali Document Layout Analysis Dataset,"A dataset specifically designed for document layout analysis of Bengali documents, supporting the development of OCR and layout recognition models for non-Latin scripts.",G1;G1-01,layout_analysis;dataset_creation,dataset,Jupyter Notebook,https://github.com/BengaliAI/BADLAD,,None,document-layout-analysis;dataset;ocr;bengali
9,DocumentLayoutAnalysis,C# resources and algorithms for document layout analysis,"A collection of algorithms and resources for performing document layout analysis (DLA) using C# and PdfPig, including implementations of various page segmentation and reading order detection methods.",G1;G1-01,layout_analysis;page_segmentation,library,C#,https://github.com/BobLd/DocumentLayoutAnalysis,,None,c-sharp;pdfpig;document-layout-analysis;pdf-parsing
10,camelot-sharp,C# port of the Camelot PDF table extraction library,"A C# library for extracting tabular data from PDFs, ported from the popular Python 'Camelot' library, utilizing PdfPig for underlying PDF operations.",G1;G1-01,table_extraction;pdf_parsing,library,C#,https://github.com/BobLd/camelot-sharp,,MIT,c-sharp;table-extraction;pdf;camelot
