id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,PPG,Heart rate estimation from PPG signals using Subspace Decomposition and Kalman filter,"A MATLAB implementation for estimating heart rate from Photoplethysmogram (PPG) signals. It utilizes Subspace Decomposition and Kalman smoothing techniques to process physiological signals, specifically designed for datasets like the 2015 IEEE Signal Processing Cup.",Biomedical;Signal_Processing,signal_processing;estimation,solver,MATLAB,https://github.com/AlessandraGalli/PPG,,GPL-3.0,ppg;heart-rate;kalman-filter;signal-processing
2,aiida-gromacs,AiiDA plugin for GROMACS molecular dynamics simulations,"A plugin for the AiiDA workflow automation engine that interfaces with GROMACS, a widely used molecular dynamics package. It allows users to automate, manage, and reproduce GROMACS simulations within the AiiDA ecosystem.",Materials;Biomolecular_Simulation;M3-01,workflow_automation;molecular_dynamics,workflow,Python,https://github.com/CCPBioSim/aiida-gromacs,,MIT,aiida;gromacs;molecular-dynamics;workflow
3,ChemParse,"Parser for quantum chemistry output files (ORCA, GPAW)","A Python library designed to parse output files from various quantum chemistry software packages, specifically supporting ORCA (.out) and GPAW (.txt) formats. It facilitates the extraction of structured data from computational chemistry logs.",Materials;Chemistry;M3-01,parsing;etl,library,Python,https://github.com/ChemParse/ChemParse,,MIT,parser;orca;gpaw;quantum-chemistry
4,crystmatch,Crystal structure matching analysis for phase transitions,"A tool for enumerating and analyzing crystal-structure matches, specifically focused on solid-solid phase transitions. It aids in understanding structural relationships and transformations in materials science.",Materials;Crystallography;M3-01,structure_analysis;phase_transition,solver,Python,https://github.com/Fangcheng-Wang/crystmatch,,GPL-3.0,crystal-structure;phase-transition;materials-science
5,pymatgen-io-espresso,Pymatgen addon for parsing Quantum ESPRESSO files,"An extension for the pymatgen library dedicated to parsing input and output files from Quantum ESPRESSO, a suite for electronic-structure calculations. It enhances pymatgen's capability to handle QE data for materials informatics.",Materials;M3-01,parsing;etl,library,Python,https://github.com/Griffin-Group/pymatgen-io-espresso,,MIT,pymatgen;quantum-espresso;parser;dft
6,vaspchg_rs,Rust library to parse VASP charge density files (CHGCAR),A high-performance Rust library designed to parse VASP charge density files (CHGCAR). It provides efficient I/O handling for large volumetric data generated by VASP calculations.,Materials;M3-01,parsing;etl,library,Rust,https://github.com/Ionizing/vaspchg_rs,,Apache-2.0,vasp;rust;parser;charge-density
7,wavecar_parser,C++ parser for VASP WAVECAR files,"A C++ library for parsing VASP WAVECAR files, which contain pseudo-wavefunction data. It allows for the extraction of wavefunction coefficients and plotting of pseudo-wavefunctions.",Materials;M3-01,parsing;etl,library,C++,https://github.com/Ionizing/wavecar_parser,,MIT,vasp;wavecar;parser;cpp
8,aiida-fleur,AiiDA plugin for the FLEUR DFT code,"A plugin for the AiiDA workflow manager that interfaces with the FLEUR code (all-electron DFT), enabling high-throughput electronic structure calculations and data provenance tracking.",M3;M3-01,electronic_structure;workflow_management;dft_calculation,workflow,Python,https://github.com/JuDFTteam/aiida-fleur,https://aiida-fleur.readthedocs.io/,NOASSERTION,aiida;dft;fleur;high-throughput
9,aiida-kkr,AiiDA plugin for the JuKKR DFT code,"A plugin for the AiiDA workflow manager that interfaces with the JuKKR code (KKR Green function method), facilitating high-throughput density functional theory calculations.",M3;M3-01,electronic_structure;workflow_management;dft_calculation,workflow,Python,https://github.com/JuDFTteam/aiida-kkr,https://aiida-kkr.readthedocs.io/,MIT,aiida;dft;kkr;green-function
10,Materials-Design-Ontology,Ontology for the Materials Design Domain,"An ontology defining the semantic structure and relationships for the materials design domain, facilitating data interoperability and knowledge representation in materials science.",M3;M3-01,ontology;knowledge_representation;data_standard,dataset,CSS,https://github.com/LiUSemWeb/Materials-Design-Ontology,https://w3id.org/mdo,MIT,ontology;semantic-web;materials-design
