id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,MNE-Preprocessing,Pipeline for EEG artifact reduction and preprocessing based on MNE-Python,"A Python repository providing a step-by-step approach to reduce artifacts from electroencephalographic (EEG) raw data using basic and unanimous approaches, serving as a wrapper or pipeline around MNE-Python functionalities.",N2;N2-01,preprocessing;artifact_removal;denoising,workflow,Jupyter Notebook,https://github.com/AGhaderi/MNE-Preprocessing,,None,eeg;preprocessing;mne;artifact-removal
2,DeepDenoiser,Deep neural network for seismic signal denoising and decomposition,"A deep learning tool designed for the denoising and decomposition of seismic signals, utilizing deep neural networks to separate signal from noise in time-series data, which shares methodological similarities with electrophysiological signal processing.",Earth Science;Seismology,denoising;signal_decomposition,solver,Python,https://github.com/AI4EPS/DeepDenoiser,,MIT,seismic;denoising;deep-learning;signal-processing
3,PyEEGLab,Python library for EEG data analysis and manipulation,"A Python tool designed to analyze and manipulate Electroencephalography (EEG) data, providing functionalities for handling EEG datasets and performing basic analysis tasks.",N2;N2-01,data_analysis;preprocessing,library,Python,https://github.com/AlessioZanga/PyEEGLab,,GPL-3.0,eeg;analysis;python
4,aind-ephys-spikesort-kilosort25-full,CodeOcean capsule for electrophysiology spike sorting pipeline,"A full electrophysiology analysis pipeline using Kilosort2.5 via SpikeInterface, developed by the Allen Institute for Neural Dynamics, designed for automated spike sorting workflows.",N2;N2-01,spike_sorting;pipeline,workflow,Python,https://github.com/AllenNeuralDynamics/aind-ephys-spikesort-kilosort25-full,,MIT,electrophysiology;spike-sorting;kilosort;pipeline
5,ATST-SED,Sound Event Detection model using Audio Spectrogram Transformer,"Official implementation for fine-tuning the pretrained ATST (Audio Spectrogram Transformer) model for sound event detection tasks, applicable in bioacoustics and environmental sound analysis.",Audio;Bioacoustics,event_detection;classification,solver,Jupyter Notebook,https://github.com/Audio-WestlakeU/ATST-SED,,MIT,sound-event-detection;transformer;audio-analysis
6,EEGapp,MATLAB application for automated EEG data analysis,"A MATLAB-based graphical application designed to automate the analysis of EEG data, facilitating preprocessing and feature extraction for researchers.",N2;N2-01,preprocessing;analysis;automation,platform,MATLAB,https://github.com/BIAPT/EEGapp,,None,eeg;matlab;gui;analysis
7,EMS-YOLO,Deep Directly-Trained Spiking Neural Networks for Object Detection,"Implementation of a Spiking Neural Network (SNN) based object detection model (EMS-YOLO), leveraging neuromorphic computing principles for efficient vision tasks.",Neuromorphic Computing;Computer Vision,object_detection;modeling,solver,Python,https://github.com/BICLab/EMS-YOLO,,GPL-3.0,snn;spiking-neural-networks;object-detection;neuromorphic
8,SpikeYOLO,Spike-Driven Inference Spiking Neural Network for Object Detection,"A high-performance and energy-efficient object detection model using integer-valued training and spike-driven inference, contributing to the field of neuromorphic vision.",Neuromorphic Computing;Computer Vision,object_detection;modeling,solver,Python,https://github.com/BICLab/SpikeYOLO,,AGPL-3.0,snn;neuromorphic;object-detection
9,BRAVEHEART,Automated electrocardiographic and vectorcardiographic analysis software,"Open-source software designed for the automated analysis of electrocardiographic (ECG) and vectorcardiographic (VCG) signals, supporting clinical and research applications in cardiology.",Cardiology;Electrophysiology,signal_analysis;diagnosis,platform,MATLAB,https://github.com/BIVectors/BRAVEHEART,,GPL-3.0,ecg;vcg;signal-analysis;matlab
10,Homer3,MATLAB application for fNIRS data processing and visualization,"A widely used MATLAB application for the processing, analysis, and visualization of functional Near-Infrared Spectroscopy (fNIRS) data, enabling hemodynamic response estimation.",Neuroimaging;fNIRS,preprocessing;visualization;analysis,platform,MATLAB,https://github.com/BUNPC/Homer3,https://github.com/BUNPC/Homer3/wiki,None,fnirs;neuroimaging;matlab;signal-processing
11,bemobil-pipeline,Pipeline for mobile brain/body imaging (MoBI) data analysis,"A MATLAB toolbox that wraps EEGLAB and MOBILAB functionalities to provide a streamlined pipeline for analyzing and visualizing mobile brain/body imaging data, handling synchronization and artifact removal.",N2;N2-01,preprocessing;analysis;visualization,workflow,MATLAB,https://github.com/BeMoBIL/bemobil-pipeline,,GPL-3.0,mobi;eeg;motion-capture;pipeline
12,csc-eeg-tools,MATLAB functions for EEG IO and preprocessing,"A collection of MATLAB functions for EEG input/output, preprocessing, and analysis, developed by the Center for Sleep and Consciousness at the University of Wisconsin.",N2;N2-01,preprocessing;io;analysis,library,MATLAB,https://github.com/CSC-UW/csc-eeg-tools,,None,eeg;matlab;sleep-research
13,CereLink,Interface library for Blackrock Neurotech Neural Signal Processors,"A C++ library and interface for communicating with Blackrock Neurotech's Cerebus Neural Signal Processors, facilitating real-time neural data acquisition and processing.",N2;N2-01,data_acquisition;interface,library,C++,https://github.com/CerebusOSS/CereLink,,BSD-2-Clause,bci;neural-interface;blackrock;data-acquisition
14,ECGI_GAN,GAN-based denoising for Electrocardiographic Imaging (ECGI),"A deep learning model applying Generative Adversarial Networks (GANs) to denoise Electrocardiographic Imaging (ECGI) signals, improving signal quality for cardiac analysis.",Cardiology;Electrophysiology,denoising;reconstruction,solver,Python,https://github.com/ChunCun/ECGI_GAN,,None,ecgi;gan;denoising;deep-learning
15,DESED_task,Baseline and tools for Domestic Environment Sound Event Detection,"The official repository for the DCASE Domestic Environment Sound Event Detection (DESED) task, providing baseline systems, data preparation scripts, and evaluation tools for sound event detection research.",Audio;Bioacoustics,event_detection;benchmarking,workflow,Python,https://github.com/DCASE-REPO/DESED_task,http://dcase.community/,MIT,dcase;sound-event-detection;baseline;audio
16,dcase_util,Utilities for Detection and Classification of Acoustic Scenes and Events,"A collection of utility functions and classes for working with audio data in the context of Detection and Classification of Acoustic Scenes and Events (DCASE), supporting data handling, feature extraction, and evaluation.",Audio;Bioacoustics,analysis;feature_extraction;evaluation,library,Python,https://github.com/DCASE-REPO/dcase_util,https://dcase-repo.github.io/dcase_util/,MIT,audio;dcase;signal-processing;classification
