id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,LB-t,Multi-threaded object-oriented Lattice-Boltzmann CFD solver,"A multi-threaded object-oriented computational fluid dynamics (CFD) code for three-dimensional incompressible fluid flow using the Lattice-Boltzmann method (LBM). It supports general lattices (D2Q9, D3Q15, D3Q19, D3Q27) and is implemented in C++17 with OpenMP parallelization.",P2;P2-01,cfd_simulation;fluid_dynamics,solver,C++,https://github.com/2b-t/LB-t,,MIT,cfd;lbm;lattice-boltzmann;fluid-dynamics
2,EDGE,Extreme-scale Discontinuous Galerkin Environment for PDE simulations,EDGE (Extreme-scale Discontinuous Galerkin Environment) is a solver environment designed for high-performance solving of partial differential equations using the Discontinuous Galerkin method.,P2;P2-01,pde_solver;numerical_simulation,solver,C++,https://github.com/3343/edge,,None,discontinuous-galerkin;pde;hpc;simulation
3,fedoo,Python library for finite element analysis,"A finite element library implemented in Python, designed for solving physical problems using the Finite Element Method (FEM).",P2;P2-01,finite_element_analysis;structural_mechanics,library,Python,https://github.com/3MAH/fedoo,,GPL-3.0,fem;finite-element;python;simulation
4,4C,Comprehensive Multiphysics Simulation Framework,4C is a comprehensive multiphysics simulation framework designed to handle complex coupled physical phenomena.,P2;P2-01,multiphysics_simulation;coupled_problems,framework,C++,https://github.com/4C-multiphysics/4C,,LGPL-3.0,multiphysics;simulation;framework;cpp
5,GalerkinSparseGrids.jl,Sparse Grid Discretization with Discontinuous Galerkin for PDEs,A Julia library implementing Sparse Grid Discretization with the Discontinuous Galerkin Method for solving Partial Differential Equations (PDEs).,P2;P2-01,pde_solver;numerical_methods,library,Julia,https://github.com/ABAtanasov/GalerkinSparseGrids.jl,,NOASSERTION,julia;pde;discontinuous-galerkin;sparse-grids
6,M2PDE,Compositional Generative Multiphysics and Multi-component PDE Simulation,"Implementation of M2PDE, a compositional generative model for multiphysics and multi-component PDE simulations, as presented at ICML 2025.",P2;P2-01,pde_simulation;generative_modeling,solver,Jupyter Notebook,https://github.com/AI4Science-WestlakeU/M2PDE,,MIT,ai4science;pde;generative-model;multiphysics
7,hexed,Discontinuous Galerkin CFD solver with automated meshing,"A discontinuous Galerkin Computational Fluid Dynamics (CFD) solver featuring automated, unstructured quad/hex meshing capabilities.",P2;P2-01,cfd_solver;mesh_generation,solver,C++,https://github.com/ARTLab-GT/hexed,,MIT,cfd;discontinuous-galerkin;meshing;cpp
8,DLBFoam,Dynamic load balancing model for OpenFOAM,An open-source dynamic load balancing model designed for fast reacting flow simulations within the OpenFOAM environment.,P2;P2-01,load_balancing;cfd_simulation,library,C,https://github.com/Aalto-CFD/DLBFoam,,GPL-3.0,openfoam;cfd;load-balancing;hpc
9,DNSLABIB,CFD code for energy conversion simulations,A Computational Fluid Dynamics (CFD) code developed by the Energy Conversion Group at Aalto University for simulating fluid flows.,P2;P2-01,cfd_simulation;fluid_dynamics,solver,MATLAB,https://github.com/Aalto-CFD/DNSLABIB,,GPL-3.0,cfd;matlab;fluid-simulation
10,flowTorch,Library for analysis and reduced-order modeling of fluid flows,"A Python library designed for the analysis and reduced-order modeling (ROM) of fluid flow data, integrating with PyTorch.",P2;P2-01,flow_analysis;reduced_order_modeling,library,Python,https://github.com/AndreWeiner/flowtorch,,GPL-3.0,fluid-dynamics;rom;machine-learning;python
11,AIDAmri,Atlas-based Imaging Data Analysis Pipeline for Mouse MRI,"A pipeline for the analysis of structural and functional MRI data of the mouse brain, utilizing atlas-based methods.",P2,image_analysis;mri_processing,workflow,Python,https://github.com/Aswendt-Lab/AIDAmri,,GPL-3.0,mri;neuroscience;image-analysis;pipeline
