id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,EvoloPy,Toolbox for classical and recent nature-inspired metaheuristic optimization,"A Python toolbox that provides a wide range of classical and nature-inspired metaheuristic algorithms for global optimization problems, facilitating comparative studies and application to scientific optimization tasks.",R2;R2-01,global_optimization;metaheuristics,library,Python,https://github.com/7ossam81/EvoloPy,,Apache-2.0,optimization;metaheuristics;evolutionary-algorithms
2,AI4SIM model-collection,Deep learning surrogate models for physical processes,"A collection of PyTorch Lightning pipelines and models designed to act as surrogates for various physical processes, enabling accelerated simulation and analysis in scientific use-cases.",R2;R2-01,surrogate_modeling;simulation,library,Python,https://github.com/AI4SIM/model-collection,,Apache-2.0,surrogate-model;physics-simulation;deep-learning
3,LE-PDE-UQ,Uncertainty quantification for PDE surrogate models,"A framework that endows deep learning-based surrogate models with robust and efficient uncertainty quantification capabilities, specifically tailored for forward and inverse partial differential equation (PDE) problems.",R2;R2-01,uncertainty_quantification;pde_solving,solver,Jupyter Notebook,https://github.com/AI4Science-WestlakeU/le-pde-uq,,MIT,pde;uncertainty-quantification;surrogate-model
4,BayesNewton,Gaussian process library in JAX using Newton's method,"A Gaussian process library built on JAX that provides a unifying view of approximate Bayesian inference as variants of Newton's method, enabling efficient probabilistic modeling.",R2;R2-01,bayesian_inference;gaussian_processes,library,Python,https://github.com/AaltoML/BayesNewton,,Apache-2.0,jax;gaussian-processes;bayesian-inference
5,kalman-jax,Approximate inference for Markov Gaussian processes in JAX,"A library for performing approximate inference in Markov Gaussian processes using iterated Kalman smoothing, implemented in JAX for high-performance probabilistic modeling.",R2;R2-01,bayesian_inference;gaussian_processes,library,Jupyter Notebook,https://github.com/AaltoML/kalman-jax,,Apache-2.0,jax;kalman-filter;gaussian-processes
6,ExpensiveOptimBenchmark,Benchmark for surrogate-based optimization algorithms,"A benchmarking suite designed for evaluating surrogate-based optimization algorithms on expensive black-box functions, facilitating the comparison and development of optimization strategies.",R2;R2-01,benchmarking;optimization,library,Python,https://github.com/AlgTUDelft/ExpensiveOptimBenchmark,,MIT,benchmark;black-box-optimization;surrogate-optimization
7,ParBayesianOptimization,Parallelizable Bayesian Optimization in R,"An R package for performing Bayesian Optimization with support for parallel execution, enabling efficient hyperparameter tuning and optimization of expensive functions.",R2;R2-01,bayesian_optimization;hyperparameter_tuning,library,R,https://github.com/AnotherSamWilson/ParBayesianOptimization,https://cran.r-project.org/package=ParBayesianOptimization,None,r-package;bayesian-optimization;parallel-computing
8,Axelrod,Research tool for the Iterated Prisoner's Dilemma,"A Python library for conducting research on the Iterated Prisoner's Dilemma, providing a framework to create tournaments and analyze strategies in evolutionary game theory.",R2;R2-01,simulation;game_theory,library,Python,https://github.com/Axelrod-Python/Axelrod,https://axelrod.readthedocs.io/,NOASSERTION,game-theory;simulation;evolutionary-dynamics
9,PlatEMO,Evolutionary multi-objective optimization platform,"A MATLAB-based platform for evolutionary multi-objective optimization, providing a comprehensive collection of algorithms and test problems for research and application.",R2;R2-01,multi_objective_optimization;evolutionary_algorithms,platform,MATLAB,https://github.com/BIMK/PlatEMO,,None,matlab;multi-objective-optimization;evolutionary-computation
10,VOPy,Framework for Black-box Vector Optimization,"A Python framework designed for black-box vector optimization problems, providing tools and algorithms to handle multi-objective optimization tasks where gradients are unavailable.",R2;R2-01,vector_optimization;black_box_optimization,library,Python,https://github.com/Bilkent-CYBORG/VOPy,,MIT,vector-optimization;multi-objective;black-box
