id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,hamiltorch,PyTorch-based library for Riemannian Manifold Hamiltonian Monte Carlo (RMHMC) and Bayesian inference,A library enabling Hamiltonian Monte Carlo (HMC) and Riemannian Manifold HMC (RMHMC) sampling for Bayesian Neural Networks and general probabilistic models within the PyTorch framework.,X1;X1-01,inference;modeling,library,Python,https://github.com/AdamCobb/hamiltorch,,BSD-2-Clause,bayesian-inference;hmc;pytorch;uncertainty-quantification
2,BCUS,"Bayesian Calibration, Uncertainty, and Sensitivity analysis for OpenStudio building energy models","A Ruby-based tool developed by Argonne National Laboratory for performing Bayesian calibration, uncertainty quantification, and sensitivity analysis specifically for OpenStudio building energy models.",X1;X1-01;Energy,calibration;uncertainty_quantification;sensitivity_analysis,tool,Ruby,https://github.com/Argonne-National-Laboratory/BCUS,,NOASSERTION,energy-modeling;bayesian-calibration;openstudio
3,FOQUS,Framework for Optimization and Quantification of Uncertainty and Surrogates,"A Python framework developed by the CCSI Toolset for advanced simulation-based optimization, uncertainty quantification, and surrogate modeling, primarily for carbon capture and energy systems.",X1;X1-01;Chemistry;Energy,optimization;uncertainty_quantification;surrogate_modeling,platform,Python,https://github.com/CCSI-Toolset/FOQUS,,NOASSERTION,optimization;uncertainty-quantification;surrogate-models;ccsi
4,EnsembleKalmanProcesses.jl,Julia library for Ensemble Kalman Inversion and uncertainty quantification,A Julia library from the Climate Modeling Alliance (CliMA) implementing Ensemble Kalman Processes for gradient-free optimization and approximate uncertainty quantification in scientific problems.,X1;X1-01;Climate,calibration;uncertainty_quantification;optimization,library,Julia,https://github.com/CliMA/EnsembleKalmanProcesses.jl,,Apache-2.0,julia;kalman-filter;uncertainty-quantification;climate-modeling
5,pyvale,"Package for sensor simulation, uncertainty quantification, and validation","A virtual engineering laboratory package designed for sensor simulation, optimal sensor placement, and uncertainty quantification in validation experiments.",X1;X1-01;Engineering,simulation;uncertainty_quantification;experimental_design,library,C++,https://github.com/Computer-Aided-Validation-Laboratory/pyvale,,MIT,sensor-simulation;uncertainty-quantification;validation
6,net:cal,Calibration framework for measuring and mitigating miscalibration in neural networks,"A Python library dedicated to measuring and mitigating uncertainty miscalibration in deep learning models, providing various calibration methods and metrics.",X1;X1-01,calibration;uncertainty_quantification,library,Python,https://github.com/EFS-OpenSource/calibration-framework,,Apache-2.0,calibration;uncertainty-estimation;neural-networks
7,torch-uncertainty,Framework for uncertainty quantification in PyTorch models,An open-source PyTorch library designed to facilitate the development and evaluation of uncertainty quantification methods in deep learning models.,X1;X1-01,uncertainty_quantification;modeling,library,Python,https://github.com/ENSTA-U2IS-AI/torch-uncertainty,,Apache-2.0,pytorch;uncertainty-quantification;deep-learning
8,pyroms,Python tools for the Regional Ocean Modeling System (ROMS),"A collection of Python tools for pre- and post-processing data for the Regional Ocean Modeling System (ROMS), facilitating oceanographic simulations.",Oceanography,simulation;data_processing,library,Python,https://github.com/ESMG/pyroms,,NOASSERTION,ocean-modeling;roms;simulation
9,emukit,"Toolbox for decision making, uncertainty quantification and statistical emulation","A highly adaptable Python toolkit for enriching decision-making with uncertainty quantification, supporting multi-fidelity modeling, Bayesian optimization, and experimental design.",X1;X1-01,uncertainty_quantification;emulation;optimization,library,Python,https://github.com/EmuKit/emukit,,Apache-2.0,bayesian-optimization;uncertainty-quantification;emulation;experimental-design
10,Ensemble-Conformalized-Quantile-Regression,Valid and adaptive prediction intervals for probabilistic time series forecasting,A Python implementation of Ensemble Conformalized Quantile Regression (EnsembleCQR) for generating valid and adaptive prediction intervals in time series forecasting.,X1;X1-01,uncertainty_quantification;time_series_forecasting,solver,Jupyter Notebook,https://github.com/FilippoMB/Ensemble-Conformalized-Quantile-Regression,,MIT,conformal-prediction;time-series;quantile-regression
11,GEEConformal,Conformal prediction library for Google Earth Engine,"A library that brings conformal prediction capabilities to Google Earth Engine, enabling uncertainty quantification for remote sensing and geospatial data analysis.",X1;X1-01,uncertainty_quantification;remote_sensing,library,Jupyter Notebook,https://github.com/Geethen/GEEConformal,,MIT,google-earth-engine;conformal-prediction;geospatial
12,Probabilistic-Backpropagation,Implementation of Probabilistic Backpropagation for Bayesian neural networks,A reference implementation of the Probabilistic Backpropagation (PBP) method for scalable Bayesian inference in deep neural networks.,X1;X1-01,bayesian_inference;probabilistic_modeling,library,C,https://github.com/HIPS/Probabilistic-Backpropagation,,BSD-3-Clause,bayesian-neural-networks;probabilistic-backpropagation;inference
13,torchbnn,PyTorch library for Bayesian Neural Networks,"A Python library that provides implementations of Bayesian Neural Networks (BNN) for PyTorch, including Bayes By Backprop and other inference methods.",X1;X1-01,probabilistic_modeling;uncertainty_quantification,library,Python,https://github.com/Harry24k/bayesian-neural-network-pytorch,,MIT,pytorch;bayesian-neural-networks;bnn
14,HumBugDB,Acoustic mosquito detection dataset and Bayesian Neural Network models,"A repository containing code and models for acoustic mosquito detection using Bayesian Neural Networks, associated with the HumBugDB dataset.",X1;X1-01,bioacoustics;classification;uncertainty_quantification,dataset,Jupyter Notebook,https://github.com/HumBug-Mosquito/HumBugDB,,MIT,mosquito-detection;bayesian-neural-networks;bioacoustics
15,UQ360,Uncertainty Quantification 360 toolkit,"An extensible open-source toolkit by IBM to estimate, communicate, and use uncertainty in machine learning model predictions, providing a comprehensive set of UQ algorithms and metrics.",X1;X1-01,uncertainty_quantification;model_evaluation,library,Python,https://github.com/IBM/UQ360,https://ibm.github.io/UQ360/,Apache-2.0,uncertainty-quantification;machine-learning;trustworthy-ai
16,snowline,Tool for fast model fitting and comparison,"A Python tool designed to fit and compare complex models quickly using techniques like Laplace Approximation, Variational Bayes, and Importance Sampling.",X1;X1-01,model_fitting;bayesian_inference;model_comparison,solver,Python,https://github.com/JohannesBuchner/snowline,,NOASSERTION,model-fitting;bayesian;inference
17,ApproximateGPs.jl,Approximate Gaussian Processes in Julia,"A Julia library for approximate inference in Gaussian Processes, supporting sparse variational inducing point approximations and Laplace approximation.",X1;X1-01,probabilistic_modeling;gaussian_processes,library,Julia,https://github.com/JuliaGaussianProcesses/ApproximateGPs.jl,,NOASSERTION,julia;gaussian-processes;variational-inference
18,ConformalPrediction.jl,Conformal Prediction for Julia,"A Julia package for predictive uncertainty quantification through Conformal Prediction, designed to work with machine learning models trained in MLJ.",X1;X1-01,uncertainty_quantification;conformal_prediction,library,Julia,https://github.com/JuliaTrustworthyAI/ConformalPrediction.jl,,MIT,julia;conformal-prediction;uq
19,LaplaceRedux.jl,Laplace Approximation for Flux.jl neural networks,A Julia library enabling effortless Bayesian Deep Learning through Laplace Approximation for neural networks built with Flux.jl.,X1;X1-01,bayesian_deep_learning;laplace_approximation,library,Julia,https://github.com/JuliaTrustworthyAI/LaplaceRedux.jl,,MIT,julia;bayesian-deep-learning;laplace-approximation
20,UncertaintyQuantification.jl,Uncertainty Quantification framework for Julia,"A Julia library providing a framework for uncertainty quantification, including methods for reliability analysis, sensitivity analysis, and metamodeling.",X1;X1-01,uncertainty_quantification;sensitivity_analysis,library,Julia,https://github.com/JuliaUQ/UncertaintyQuantification.jl,,MIT,julia;uq;reliability-analysis
21,nlp-uncertainty-zoo,Model zoo for uncertainty quantification in NLP,A PyTorch library providing implementations of various uncertainty quantification methods specifically tailored for Natural Language Processing tasks.,X1;X1-01,uncertainty_quantification;nlp,library,Python,https://github.com/Kaleidophon/nlp-uncertainty-zoo,,NOASSERTION,nlp;uncertainty-quantification;pytorch
22,Pyroomacoustics,A comprehensive python package for audio signal processing and room acoustics simulation,Pyroomacoustics is a software package aimed at the rapid development and testing of audio array processing algorithms. It provides a simulation engine for room acoustics (using the image source method) and implements various beamforming and source separation algorithms.,Acoustics;Signal_Processing,simulation;beamforming;signal_processing,library,Python,https://github.com/LCAV/pyroomacoustics,https://pyroomacoustics.readthedocs.io/,MIT,acoustics;simulation;beamforming;audio-processing
23,Brancher,A user-centered Python library for differentiable probabilistic programming and variational inference,"Brancher is a python library for stochastic variational inference and differentiable probabilistic programming. It is designed to be user-friendly and allows for the definition of probabilistic models using a clean and intuitive syntax, leveraging PyTorch for automatic differentiation.",Probabilistic_Programming;X1,variational_inference;probabilistic_modeling;bayesian_inference,library,Python,https://github.com/LucaAmbrogioni/Brancher,,MIT,probabilistic-programming;variational-inference;pytorch;bayesian
24,DeepProbLog,A neuro-symbolic framework integrating probabilistic logic programming with deep learning,"DeepProbLog extends ProbLog to integrate Probabilistic Logic Programming with deep learning. It allows for the definition of probabilistic logic models where some probabilities are parameterized by neural networks, enabling neuro-symbolic learning and reasoning.",Logic_Programming;Neuro_Symbolic_AI;X1,probabilistic_reasoning;neuro_symbolic_learning;modeling,library,Python,https://github.com/ML-KULeuven/deepproblog,https://deepproblog.readthedocs.io/,Apache-2.0,neuro-symbolic;problog;probabilistic-logic;deep-learning
25,Deep4Cast,A toolkit for probabilistic multivariate time series forecasting,"Deep4Cast is a library for probabilistic multivariate time series forecasting using deep learning. It provides a unified interface for training and evaluating various deep learning models for forecasting tasks, with a focus on uncertainty quantification.",Time_Series;X1,forecasting;uncertainty_quantification;time_series_analysis,library,Python,https://github.com/MSRDL/Deep4Cast,,BSD-3-Clause,time-series;forecasting;probabilistic-modeling;deep-learning
26,UNIQUE,Benchmarking library for uncertainty estimation in machine learning,UNIQUE is a Python library designed for benchmarking uncertainty estimation and quantification methods for Machine Learning model predictions. It provides a standardized framework to evaluate the quality of uncertainty estimates.,X1;Machine_Learning,benchmarking;uncertainty_estimation;evaluation,library,Python,https://github.com/Novartis/UNIQUE,,BSD-3-Clause,uncertainty-quantification;benchmarking;metrics;machine-learning
27,PaddleTS,Comprehensive deep time series modeling library based on PaddlePaddle,"PaddleTS is an easy-to-use deep time series modeling library based on PaddlePaddle. It includes modules for data loading, analysis, transformation, and modeling, supporting tasks such as time series forecasting, representation learning, and anomaly detection.",Time_Series;X1,forecasting;anomaly_detection;representation_learning;time_series_analysis,library,Python,https://github.com/PaddlePaddle/PaddleTS,https://paddlets.readthedocs.io/,Apache-2.0,time-series;paddlepaddle;forecasting;deep-learning
