id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,omnipkg,Python package and interpreter version manager wrapper for conda-forge,"A tool that simplifies the management of Python environments and packages using conda-forge, allowing for conflict-free installation of infinite package and interpreter versions.",AI6;AI6-01,environment_management;dependency_resolution,tool,Python,https://github.com/1minds3t/omnipkg,,NOASSERTION,conda;python;package-management
2,distrobox,Container wrapper to run any Linux distribution inside the terminal,"A tool that uses Podman or Docker to create containers using the Linux distribution of choice, enabling reproducible environments and backward/forward compatibility for scientific software on HPC or personal workstations.",AI6;AI6-01,environment_management;containerization,tool,Shell,https://github.com/89luca89/distrobox,https://distrobox.it,GPL-3.0,linux;container;podman;docker;hpc
3,lilipod,Simple container manager for OCI images,"A lightweight container manager capable of downloading, unpacking, and using OCI images, serving as a minimal runtime for containerized scientific workflows.",AI6;AI6-01,container_management;runtime,tool,Go,https://github.com/89luca89/lilipod,,GPL-3.0,container;oci;sandbox
4,ACCESS-OM2,Global coupled ocean-sea ice model,"The ACCESS Ocean-Sea Ice Model (ACCESS-OM2), a global coupled model used for climate research and oceanography simulations.",AI4S;Earth Science,simulation;climate_modeling,solver,Fortran,https://github.com/ACCESS-NRI/ACCESS-OM2,https://access-om2.readthedocs.io/,Apache-2.0,oceanography;climate-model;simulation
5,mSSA,Multivariate Singular Spectrum Analysis for time series,An implementation of Multivariate Singular Spectrum Analysis (mSSA) for forecasting and imputation of multivariate time series data.,AI4S;Data Analysis,time_series_analysis;forecasting;imputation,library,Jupyter Notebook,https://github.com/AbdullahO/mSSA,,Apache-2.0,time-series;forecasting;statistics
6,Covalent,Workflow orchestration tool for HPC and quantum computing,"A Pythonic tool for orchestrating machine learning, high-performance computing (HPC), and quantum computing workflows across heterogeneous compute environments.",AI6;AI6-01,workflow_orchestration;distributed_computing,platform,Python,https://github.com/AgnostiqHQ/covalent,https://covalent.readthedocs.io/,Apache-2.0,workflow;hpc;quantum-computing;orchestration
7,Batch Shipyard,HPC and Batch workload management on Azure,"A tool to simplify deploying and managing High Performance Computing (HPC) and Batch workloads on Azure, supporting Docker and Singularity containers.",AI6;AI6-01,job_scheduling;cloud_hpc,platform,Python,https://github.com/Azure/batch-shipyard,https://batch-shipyard.readthedocs.io/,MIT,azure;hpc;batch-processing;docker
8,cyclecloud-singularity,Singularity container support for Azure CycleCloud,"A project enabling the use of Singularity containers within HPC clusters managed by Azure CycleCloud, facilitating reproducible scientific workflows in the cloud.",AI6;AI6-01,environment_management;cloud_hpc,tool,Ruby,https://github.com/Azure/cyclecloud-singularity,,MIT,azure;singularity;hpc
9,HPK,Kubernetes to Slurm/Singularity translator for HPC,A tool that allows running Kubernetes applications within HPC environments by translating deployments to Slurm jobs and Singularity/Apptainer containers.,AI6;AI6-01,workload_management;container_orchestration,tool,Go,https://github.com/CARV-ICS-FORTH/HPK,,Apache-2.0,kubernetes;slurm;hpc;singularity
10,KNoC,Kubernetes Virtual Kubelet for HPC clusters,"A Kubernetes Virtual Kubelet implementation that uses an HPC cluster as the container execution environment, bridging cloud-native and HPC workflows.",AI6;AI6-01,workload_management;resource_scheduling,tool,Go,https://github.com/CARV-ICS-FORTH/knoc,,Apache-2.0,kubernetes;hpc;virtual-kubelet
11,hpc-container-wrapper,Wrapper for HPC container installations,"A tool designed to wrap software installations into containers specifically for use on HPC systems, simplifying deployment and execution.",AI6;AI6-01,containerization;deployment,tool,Shell,https://github.com/CSCfi/hpc-container-wrapper,,MIT,hpc;container;wrapper
12,jupyter_environment_kernels,Jupyter plugin for Conda/Virtualenv kernel detection,"A Jupyter plugin that enables automatic detection and management of Conda and virtualenv environments as kernels, facilitating reproducible scientific computing in notebooks.",AI6;AI6-01,environment_management;interactive_computing,tool,Python,https://github.com/Cadair/jupyter_environment_kernels,,BSD-2-Clause,jupyter;conda;virtualenv;python
13,VR-Caps,Virtual environment for capsule endoscopy simulation,"A virtual reality environment for simulating active capsule endoscopy, used for training and testing control algorithms and medical analysis.",AI4S;Medical Physics,simulation;medical_imaging,platform,C#,https://github.com/CapsuleEndoscope/VirtualCapsuleEndoscopy,,NOASSERTION,simulation;medical;virtual-reality;endoscopy
14,ChangeMamba,Remote sensing change detection model,A Spatio-Temporal State Space Model (Mamba) based approach for change detection in remote sensing imagery.,AI4S;Remote Sensing,image_analysis;change_detection,solver,Python,https://github.com/ChenHongruixuan/ChangeMamba,,Apache-2.0,remote-sensing;deep-learning;mamba;change-detection
15,ZigMa,Mamba-based diffusion model,"Implementation of 'ZigMa: A DiT-Style Mamba-based Diffusion Model', a generative model architecture for scientific or general image synthesis.",AI4S;Deep Learning,generative_modeling;image_synthesis,solver,Python,https://github.com/CompVis/zigma,,Apache-2.0,diffusion-model;mamba;deep-learning
16,COVIDStrategyCalculator,Epidemiological strategy assessment tool,"A standalone software tool to assess testing and quarantine strategies for COVID-19 management, supporting contact tracing and isolation logic.",AI4S;Epidemiology,simulation;policy_analysis,tool,C++,https://github.com/CovidStrategyCalculator/COVIDStrategyCalculator,https://covidstrategycalculator.github.io/,LGPL-3.0,epidemiology;simulation;covid-19
17,mach-nix,Tool to create highly reproducible Python environments using Nix,"A tool that simplifies the creation of reproducible Python environments by leveraging the Nix package manager, solving complex dependency management issues in scientific computing.",AI6;AI6-01,environment_management;reproducibility,solver,Python,https://github.com/DavHau/mach-nix,,MIT,python;nix;reproducibility;environment-manager
18,cotainr,User-space Apptainer/Singularity container builder for HPC,A tool designed for High Performance Computing (HPC) users to build Apptainer/Singularity containers in user space without requiring privileged access.,AI6;AI6-01,container_build;hpc_deployment,workflow,Python,https://github.com/DeiC-HPC/cotainr,,EUPL-1.2,hpc;apptainer;singularity;container-builder
19,e4s-alc,Tool for customizing E4S container images,"E4S à la carte (e4s-alc) is a tool that enables users to customize container images by adding system packages and Spack packages, facilitating the creation of tailored HPC environments.",AI6;AI6-01,container_customization;image_generation,workflow,Python,https://github.com/E4S-Project/e4s-alc,,MIT,hpc;e4s;container;spack
20,e4s-cl,Container launcher and manager for E4S HPC applications,"A tool designed to simplify the launch of MPI applications inside containers on HPC systems, handling library injection and inter-node communication transparently.",AI6;AI6-01,job_launching;mpi_runtime,platform,Python,https://github.com/E4S-Project/e4s-cl,,MIT,hpc;mpi;container-runtime;e4s
21,LvArray,C++ template library for portable HPC array data structures,A C++ library providing performance-portable array data structures and utilities designed for scientific simulations on HPC architectures (developed by GEOS-DEV).,AI6;HPC,data_structure;scientific_computing,library,C++,https://github.com/GEOS-DEV/LvArray,,BSD-3-Clause,hpc;c++;array-manipulation;scientific-simulation
22,nd-Mamba2-torch,N-dimensional Mamba2 implementation in PyTorch,"A PyTorch library implementing the Mamba2 state space model with support for multi-dimensional data (1D/2D/3D), enabling the application of SSMs to scientific modeling tasks like vision or volumetric analysis.",AI-Model;Scientific-Modeling,modeling;deep_learning,library,Python,https://github.com/Human9000/nd-Mamba2-torch,,None,pytorch;mamba;state-space-models;scientific-ml
23,kube-mpi,MPI operator and runtime for HPC workloads on Kubernetes,"A prototype enabling High Performance Computing (HPC) developers to deploy stateful MPI-based applications (simulation, distributed deep learning) on container orchestration platforms like Kubernetes.",AI6;AI6-01,hpc_scheduling;distributed_computing,platform,Python,https://github.com/IBM/kube-mpi,,None,mpi;kubernetes;hpc;distributed-training
