id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,tile-cutter,Tool to cut images into map tiles using the pyramid model,"A utility to cut large images into small tiles based on the pyramid model, supporting Web Mercator and Latitude/Longitude projections for map display.",E1;E1-01,data_processing;visualization,library,Python,https://github.com/1993hzw/tile-cutter,,None,tiles;map-processing;pyramid-model
2,fisheye_lidar_calibration,Calibration method for fisheye camera and LIDAR coordinate transformation,"Implements a method to calibrate the extrinsic parameters and coordinate transformation between a fisheye camera and a LIDAR sensor, useful for multi-sensor fusion.",E1,calibration;data_alignment,solver,Python,https://github.com/ARVCUMH/fisheye_lidar_calibration,,None,lidar;calibration;fisheye-camera
3,PySUS,Library to access and analyze Brazilian public health (SUS) data,"A Python library designed to download, clean, and analyze openly available datasets from the Brazilian Unified Health System (SUS), facilitating epidemiological research.",Medical;Public_Health,data_acquisition;data_cleaning,library,Python,https://github.com/AlertaDengue/PySUS,,GPL-3.0,public-health;epidemiology;data-access
4,MapTilesDownloader,Utility to download map tiles from various providers,"A Python-based tool for downloading map tiles from tile servers, useful for creating offline maps or acquiring raster data for analysis.",E1;E1-01,data_acquisition,library,Python,https://github.com/AliFlux/MapTilesDownloader,,MIT,map-tiles;downloader;gis
5,geojson-regions,Tool to create simplified GeoJSON regions for visualization,"A repository and utility for generating simplified GeoJSON region boundaries, optimizing map-based visualizations by reducing data complexity.",E1;E1-01,data_processing;visualization,library,HTML,https://github.com/AshKyd/geojson-regions,,Unlicense,geojson;simplification;visualization
6,VoltRon,Spatial omic analysis toolbox for multi-resolution integration,"A spatial omic analysis toolbox designed for multi-resolution and multi-omic integration using image registration techniques, enabling advanced biological spatial analysis.",Bioinformatics;Spatial_Omics,data_analysis;image_registration,library,R,https://github.com/BIMSBbioinfo/VoltRon,,NOASSERTION,spatial-omics;bioinformatics;image-registration
7,BruTile,.NET library to access tile services,"A generic .NET library for accessing tile services such as OpenStreetMap, MapBox, and others, facilitating the integration of tiled map data into applications.",E1;E1-01,data_access;visualization,library,C#,https://github.com/BruTile/BruTile,,Apache-2.0,tiles;gis;dotnet
8,Spatial-Allocator,Tools for generating spatial surrogates and processing emissions data,"A set of geospatial tools (Vector, Raster, Surrogate) developed by CMAS Center for processing and allocating emissions and meteorological data for environmental modeling.",E1;Environmental_Science,data_processing;modeling_support,library,C++,https://github.com/CMASCenter/Spatial-Allocator,https://www.cmascenter.org/sa-tools/,None,emissions-modeling;spatial-allocation;gis
9,Windshaft,Map tile library for PostGIS and Torque.js,"A Node.js map tile library that renders tiles from PostGIS data and supports CartoCSS styling, serving as a backend component for geospatial visualization platforms.",E1;E1-01,visualization;rendering,service,JavaScript,https://github.com/CartoDB/Windshaft,,BSD-3-Clause,tile-server;postgis;visualization
10,CesiumJS,Open-source JavaScript library for 3D globes and maps,"A comprehensive JavaScript library for creating world-class 3D globes and maps with high performance, widely used for geospatial data visualization and analysis in web environments.",E1;E1-01,visualization;3d_rendering,library,JavaScript,https://github.com/CesiumGS/cesium,https://cesium.com/cesiumjs/,Apache-2.0,3d-globe;visualization;webgl
11,geostan,Bayesian spatial analysis library for R,"An R package for Bayesian spatial analysis, providing tools for spatial regression, disease mapping, and exploratory spatial data analysis using Stan.",E1;Statistics,statistical_analysis;modeling,library,R,https://github.com/ConnorDonegan/geostan,,NOASSERTION,bayesian;spatial-statistics;r-package
12,terracotta,Lightweight XYZ tile server for raster data,"A versatile tile server built with Flask and Rasterio that serves raster data as XYZ tiles, enabling easy visualization of scientific datasets in web maps.",E1;E1-01,visualization;data_serving,service,Python,https://github.com/DHI/terracotta,https://terracotta-python.readthedocs.io/,MIT,tile-server;rasterio;visualization
13,Building-Regulariser,Library for cleaning and regularising building footprints,"A Python library designed to clean and regularize building footprint polygons in geospatial data, aligning edges and simplifying geometries for better analysis accuracy.",E1;E1-01,data_cleaning;vector_processing,library,Jupyter Notebook,https://github.com/DPIRD-DMA/Building-Regulariser,,MIT,building-footprints;regularization;gis
14,OmniCloudMask,Cloud and cloud shadow segmentation for satellite imagery,"A Python library for fast and accurate segmentation of clouds and cloud shadows in satellite imagery, essential for preprocessing remote sensing data.",E1,image_segmentation;preprocessing,library,Python,https://github.com/DPIRD-DMA/OmniCloudMask,,MIT,remote-sensing;cloud-masking;segmentation
15,H3-Pandas,Integration of H3 spatial indexing with GeoPandas,"A library that integrates Uber's H3 hexagonal hierarchical spatial indexing system with Pandas and GeoPandas, facilitating efficient spatial data handling and analysis.",E1;E1-01,spatial_indexing;data_processing,library,Jupyter Notebook,https://github.com/DahnJ/H3-Pandas,,MIT,h3;geopandas;spatial-index
16,Tools_for_ArcGIS_Pro,Collection of Python tools and samples for ArcGIS Pro,"A repository containing Python code samples and custom toolboxes for ArcGIS Pro, providing reusable scripts for various GIS tasks.",E1;E1-01,data_processing;automation,library,Python,https://github.com/Dan-Patterson/Tools_for_ArcGIS_Pro,,None,arcgis-pro;arcpy;gis-tools
