id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,symdim,Equation manipulation with dimensional analysis using SymPy and Astropy,"A Python package that integrates SymPy and Astropy.units to perform equation manipulation while maintaining and checking dimensional analysis, useful for physics and astronomy calculations.",Physics;Astronomy,modeling;calculation,library,Python,https://github.com/AndrewChap/symdim,,MIT,dimensional-analysis;sympy;astropy;physics
2,POTPyRI,Data reduction pipeline for imaging from large aperture telescopes,"A Python-based data reduction pipeline designed for processing imaging data from large aperture telescopes, facilitating the analysis of astronomical transients.",A2;Astronomy,data_reduction;image_processing,workflow,Python,https://github.com/CIERA-Transients/POTPyRI,,GPL-3.0,astronomy;pipeline;data-reduction;imaging
3,zodipy,Zodiacal light simulations for astronomy,"An Astropy-affiliated package for simulating zodiacal light emission, useful for planning observations and analyzing background noise in astronomical data.",Astronomy,simulation;modeling,library,Python,https://github.com/Cosmoglobe/zodipy,,GPL-3.0,astronomy;zodiacal-light;simulation;astropy
4,dkist,Tools for processing and interacting with DKIST solar telescope data,"A Python library for obtaining, processing, and interacting with calibrated data from the Daniel K. Inouye Solar Telescope (DKIST).",Astronomy;Solar Physics,data_processing;data_access,library,Python,https://github.com/DKISTDC/dkist,https://docs.dkist.nso.edu/projects/python-tools/en/latest/,BSD-3-Clause,solar-physics;dkist;data-processing
5,pgmuvi,Gaussian processes for inference on multi-wavelength light curves,"A Python package implementing Gaussian processes for inference on multi-wavelength light curves, specifically designed for astronomical time-domain analysis.",A2;A2-01,inference;modeling;light_curve_analysis,library,Python,https://github.com/ICSM/pgmuvi,,GPL-3.0,gaussian-processes;light-curves;astronomy;inference
6,KPF-Pipeline,Data reduction pipeline for Keck Planet Finder,"The data reduction pipeline for the Keck Planet Finder (KPF) instrument, handling the processing of spectroscopic data.",Astronomy,data_reduction;pipeline,workflow,Python,https://github.com/Keck-DataReductionPipelines/KPF-Pipeline,,NOASSERTION,pipeline;spectroscopy;keck;astronomy
7,allesfitter,Flexible inference of stars and exoplanets from photometric and radial velocity data,"A package for fitting photometric and radial velocity data, wrapping ellc, dynesty, emcee, and celerite to model light curves and RV signals for exoplanet science.",A2;A2-01,fitting;modeling;inference,solver,Jupyter Notebook,https://github.com/MNGuenther/allesfitter,https://allesfitter.readthedocs.io,MIT,exoplanets;light-curves;radial-velocity;fitting
8,Everest Framework,Framework for HL7v3 and CDA medical data structures,"A .NET framework designed to ease the creation, formatting, and transmission of HL7v3 and Clinical Document Architecture (CDA) structures for medical informatics and healthcare data exchange.",Medical Informatics,data_formatting;data_transmission,library,C#,https://github.com/MohawkMEDIC/everest,,Apache-2.0,hl7;cda;medical-informatics;healthcare
9,jeverest,Java framework for HL7v3 medical data structures,"The Java implementation of the Everest Framework, facilitating the handling of HL7v3 structures for medical data interoperability.",Medical Informatics,data_formatting;data_transmission,library,Java,https://github.com/MohawkMEDIC/jeverest,,Apache-2.0,hl7;java;medical-informatics
10,JetFit,Gamma-ray Burst Afterglow Light Curve Fitting Tool,"A tool for fitting Gamma-ray Burst (GRB) afterglow light curves, aiding in the analysis of transient astronomical events.",A2;A2-01,fitting;light_curve_analysis,solver,Python,https://github.com/NYU-CAL/JetFit,,None,grb;light-curves;fitting;astronomy
