id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,perl-Astro-FITS-HdrTrans,Perl module for translating astronomical FITS metadata headers,A Perl module designed to perform translations of astronomical metadata headers between FITS format and generic representations.,A1;A1-01,fits_io;metadata_handling,library,Perl,https://github.com/Starlink/perl-Astro-FITS-HdrTrans,,None,fits;header-translation;astronomy;perl
2,AstroBinUploader,Script to parse FITS/XISF headers and generate AstroBin-compatible CSVs,"A Python script that parses directories of astronomical images (FITS/XISF), reads header information, and creates a summary CSV file formatted for upload to AstroBin.",A1;A1-01,metadata_extraction;data_management,solver,Python,https://github.com/SteveGreaves/AstroBinUploader,,GPL-3.0,fits;xisf;metadata;astrophotography
3,lunarsky,Astropy extension for lunar surface observations,An extension to the Astropy library that provides coordinate transformations and observation planning capabilities specifically for observers located on the surface of the Moon.,A1,coordinate_transformation;observation_planning,library,Python,https://github.com/aelanman/lunarsky,,BSD-3-Clause,astropy;moon;coordinates;astronomy
4,SerStacker,Planetary image stacking tool using OpenCV,"Experimental software for stacking planetary astronomical images, utilizing OpenCV for image processing tasks.",A1;A1-01,image_stacking;image_processing,solver,C++,https://github.com/amyznikov/SerStacker,,CC0-1.0,planetary-imaging;stacking;opencv;astrophotography
5,SImMER,Reduction pipeline for astronomical images of point sources,"An open-source and modular data reduction pipeline designed for processing astronomical images, specifically focusing on point sources.",A1;A1-01,image_reduction;pipeline,workflow,Python,https://github.com/arjunsavel/SImMER,,None,reduction;astronomy;pipeline;point-sources
6,AstraLite,Deepsky astrophotography and live stacking software,"Software designed for deep sky astrophotography and live image stacking, optimized for low-power computing devices like Raspberry Pi.",A1;A1-01,image_stacking;image_acquisition,solver,Rust,https://github.com/art-den/astra_lite,,MIT,astrophotography;live-stacking;rust;embedded
7,ASDF,Advanced Scientific Data Format library,"The reference implementation of the Advanced Scientific Data Format (ASDF), a next-generation interchange format for scientific data, widely used in astronomy (e.g., JWST).",A1;A1-01,data_io;file_format,library,Python,https://github.com/asdf-format/asdf,https://asdf.readthedocs.io/,BSD-3-Clause,asdf;file-format;scientific-data;io
8,wcsaxes,Library for plotting astronomical data with WCS coordinates,A framework for plotting astronomical data in Matplotlib with support for World Coordinate Systems (WCS). Note: Now merged into Astropy core.,A1,visualization;wcs,library,Python,https://github.com/astrofrog/wcsaxes,,None,visualization;wcs;astronomy;matplotlib
9,go-cfitsio,CGo bindings for the FITSIO library,"Provides Go language bindings for the standard CFITSIO library, enabling reading and writing of FITS files in Go applications.",A1;A1-01,fits_io,library,Go,https://github.com/astrogo/cfitsio,,None,fits;go;bindings;cfitsio
10,fitsio,Pure-Go package to read and write FITS files,A native Go library for reading and writing FITS (Flexible Image Transport System) files without requiring C dependencies.,A1;A1-01,fits_io,library,Go,https://github.com/astrogo/fitsio,https://godoc.org/github.com/astrogo/fitsio,BSD-3-Clause,fits;go;io;astronomy
11,fitsjs,JavaScript library for reading FITS files,"A JavaScript library for reading FITS astronomical format files in the browser or Node.js, supporting images, data cubes, and tables.",A1;A1-01,fits_io;web_visualization,library,JavaScript,https://github.com/astrojs/fitsjs,,MIT,fits;javascript;web;visualization
12,spark-fits,FITS data source for Apache Spark,"A library that enables Apache Spark to read and process FITS files as DataFrames, facilitating distributed processing of astronomical data.",A1;A1-01,fits_io;big_data,library,Scala,https://github.com/astrolabsoftware/spark-fits,https://astrolabsoftware.github.io/spark-fits/,Apache-2.0,spark;fits;scala;big-data
13,asdf-astropy,ASDF serialization support for Astropy objects,An extension library that provides the necessary tags and schemas to serialize and deserialize Astropy objects using the ASDF standard.,A1;A1-01,data_io;serialization,library,Python,https://github.com/astropy/asdf-astropy,,BSD-3-Clause,asdf;astropy;serialization;io
14,Astropy,Core library for Astronomy and Astrophysics,"A community-driven Python library for astronomy, providing core functionality for FITS IO, WCS, units, coordinates, and more.",A1;A1-01,fits_io;data_processing;coordinates,library,Python,https://github.com/astropy/astropy,https://www.astropy.org/,BSD-3-Clause,astronomy;fits;wcs;units
15,astropy-healpix,HEALPix implementation for Astropy,A BSD-licensed implementation of HEALPix (Hierarchical Equal Area isoLatitude Pixelization) for use with the Astropy ecosystem.,A1,pixelization;projection,library,C,https://github.com/astropy/astropy-healpix,https://astropy-healpix.readthedocs.io/,BSD-3-Clause,healpix;astronomy;sky-mapping
