id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,nmea,Rust parser for NMEA 0183 marine electronics protocol,"A Rust library for parsing NMEA 0183 messages, widely used in marine robotics and scientific data acquisition from GNSS receivers, sonars, and anemometers.",R1;R1-01,data_parsing;sensor_integration,library,Rust,https://github.com/AeroRust/nmea,,NOASSERTION,nmea;rust;marine-robotics;gnss;parser
2,pyLabLib,Python library for device control and experiment automation,"A comprehensive Python package for controlling various laboratory devices (cameras, stages, sensors) and automating scientific experiments.",R1;R1-01,device_control;experiment_automation,library,Python,https://github.com/AlexShkarin/pyLabLib,https://pylablib.readthedocs.io/,GPL-3.0,lab-automation;instrument-control;python;experiment
3,scpi-rs,SCPI command parser for Rust,"A Rust implementation of the Standard Commands for Programmable Instruments (SCPI) parser, enabling the development of instrument firmware or control software.",R1;R1-01,protocol_parsing;device_communication,library,Rust,https://github.com/Atmelfan/scpi-rs,,Apache-2.0,scpi;rust;embedded;instrument-control
4,Instruments.jl,Instrument control library for Julia,"A Julia package for interfacing with scientific instruments, providing a unified framework for device communication and experiment control.",R1;R1-01,device_control;data_acquisition,library,Julia,https://github.com/BBN-Q/Instruments.jl,,NOASSERTION,julia;instrument-control;visa;scpi
5,PyQLab,Python library for superconducting QIP experiment control,A Python library designed for controlling instruments and running experiments in superconducting quantum information processing (QIP) labs.,R1;R1-01,device_control;experiment_automation,library,Python,https://github.com/BBN-Q/PyQLab,,Apache-2.0,quantum-computing;instrument-control;python;qip
6,LabToolkit,Python module for instrument control and automation,A Python library for communicating with and controlling various laboratory instruments via standard protocols like VISA.,R1;R1-01,device_control;data_acquisition,library,Python,https://github.com/DavidLutton/LabToolkit,,MIT,python;instrument-control;visa;automation
7,GazeAtDS1054,Viewer and control tool for Rigol DS1054Z oscilloscopes,A software tool for viewing waveforms and controlling Rigol DS1054Z oscilloscopes via USB or TCP using PyVISA.,R1;R1-01,data_visualization;device_control,solver,Python,https://github.com/Gaze-At/DS1054,,MIT,oscilloscope;rigol;visualization;instrument-control
8,ImSwitch,General-purpose microscope control software,"A Python-based software solution for controlling complex microscope setups, supporting multiple modalities and flexible hardware integration.",R1;R1-01,microscope_control;image_acquisition,platform,Python,https://github.com/ImSwitch/ImSwitch,https://imswitch.readthedocs.io/,GPL-3.0,microscopy;python;control-software;imaging
9,Labber Drivers,Instrument drivers for Labber software,A collection of Python-based instrument drivers for the Labber measurement and automation software platform.,R1;R1-01,device_driver;instrument_control,library,Python,https://github.com/Labber-software/Drivers,,NOASSERTION,labber;drivers;instrument-control;python
10,oic,Open Instrument Control library,"A C++ library for controlling scientific instruments, aiming to provide a standardized interface for laboratory automation.",R1;R1-01,device_control;automation,library,C++,https://github.com/LachlanGunn/oic,,MIT,c++;instrument-control;laboratory;automation
11,leicacam,Python control for Leica microscopes,"A Python library for controlling Leica microscopes and cameras, facilitating automated imaging workflows.",R1;R1-01,microscope_control;image_acquisition,library,Python,https://github.com/MartinHjelmare/leicacam,,MIT,leica;microscopy;python;automation
12,bqev23k,Control software for TI EV2300 and BQ40Z80 battery managers,"A C# WPF application for controlling Texas Instruments EV2300 hardware interfaces, specifically for battery impedance tracking and management research.",R1;R1-01,device_control;data_acquisition,solver,C#,https://github.com/Mictronics/bqev23k,,NOASSERTION,battery-management;ti;instrument-control;c#
13,scpi_parser,SCPI parser implementation in C,"A C library implementing the SCPI (Standard Commands for Programmable Instruments) protocol, designed for embedded devices and instrument firmware.",R1;R1-01,protocol_parsing;embedded_development,library,C,https://github.com/MightyPork/scpi_parser,,MIT,scpi;c;embedded;instrument-firmware
14,lab-control-GUI,Scalable GUI for centralized laboratory device control,"A graphical user interface designed to centralize control of various laboratory devices, operating on a shared API for instrument drivers.",R1;R1-01,device_control;lab_management,solver,Python,https://github.com/Nikolaj-K/lab-control-GUI,,MIT,gui;lab-automation;python;instrument-control
15,JISA,Java library for instrument control and experiment automation,"A Java library providing standardized instrument control, data handling, and GUI creation tools for scientific experiments.",R1;R1-01,device_control;experiment_automation,library,Java,https://github.com/OE-FET/JISA,https://jisa-docs.readthedocs.io/,AGPL-3.0,java;instrument-control;visa;automation
16,place,Python package for laboratory automation and experimentation,"A Python package designed for laboratory automation, control, and experimentation, facilitating the integration of various instruments.",R1;R1-01,lab_automation;experiment_control,library,Python,https://github.com/PALab/place,,LGPL-3.0,python;lab-automation;experiment;control
17,PyLabRobot,Hardware agnostic SDK for lab automation,"An open-source, hardware-agnostic Python SDK for laboratory automation, focusing on liquid handling robots and providing a unified interface.",R1;R1-01,liquid_handling;lab_automation,library,Python,https://github.com/PyLabRobot/pylabrobot,https://docs.pylabrobot.org/,MIT,lab-automation;liquid-handling;python;robotics
18,RsInstrument,Rohde & Schwarz instrument control library for Python,The official Python remote-control communication module for Rohde & Schwarz SCPI-based Test and Measurement Instruments.,R1;R1-01,device_control;test_measurement,library,Python,https://github.com/Rohde-Schwarz/RsInstrument,https://rsinstrument.readthedocs.io/,MIT,rohde-schwarz;instrument-control;scpi;python
