id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,made.js,JavaScript library for creating and manipulating material structures,"Materials Design in Javascript (made.js) is a library allowing for the creation and manipulation of material structures from atoms up, designed for web-based materials science applications.",M1;M1-01,structure_generation;structure_manipulation,library,Python,https://github.com/Exabyte-io/made,,NOASSERTION,materials-science;structure-builder;javascript
2,wave.js,Web-based Atomic Viewer and Editor for material structures,"A JavaScript library for 3D atomic visualization and editing, enabling the manipulation of material structures from atoms up on the web.",M1;M1-01,visualization;structure_editing,library,JavaScript,https://github.com/Exabyte-io/wave.js,,NOASSERTION,visualization;atomic-structure;web-component
3,pymatgen-io-espresso,Pymatgen addon for parsing Quantum ESPRESSO files,"A pymatgen extension that provides input/output parsing capabilities specifically for Quantum ESPRESSO, facilitating the integration of QE calculations into pymatgen workflows.",M1;M1-01,input_generation;parsing,library,Python,https://github.com/Griffin-Group/pymatgen-io-espresso,,MIT,pymatgen;quantum-espresso;dft;io
4,PyXtal,Generation of atomic crystal structures with symmetry constraints,"A Python package for generating atomic structures with specific symmetry constraints, useful for crystal structure prediction and materials discovery.",M1;M1-01,structure_generation;symmetry_analysis,library,Python,https://github.com/MaterSim/PyXtal,https://pyxtal.readthedocs.io,MIT,crystallography;symmetry;structure-generation
5,PyXtal_FF,Machine Learning Interatomic Potential Predictions,"A package for developing machine learning interatomic potentials, enabling atomistic simulations with ML-derived force fields.",M1,potential_learning;simulation,library,Python,https://github.com/MaterSim/PyXtal_FF,,None,machine-learning;interatomic-potentials;force-field
6,QuantumESPRESSOBase.jl,Julia tools for Quantum ESPRESSO input generation and structure manipulation,Provides basic data structures and functions in Julia for manipulating crystal structures and generating input files for Quantum ESPRESSO calculations.,M1;M1-01,input_generation;structure_manipulation,library,Julia,https://github.com/MineralsCloud/QuantumESPRESSOBase.jl,,MIT,julia;quantum-espresso;dft
7,nfp,Keras layers for materials deep learning with rdkit and pymatgen,"A library providing Keras layers and utilities for building end-to-end deep learning models for molecules and materials, integrating with RDKit and Pymatgen.",M1,machine_learning;property_prediction,library,Python,https://github.com/NREL/nfp,,NOASSERTION,deep-learning;materials-informatics;keras
8,ScalableWorkflow_VASP_Calculations,Workflow for generating randomized VASP input structures for alloys,A scalable workflow designed to generate VASP input cases with randomized atomic structures for solid solution binary and ternary alloys across compositional ranges.,M1;M1-01,input_generation;high_throughput,workflow,Python,https://github.com/ORNL/ScalableWorkflow_VASP_Calculations,,BSD-3-Clause,vasp;workflow;alloys
9,readcif,Fast C++ CIF and mmCIF parser,"A high-performance C++ library for parsing CIF (Crystallographic Information File) and mmCIF formats, essential for reading structural data.",M1;M1-01,parsing;structure_io,library,C++,https://github.com/RBVI/readcif,,NOASSERTION,cif;parser;crystallography
10,ShakeNBreak,Defect structure-searching with chemically-guided bond distortions,A tool for generating defect structures by applying chemically-guided bond distortions to identify ground-state defect configurations in materials.,M1;M1-01,defect_generation;structure_search,library,Python,https://github.com/SMTG-Bham/ShakeNBreak,https://shakenbreak.readthedocs.io,MIT,defects;structure-search;dft
11,doped,"Generation, processing and analysis of defect supercell calculations","A Python package for the generation, pre-/post-processing, and analysis of defect supercell calculations, streamlining the defect simulation workflow.",M1;M1-01,defect_generation;input_generation,library,Python,https://github.com/SMTG-Bham/doped,https://doped.readthedocs.io,MIT,defects;supercells;workflow
12,surfaxe,Tools for slab generation and surface calculations,"A Python library for generating and handling slab structures for first-principles surface calculations, including surface energy analysis.",M1;M1-01,surface_generation;slab_generation,library,Jupyter Notebook,https://github.com/SMTG-Bham/surfaxe,https://surfaxe.readthedocs.io,MIT,surfaces;slabs;dft
13,AtomicStructureGenerator,Crystal structure generator using prototype databases,"A module that utilizes the Crystal Structure Prototype Database (CSPD) to generate lists of crystal structures for user-defined systems, facilitating high-throughput materials screening.",M1;M1-01,structure_generation;high_throughput,library,Python,https://github.com/SUNCAT-Center/AtomicStructureGenerator,,None,crystal-structure;prototypes;materials-science
14,CatKit,High-throughput catalysis modeling toolkit,"General purpose tools designed for high-throughput catalysis research, providing utilities for structure manipulation, adsorption generation, and analysis.",M1;M1-01,catalysis;high_throughput;structure_manipulation,library,Python,https://github.com/SUNCAT-Center/CatKit,,GPL-3.0,catalysis;dft;high-throughput
15,VASP-DOS_extractor,VASP density of states extraction script,A Pymatgen-based Python script designed to extract total and projected density of states (DOS) data directly from VASP vasprun.xml output files.,M1,post_processing;electronic_structure,solver,Python,https://github.com/ShinMaterials/VASP-DOS_extractor,,None,vasp;dos;pymatgen
16,VASP-Structural_Descriptors,Atomic structure descriptor collector,A script leveraging Pymatgen to calculate and collect structural descriptors from large sets of atomic structures for materials analysis.,M1,data_analysis;descriptors,solver,Python,https://github.com/ShinMaterials/VASP-Structural_Descriptors,,None,structural-descriptors;materials-analysis
