id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,Python-IMU-Data-Sampling-App,Data acquisition tool for IMU motion tracking sensors,"A C-based tool designed for sampling and collecting data from Inertial Measurement Units (IMU) for motion tracking applications, facilitating physical data acquisition.",Physics;Engineering,data_acquisition;sensor_sampling,solver,C,https://github.com/0015/Python-IMU-Data-Sampling-App,,None,imu;motion-tracking;data-collection
2,sampledb-api-wrapper,Python client for SampleDB metadata database,"A Python wrapper for the HTTP API of SampleDB, enabling programmatic interaction with the web-based sample and measurement metadata database for scientific data management.",M5-01;Materials;Chemistry,metadata_management;database_interface,library,Python,https://github.com/AG-Salinga/sampledb-api-wrapper,,MIT,sampledb;metadata;api-client
3,LImBuS,Biobank Information Management System,"An open-source, standards-compliant Biobank Information Management System (LIMS) designed for managing biological samples and associated metadata in research environments.",M5-01;Biology;Biobanking,lab_management;sample_tracking,platform,Python,https://github.com/AberystwythSystemsBiology/limbus,,GPL-3.0,lims;biobank;sample-management
4,kedro-aim,Aim logging plugin for Kedro pipelines,"A plugin for the Kedro framework that enables logging of machine learning experiments to the Aim experiment tracker, facilitating reproducibility and metric tracking in scientific ML workflows.",AI4S;Data Science,experiment_tracking;logging,library,Python,https://github.com/AnH0ang/kedro-aim,,MIT,kedro;aim;experiment-tracking
5,bam-masterdata,Master data definitions for BAM Data Store,"A repository containing master data definitions and schemas for the BAM Data Store project, serving as a standard for materials science data structure and metadata.",M5-01;Materials,metadata_standardization;data_modeling,library,Python,https://github.com/BAMresearch/bam-masterdata,,MIT,metadata;schema;materials-science
6,chatBIS,AI assistant for openBIS RDM system,A conversational AI assistant using RAG (Retrieval-Augmented Generation) to query documentation and provide answers about the openBIS research data management system.,M5-01;Biology;Materials,user_support;documentation_retrieval,solver,Python,https://github.com/BAMresearch/chatBIS,,MIT,openbis;llm;rag;rdm
7,iskylims,LIMS for NGS and bioinformatics services,"An open-source Laboratory Information Management System (LIMS) specifically designed for Next Generation Sequencing (NGS) sample management, statistics, reporting, and bioinformatics analysis service management.",M5-01;Genomics;Bioinformatics,lab_management;sample_tracking;ngs_workflow,platform,Python,https://github.com/BU-ISCIII/iskylims,,GPL-3.0,lims;ngs;bioinformatics
8,Baobab LIMS,Open-source LIMS for biobanking,"An open-source Laboratory Information Management System (LIMS) tailored for biobanking, managing biospecimen lifecycles and associated metadata.",M5-01;Biology;Biobanking,lab_management;biobanking;sample_tracking,platform,JavaScript,https://github.com/BaobabLims/baobab.lims,,GPL-3.0,lims;biobanking;biospecimen
9,Bika LIMS,Open source LIMS platform,"A free and open-source Laboratory Information Management System (LIMS) built on Plone, suitable for various laboratory disciplines to manage samples and analyses.",M5-01;Biology;Chemistry,lab_management;sample_tracking,platform,Python,https://github.com/BaobabLims/bika.lims,,NOASSERTION,lims;plone;lab-management
10,CBSR-Biobank Web,Web interface for CBSR Biobank application,"The web application component of the CBSR Biobank system, providing a user interface for tracking and managing biospecimens in a biorepository.",M5-01;Biology;Biobanking,biobanking;sample_tracking,platform,Scala,https://github.com/CBSR-Biobank/bbweb,,None,biobank;web-app;specimen-tracking
