id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,Apo2Mol,3D molecule generation via dynamic pocket-aware diffusion models,"Apo2Mol is a generative model designed to generate 3D molecules within protein pockets. It utilizes a dynamic pocket-aware diffusion process to ensure the generated molecules fit geometrically and chemically within the target binding sites, facilitating structure-based drug design.",M4;M4-01;Drug Discovery,molecule_generation;structure_based_design,solver,Python,https://github.com/AIDD-LiLab/Apo2Mol,,MIT,diffusion-model;drug-design;3d-molecule-generation
2,DiffAlign,Equivariant graph diffusion model alignment implementation,"DiffAlign provides the official implementation for 'Equivariant Denoisers Cannot Copy Graphs', focusing on aligning graph diffusion models. It addresses issues in graph generation where equivariant denoisers struggle to copy graphs, offering a solution for better graph generative modeling.",M4;M4-01;Graph Learning,graph_generation;generative_modeling,solver,Python,https://github.com/Aalto-QuML/DiffAlign,,None,graph-diffusion;equivariance;generative-models
3,TPMS-Designer,MATLAB tool for generating and analyzing TPMS-like structures,"TPMS-Designer is an application to assist with the generation, analysis, and visualization of Triply Periodic Minimal Surfaces (TPMS) and other 3D objects. It is useful for designing porous structures for materials science and additive manufacturing.",M4;Materials Science,structure_generation;visualization,platform,MATLAB,https://github.com/Alistairj43/TPMS-Designer,,MIT,tpms;lattice-structures;3d-design
4,Guacamol,Benchmarking framework for de novo molecular design,"Guacamol is a standard benchmarking framework for generative chemistry models. It provides a suite of tasks to evaluate the performance of models in generating valid, novel, and optimized molecular structures, serving as a baseline for the field.",M4;Cheminformatics,benchmarking;molecule_generation,library,Python,https://github.com/BenevolentAI/guacamol,https://guacamol.readthedocs.io,MIT,benchmark;generative-chemistry;drug-discovery
5,AEM_DIM_Bench,Benchmarks for artificial electromagnetic material inverse design,This repository provides benchmarks and inverse deep learning methods for designing artificial electromagnetic materials. It facilitates the evaluation of models aimed at predicting material structures from electromagnetic properties.,M4;Electromagnetics;Materials Science,inverse_design;benchmarking,solver,Python,https://github.com/BensonRen/AEM_DIM_Bench,,MIT,metamaterials;inverse-design;electromagnetics
6,MM_Bench,Benchmark for meta-material inverse design solvers,MM_Bench offers a collection of benchmarking problems for meta-material inverse design using deep learning solvers. It aims to standardize the evaluation of inverse design algorithms in the field of metamaterials.,M4;Metamaterials,inverse_design;benchmarking,dataset,Python,https://github.com/BensonRen/MM_Bench,,None,metamaterials;inverse-design;deep-learning
7,idlm_Ben,Inverse mapping solver for meta-material design,"This project implements deep learning methods for the inverse mapping problem in meta-material design, allowing researchers to generate material structures that satisfy specific property constraints.",M4;Metamaterials,inverse_design;structure_generation,solver,Python,https://github.com/BensonRen/idlm_Ben,,MIT,metamaterials;inverse-design;deep-learning
8,MultimodalCPF,Transformer-based multimodal framework for crystal property prediction,MultimodalCPF is a framework that fuses crystal structure and text data to predict material properties. It uses a transformer-based architecture with modality-aware training to enhance prediction accuracy and interpretability.,M4;Materials Science,property_prediction;multimodal_learning,solver,Python,https://github.com/Bi8bo001/MultimodalCPF,,MIT,crystal-property;transformer;multimodal
9,bio-diffusion,Geometry-complete diffusion model for 3D molecule generation,Bio-diffusion implements a Geometry-Complete Diffusion Model (GCDM) for generating and optimizing 3D molecular structures. It is designed to handle the complex geometric constraints of biomolecules for drug discovery applications.,M4;M4-01;Drug Discovery,molecule_generation;optimization,solver,Python,https://github.com/BioinfoMachineLearning/bio-diffusion,,NOASSERTION,diffusion-model;3d-molecule;generative-model
10,Artisan-Core,Computational tool for lattice structure generation,Artisan-Core is a computational library designed for the generation of complex lattice structures. It supports the design of metamaterials and lightweight structures for additive manufacturing.,M4;Materials Science,structure_generation;lattice_design,library,Python,https://github.com/Bleemsys/Artisan-Core,,None,lattice;metamaterials;additive-manufacturing
11,3D-MCTS,Structure-based molecule generation using Monte Carlo Tree Search,3D-MCTS is a general method for generating molecules based on 3D structural constraints. It combines Monte Carlo Tree Search with generative models to explore chemical space effectively.,M4;Drug Discovery,molecule_generation;search_algorithm,solver,Python,https://github.com/Brian-hongyan/3D-MCTS,,None,mcts;molecule-generation;structure-based
12,EGADO,Edge-guided optimization for silicon photonic device inverse design,EGADO implements an edge-guided analog-and-digital optimization algorithm for the inverse design of silicon photonic devices. It is specifically tailored for designing high-capacity multi-dimensional optical interconnects.,M4;Photonics,inverse_design;optimization,solver,Python,https://github.com/BryvinSal/EGADO,,MIT,photonics;inverse-design;optimization
13,MolRL,Targeted molecular generation with latent reinforcement learning,MolRL is a tool for generating molecules with specific target properties using latent reinforcement learning. It optimizes molecular structures in a latent space to satisfy desired chemical constraints.,M4;Drug Discovery,molecule_generation;reinforcement_learning,solver,Jupyter Notebook,https://github.com/Cellarity/MolRL,,NOASSERTION,reinforcement-learning;molecule-generation;drug-design
14,EDM,E(3) Equivariant Diffusion Model for 3D molecule generation,"EDM implements an E(3) equivariant diffusion model for generating 3D molecular structures. It ensures that the generated molecules respect rotational and translational symmetries, which is crucial for physical validity.",M4;M4-01;Drug Discovery,molecule_generation;generative_modeling,solver,Python,https://github.com/D4-course/EDM,,None,diffusion-model;equivariant;3d-molecule
15,MHC-Diff,Equivariant diffusion model for peptide-MHC structure generation,"MHC-Diff is a specialized equivariant diffusion model designed to generate 3D structures of peptide-MHC complexes, aiding in the understanding of immune responses and vaccine design.",M4;M4-01;Immunology,structure_generation;protein_modeling,solver,Python,https://github.com/DavidFruehbuss/MHC-Diff,,None,peptide-mhc;diffusion-model;structural-biology
16,EcConf,Ultra-fast equivariant consistency model for molecular conformation,EcConf is a diffusion-based model for generating molecular conformations with high speed and equivariant consistency. It addresses the computational cost of traditional conformation generation methods.,M4;M4-01;Cheminformatics,conformation_generation;molecular_dynamics,solver,Python,https://github.com/DeepLearningPS/EcConf,,Apache-2.0,conformation-generation;diffusion-model;consistency-model
17,EquiCSP,Equivariant diffusion model for crystal structure prediction,EquiCSP applies equivariant diffusion models to the problem of Crystal Structure Prediction (CSP). It generates periodic crystal structures that respect the necessary symmetries and geometric constraints.,M4;M4-01;Materials Science,crystal_structure_prediction;generative_modeling,solver,Python,https://github.com/EmperorJia/EquiCSP,,MIT,crystal-structure;diffusion-model;csp
18,MolSpectLLM,Foundation model bridging spectroscopy and molecule generation,MolSpectLLM is a molecular foundation model that integrates spectroscopy data with molecule elucidation and 3D structure generation. It enables the generation of molecular structures directly from spectral data.,M4;Spectroscopy;Cheminformatics,structure_elucidation;molecule_generation,solver,Python,https://github.com/Eurekashen/MolSpectLLM,,Apache-2.0,llm;spectroscopy;molecule-generation
19,OMatG,Generative model for inorganic crystal structure prediction,OMatG is a generative model designed for the de novo generation and prediction of inorganic crystal structures. It aims to discover stable crystal materials by learning from existing crystallographic data.,M4;Materials Science,crystal_structure_prediction;generative_modeling,solver,Python,https://github.com/FERMat-ML/OMatG,,MIT,inorganic-crystals;structure-prediction;generative-model
20,PROPTI,Inverse problem solver for material parameter estimation,"PROPTI is a tool that couples simulation models with optimization algorithms to solve inverse problems, specifically for estimating material parameters from experimental data (e.g., in fire dynamics).",M4;Materials Science;Fire Dynamics,parameter_estimation;inverse_problem,library,Python,https://github.com/FireDynamics/propti,,MIT,parameter-estimation;inverse-problem;simulation
21,deCIFer,Crystal structure prediction from powder X-ray diffraction data,deCIFer is a transformer-based model that predicts crystal structures by generating Crystallographic Information Files (CIFs) directly from powder X-ray diffraction (PXRD) patterns.,M4;Crystallography,crystal_structure_prediction;data_interpretation,solver,Jupyter Notebook,https://github.com/FrederikLizakJohansen/deCIFer,,MIT,pxrd;crystal-structure;transformer
22,GFlowNet,Generative Flow Networks library for probabilistic modeling,"This repository contains the reference implementation of Generative Flow Networks (GFlowNets), a probabilistic framework often used for generating discrete objects like molecular graphs in scientific discovery.",M4;M4-01;Machine Learning,generative_modeling;sampling,library,Python,https://github.com/GFNOrg/gflownet,,MIT,gflownet;generative-models;probabilistic-modeling
23,Inverse Molecular Design,Autonomous generator of organic compounds from target properties,"This tool serves as an autonomous generator for novel organic compounds, designing molecules that meet specific physicochemical property targets to accelerate materials and drug discovery.",M4;Drug Discovery;Materials Science,inverse_design;molecule_generation,solver,HTML,https://github.com/GLambard/inverse-molecular-design,,MIT,inverse-design;organic-compounds;generative-ai
24,JODO,Joint 2D & 3D diffusion models for molecule generation,"JODO implements a framework for learning joint 2D and 3D diffusion models, enabling the generation of complete molecular representations that include both graph topology and 3D geometry.",M4;M4-01;Drug Discovery,molecule_generation;multimodal_learning,solver,Python,https://github.com/GRAPH-0/JODO,,MIT,diffusion-model;2d-3d-generation;molecule
25,MolFM,Equivariant flow matching for 3D molecule generation,"MolFM implements Equivariant Flow Matching with Hybrid Probability Transport, a method for generating 3D molecular structures that offers advantages over standard diffusion models in terms of sampling efficiency.",M4;M4-01;Drug Discovery,molecule_generation;flow_matching,solver,Python,https://github.com/GenSI-THUAIR/MolFM,,None,flow-matching;3d-molecule;generative-model
