id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,ACCESS-OM2,Global coupled ocean-sea ice model configuration and code,"ACCESS-OM2 is a global coupled ocean-sea ice model that combines the MOM5.1 ocean model and the CICE5.1.2 sea ice model, coupled via OASIS3-MCT. It is designed for climate research and simulation.",E2;E2-01,simulation;modeling,solver,Python,https://github.com/ACCESS-NRI/ACCESS-OM2,https://github.com/ACCESS-NRI/ACCESS-OM2,Apache-2.0,ocean-model;sea-ice;climate-simulation;mom5;cice
2,LBLRTM,Line-By-Line Radiative Transfer Model,LBLRTM is an accurate and efficient line-by-line radiative transfer model derived from the FASCODE algorithm. It is used for calculating spectral radiance and transmittance in the atmosphere.,E2;E2-01,simulation;modeling,solver,Fortran,https://github.com/AER-RC/LBLRTM,https://github.com/AER-RC/LBLRTM,NOASSERTION,radiative-transfer;atmosphere;spectroscopy;physics
3,monoRTM,Monochromatic Radiative Transfer Model,"monoRTM is a radiative transfer model designed to process a small number of monochromatic frequencies, suitable for microwave regions and laser applications, utilizing the same physics as LBLRTM.",E2;E2-01,simulation;modeling,solver,Fortran,https://github.com/AER-RC/monoRTM,https://github.com/AER-RC/monoRTM,Unknown,radiative-transfer;microwave;laser;physics
4,CRITERIA-3D,Three-dimensional agro-hydrological model,"CRITERIA-3D is a three-dimensional agro-hydrological model for small catchments, simulating water balance, nitrogen flow, and heat transport in soil and vegetation systems.",E2;E2-01,simulation;modeling,solver,C++,https://github.com/ARPA-SIMC/CRITERIA3D,https://github.com/ARPA-SIMC/CRITERIA3D,GPL-3.0,hydrology;agriculture;water-balance;catchment-modeling
5,F0AM,Framework for 0-D Atmospheric Modeling,"F0AM is a MATLAB-based framework for zero-dimensional atmospheric chemistry box modeling, designed to simulate chemical kinetics and photolysis in the atmosphere.",E2;E2-01,simulation;modeling,platform,MATLAB,https://github.com/AirChem/F0AM,https://github.com/AirChem/F0AM,GPL-3.0,atmospheric-chemistry;box-model;kinetics;matlab
6,AtChem2,Atmospheric chemistry box-model for the MCM,AtChem2 is a Fortran-based atmospheric chemistry box model that uses the Master Chemical Mechanism (MCM) to simulate complex chemical processes in the atmosphere.,E2;E2-01,simulation;modeling,solver,Fortran,https://github.com/AtChem/AtChem2,https://github.com/AtChem/AtChem2,MIT,atmospheric-chemistry;box-model;mcm;chemical-kinetics
7,DLESyM,Deep Learning Earth System Model software,"DLESyM is a software package for training, running, and analyzing Deep Learning Earth System Models, facilitating the integration of AI into climate modeling.",E2;E2-01,modeling;data_analysis,platform,Python,https://github.com/AtmosSci-DLESM/DLESyM,https://github.com/AtmosSci-DLESM/DLESyM,MIT,deep-learning;earth-system-model;climate-ai;training-framework
8,SeaFreeze,Thermodynamic and elastic properties of water and ice,"SeaFreeze is a package for computing the thermodynamic and elastic properties of water and various ice polymorphs (Ih, III, V, VI) over a wide range of pressures and temperatures.",E2;E2-01,simulation;data_processing,library,MATLAB,https://github.com/Bjournaux/SeaFreeze,https://github.com/Bjournaux/SeaFreeze,GPL-3.0,thermodynamics;ice-physics;glaciology;material-properties
9,C-Coupler2,Community coupler for model coupling and nesting,C-Coupler2 is a flexible and user-friendly community coupler designed for coupling and nesting various earth system model components.,E2;E2-01,simulation;modeling,library,C++,https://github.com/C-Coupler-Group/c-coupler-lib,https://github.com/C-Coupler-Group/c-coupler-lib,NOASSERTION,model-coupling;earth-system-modeling;nesting;climate-model
10,CABLE,Community Atmosphere Biosphere Land Exchange model,"CABLE is a land surface model used to simulate the exchange of momentum, energy, water, and carbon between the land surface and the atmosphere.",E2;E2-01,simulation;modeling,solver,Fortran,https://github.com/CABLE-LSM/CABLE,https://github.com/CABLE-LSM/CABLE,NOASSERTION,land-surface-model;biosphere;climate;hydrology
11,paleoToolkit,Paleoclimate tools for CESM,paleoToolkit provides a set of tools and utilities for configuring and running the Community Earth System Model (CESM) for paleoclimate simulations.,E2;E2-01,simulation;data_processing,library,Fortran,https://github.com/CESM-Development/paleoToolkit,https://github.com/CESM-Development/paleoToolkit,Unknown,paleoclimate;cesm;climate-modeling;utilities
12,OceanMesh2D,Two-dimensional triangular mesh generator for ocean models,"OceanMesh2D is a MATLAB-based mesh generation tool designed to build unstructured triangular meshes for coastal ocean circulation models like ADCIRC, FVCOM, and SCHISM.",E2;E2-01,modeling;data_processing,solver,MATLAB,https://github.com/CHLNDDEV/OceanMesh2D,https://github.com/CHLNDDEV/OceanMesh2D,GPL-3.0,mesh-generation;ocean-modeling;coastal-ocean;unstructured-grid
13,CICE,Community Sea Ice Model,"CICE is a computationally efficient sea ice model that simulates the growth, melt, and movement of sea ice, widely used in global climate and earth system models.",E2;E2-01,simulation;modeling,solver,Fortran,https://github.com/CICE-Consortium/CICE,https://github.com/CICE-Consortium/CICE,NOASSERTION,sea-ice;climate-modeling;thermodynamics;dynamics
14,ACCESS-OM2 (COSIMA),Source code for ACCESS-OM2 ocean-sea ice model,"This repository contains the source code and configurations for the ACCESS-OM2 global ocean-sea ice coupled model, maintained by the COSIMA community.",E2;E2-01,simulation;modeling,solver,Python,https://github.com/COSIMA/access-om2,https://github.com/COSIMA/access-om2,Unknown,ocean-model;sea-ice;access-om2;climate
15,ACCESS-OM3,Source code for ACCESS-OM3 ocean-sea ice-wave model,"ACCESS-OM3 is the next-generation global coupled model including ocean (MOM6), sea ice (CICE6), and waves (WW3), developed by the COSIMA community.",E2;E2-01,simulation;modeling,solver,Fortran,https://github.com/COSIMA/access-om3,https://github.com/COSIMA/access-om3,Unknown,ocean-model;mom6;cice6;wave-model;coupled-model
16,cice5-access,ACCESS configuration of CICE5 sea ice model,This is a clone of the Los Alamos CICE sea ice model (version 5.1.2) adapted with drivers for the ACCESS climate model framework.,E2;E2-01,simulation;modeling,solver,Fortran,https://github.com/COSIMA/cice5,https://github.com/COSIMA/cice5,Unknown,sea-ice;cice;access-model;climate
