id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,PDMPFlux.jl,Next generation MCMC samplers with automatic differentiation for Julia,"A Julia library implementing Piecewise Deterministic Markov Processes (PDMP) for MCMC sampling, featuring automatic differentiation and adaptive Poisson thinning for efficient Bayesian inference.",P4;P4-01,sampling;bayesian_inference,library,Julia,https://github.com/162348/PDMPFlux.jl,,MIT,mcmc;julia;bayesian-inference;pdmp
2,VIB-pytorch,PyTorch implementation of Deep Variational Information Bottleneck,"A PyTorch implementation of the Deep Variational Information Bottleneck (VIB) method, useful for variational inference and regularization in deep learning models.",P4;P4-01,variational_inference;information_bottleneck,library,Python,https://github.com/1Konny/VIB-pytorch,,None,pytorch;variational-inference;information-bottleneck
3,AMICI,High-performance sensitivity analysis for large ODE models,"An interface for the SUNDIALS solvers CVODES and IDAS, providing high-performance simulation and sensitivity analysis for large-scale ordinary differential equation (ODE) models, essential for parameter estimation and inverse problems.",P4;P4-01,sensitivity_analysis;ode_solver;parameter_estimation,library,Python,https://github.com/AMICI-dev/AMICI,https://amici.readthedocs.io,NOASSERTION,ode;sensitivity-analysis;systems-biology;inverse-problems
4,hamiltorch,PyTorch-based library for Riemannian Manifold Hamiltonian Monte Carlo,"A PyTorch library for performing Riemannian Manifold Hamiltonian Monte Carlo (RMHMC) and standard HMC, specifically designed for inference in Bayesian neural networks and other probabilistic models.",P4;P4-01,sampling;bayesian_inference;hmc,library,Python,https://github.com/AdamCobb/hamiltorch,,BSD-2-Clause,pytorch;hmc;bayesian-neural-networks;mcmc
5,DataAssim.jl,Ensemble Kalman Filter data assimilation methods in Julia,"A Julia library implementing various Ensemble Kalman Filter (EnKF) methods for data assimilation, facilitating the combination of observational data with dynamical models.",P4;P4-01,data_assimilation;kalman_filter,library,Julia,https://github.com/Alexander-Barth/DataAssim.jl,,NOASSERTION,data-assimilation;julia;kalman-filter;enkf
6,pymc3-hmm,Hidden Markov Models implementation for PyMC3,"A Python package that provides Hidden Markov Model (HMM) distributions and utilities for PyMC3, enabling Bayesian inference on HMMs.",P4;P4-01,bayesian_inference;hmm;modeling,library,Python,https://github.com/AmpersandTV/pymc3-hmm,,NOASSERTION,pymc3;hmm;bayesian-inference;probabilistic-programming
7,nested-sampling,Nested sampling package for BEAST 2,A package for BEAST 2 (Bayesian Evolutionary Analysis Sampling Trees) that implements nested sampling for marginal likelihood estimation and model selection.,P4;P4-01,sampling;model_selection;bayesian_inference,library,Java,https://github.com/BEAST2-Dev/nested-sampling,,LGPL-2.1,beast2;nested-sampling;bayesian-phylogenetics
8,GEMM3D,3D Magnetotelluric simulation and sensitivity analysis tool,"A program for simulating 3D Magnetotelluric responses using Vector Finite Elements and calculating sensitivity matrices via the Adjoint States Method, used in geophysical inversion.",P4;P4-01,simulation;inversion;sensitivity_analysis,solver,Fortran,https://github.com/Barriga-Nunes/GEMM3D,,MIT,magnetotellurics;geophysics;finite-element;inversion
9,deep-kernel-transfer,Bayesian Meta-Learning via Deep Kernels,"PyTorch implementation of Deep Kernel Transfer for Bayesian Meta-Learning, enabling few-shot learning with uncertainty quantification.",P4;P4-01,meta_learning;uncertainty_quantification;bayesian_inference,library,Python,https://github.com/BayesWatch/deep-kernel-transfer,,None,meta-learning;gaussian-processes;pytorch;few-shot-learning
10,blind-dps,Parallel Diffusion Model for Blind Inverse Problems,"Implementation of a parallel diffusion model approach for solving blind inverse problems (where the forward operator is unknown or uncertain), applicable to image restoration and scientific imaging.",P4;P4-01,inverse_problems;diffusion_models;image_restoration,library,Python,https://github.com/BlindDPS/blind-dps,,None,inverse-problems;diffusion-models;blind-deblurring
11,HMCMT2D,2D Magnetotelluric probabilistic inversion using Hamiltonian Monte Carlo,"A Julia software package for 2D probabilistic inversion and uncertainty quantification of Magnetotelluric (MT) data, utilizing the Hamiltonian Monte Carlo (HMC) method for efficient sampling.",P4;P4-01,inversion;uncertainty_quantification;geophysics,solver,Julia,https://github.com/CUG-EMI/HMCMT2D,,GPL-3.0,magnetotellurics;hmc;inversion;julia
12,tensorflow_probability_ukf,Unscented Kalman Filter in Tensorflow Probability,"An implementation of the Unscented Kalman Filter (UKF) using TensorFlow Probability, enabling differentiable state estimation and filtering.",P4;P4-01,filtering;state_estimation;kalman_filter,library,Python,https://github.com/ChristophAy/tensorflow_probability_ukf,,Apache-2.0,kalman-filter;tensorflow-probability;state-estimation
13,ClimaAtmos.jl,Atmosphere model leveraging data assimilation and ML,A Julia-based atmospheric model designed to integrate data assimilation and machine learning for calibrating subgrid-scale processes and improving climate predictions.,P4;P4-01,atmospheric_modeling;data_assimilation;calibration,solver,Julia,https://github.com/CliMA/ClimaAtmos.jl,,Apache-2.0,climate-modeling;julia;data-assimilation;atmosphere
14,EnsembleKalmanProcesses.jl,Ensemble Kalman Inversion and Uncertainty Quantification,"A Julia library implementing Ensemble Kalman Processes (EKP) for gradient-free optimization, approximate uncertainty quantification, and inverse problems.",P4;P4-01,optimization;uncertainty_quantification;inverse_problems,library,Julia,https://github.com/CliMA/EnsembleKalmanProcesses.jl,https://clima.github.io/EnsembleKalmanProcesses.jl/dev/,Apache-2.0,ensemble-kalman-filter;inverse-problems;julia;optimization
15,Oceananigans.jl,Fast and flexible ocean fluid dynamics on CPUs and GPUs,"A Julia software package for simulating ocean-flavored fluid dynamics, often used as the forward model in data assimilation and parameter estimation workflows.",P4;P4-01,fluid_dynamics;simulation;oceanography,solver,Julia,https://github.com/CliMA/Oceananigans.jl,https://clima.github.io/Oceananigans.jl/stable/,MIT,fluid-dynamics;ocean-modeling;julia;gpu
16,Cobaya,Bayesian analysis code for cosmology and astrophysics,"A general-purpose Bayesian analysis code for cosmology and astrophysics, offering a modular framework for sampling and modeling.",P4;P4-01,bayesian_analysis;sampling;cosmology,platform,Python,https://github.com/CobayaSampler/cobaya,https://cobaya.readthedocs.io,NOASSERTION,cosmology;mcmc;bayesian-inference;sampling
17,diffusion-posterior-sampling,Diffusion Posterior Sampling for noisy inverse problems,"PyTorch implementation of Diffusion Posterior Sampling (DPS), a method for solving general noisy inverse problems using pre-trained diffusion models.",P4;P4-01,inverse_problems;diffusion_models;posterior_sampling,library,Python,https://github.com/DPS2022/diffusion-posterior-sampling,,None,diffusion-models;inverse-problems;generative-models
18,dassflow2d,Data Assimilation for free surface flows,"A software for simulating and assimilating data into shallow-water like systems (river networks, floodplains), designed for hydraulic modeling and flood forecasting.",P4;P4-01,data_assimilation;hydraulics;simulation,solver,GLSL,https://github.com/DassHydro/dassflow2d,,NOASSERTION,hydrology;data-assimilation;shallow-water-equations
