id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,SSSD,Diffusion-based time series imputation and forecasting model,"A structured state space model (SSSD) implementation for time series imputation and forecasting, utilizing diffusion models to handle missing data in healthcare and environmental datasets.",E3;E3-01,imputation;forecasting,solver,Python,https://github.com/AI4HealthUOL/SSSD,,MIT,diffusion-model;time-series;imputation
2,Agrolib,Library for agrometeorological modeling and climate analysis,"A set of C++ libraries for agrometeorological modeling, including numerical solutions for soil water/heat flow, water balance, meteorological data interpolation, and plant development simulation.",E3;E3-01,modeling;simulation,library,C++,https://github.com/ARPA-SIMC/agrolib,,LGPL-3.0,agrometeorology;soil-modeling;climate-analysis
3,mSSA,Multivariate Singular Spectrum Analysis for time series,"An implementation of Multivariate Singular Spectrum Analysis (mSSA) for forecasting and imputation of multivariate time series data, suitable for environmental sensor streams.",E3;E3-01,imputation;forecasting,solver,Jupyter Notebook,https://github.com/AbdullahO/mSSA,,Apache-2.0,mssa;time-series;imputation
4,DiffAD,Diffusion-based anomaly detection for time series,"Implementation of 'Imputation-based Time-Series Anomaly Detection with Conditional Weight-Incremental Diffusion Models', providing a generative approach to identify anomalies in sensor data.",E3;E3-01,anomaly_detection;imputation,solver,Python,https://github.com/ChunjingXiao/DiffAD,,None,diffusion-model;anomaly-detection;time-series
5,FedIoT,Federated learning framework for IoT anomaly detection,"A federated learning framework designed for on-device anomaly detection in Internet of Things (IoT) environments, enabling privacy-preserving model training across distributed sensors.",E3;E3-01,anomaly_detection;federated_learning,framework,Python,https://github.com/FedML-AI/FedIoT,,None,federated-learning;iot;anomaly-detection
6,pyodi,Python tool for object detection dataset analysis,"A tool to analyze and visualize object detection datasets, useful for quality control and insights in image-based environmental monitoring (e.g., camera traps).",E3;E3-01,quality_control;data_analysis,library,Python,https://github.com/Gradiant/pyodi,,MPL-2.0,object-detection;dataset-analysis;visualization
7,GRIN,Graph Neural Networks for multivariate time series imputation,"Implementation of 'Filling the G_ap_s', a method using Graph Neural Networks to reconstruct missing data in multivariate time series by leveraging spatial-temporal dependencies.",E3;E3-01,imputation,solver,Python,https://github.com/Graph-Machine-Learning-Group/grin,,None,gnn;time-series;imputation
8,SaQC,System for Automated Quality Control of time series data,"A tool developed by Helmholtz-UFZ for the automated quality control and processing of time series data, specifically designed for environmental monitoring networks.",E3;E3-01,quality_control;filtering,library,Python,https://github.com/Helmholtz-UFZ/saqc,https://git.ufz.de/rdm-software/saqc,NOASSERTION,quality-control;time-series;environmental-data
9,GAN-RNN_Timeseries-imputation,Recurrent GAN for time series imputation,"A Recurrent Generative Adversarial Network (GAN) implementation designed to impute missing values in time series data, applicable to sensor data cleaning.",E3;E3-01,imputation,solver,Jupyter Notebook,https://github.com/IvanBongiorni/GAN-RNN_Timeseries-imputation,,MIT,gan;rnn;imputation
10,MTSCI,Conditional Diffusion Model for time series imputation,"Source code for MTSCI, a conditional diffusion model designed for consistent imputation in incomplete time series data.",E3;E3-01,imputation,solver,Python,https://github.com/JeremyChou28/MTSCI,,None,diffusion-model;imputation;time-series
