id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,loupeR,Converter for Seurat objects to 10x Genomics Loupe Browser files,"A lightweight R package designed to convert Seurat objects into .cloupe files, enabling visualization and analysis of single-cell data within the 10x Genomics Loupe Browser.",B3;B3-01,data_conversion;visualization_prep,library,R,https://github.com/10XGenomics/loupeR,,NOASSERTION,seurat;loupe-browser;file-conversion;single-cell
2,AnnSQL,SQL-based query interface for AnnData objects,"A Python package that enables SQL-based querying directly on AnnData objects, facilitating complex data filtering and retrieval operations for single-cell datasets.",B3;B3-01,data_querying;data_filtering,library,Python,https://github.com/ArpiarSaundersLab/annsql,,MIT,anndata;sql;query;single-cell
3,PiGx scRNAseq,Pipeline for analysis of Drop-seq single cell RNA-seq data,"A comprehensive pipeline for processing Drop-seq single-cell RNA-seq data, handling steps from raw reads to expression matrices and quality control reports.",B3;B3-01,pipeline;preprocessing;quality_control,workflow,Python,https://github.com/BIMSBbioinfo/pigx_scrnaseq,http://bioinformatics.mdc-berlin.de/pigx/,GPL-3.0,drop-seq;pipeline;scrnaseq;preprocessing
4,scVIDR,Variational inference model for predicting dose responses in single cells,A Variational Autoencoder (VAE) tool designed to predict gene expression changes in response to chemical perturbations across different cell types in single-cell data.,B3,modeling;perturbation_prediction,solver,Jupyter Notebook,https://github.com/BhattacharyaLab/scVIDR,,MIT,vae;perturbation;dose-response;single-cell
5,MiCV,"Web-application for scRNA-seq filtering, analysis, and annotation","A Python Dash-based web application that allows researchers to upload raw scRNA-seq data for interactive filtering, analysis, and manual annotation without requiring extensive coding skills.",B3;B3-01,visualization;analysis_platform;annotation,platform,Python,https://github.com/Cai-Lab-at-University-of-Michigan/MiCV,,Apache-2.0,dash;web-app;scrnaseq;interactive
6,ceLLama,Local LLM-based cell type annotation tool,"A tool leveraging local Large Language Models (LLMs) for automated cell type annotation in single-cell RNA-seq data, emphasizing privacy and speed.",B3,cell_type_annotation,solver,R,https://github.com/CelVoxes/ceLLama,,None,llm;annotation;single-cell;nlp
7,scrna_seurat_pipeline,Comprehensive Seurat-based analysis pipeline for scRNA-seq,"A structured pipeline utilizing the Seurat framework for the comprehensive analysis of single-cell transcriptomics data, covering preprocessing to downstream analysis.",B3;B3-01,pipeline;analysis,workflow,R,https://github.com/CostaLab/scrna_seurat_pipeline,,None,seurat;pipeline;scrnaseq
8,ASAP,Automated Single-cell Analysis Pipeline,"A web-based platform and pipeline for the automated analysis of single-cell RNA-seq data, providing a user-friendly interface for processing and visualization.",B3;B3-01,pipeline;analysis_platform,platform,Java,https://github.com/DeplanckeLab/ASAP,https://asap.epfl.ch/,GPL-3.0,pipeline;web-server;scrnaseq;automation
9,Interactive-3D-Plotting-in-Seurat,3D visualization tool for Seurat objects,R code and utilities to generate interactive 3D UMAP and tSNE plots from Seurat-analyzed single-cell RNA-seq data.,B3,visualization,library,R,https://github.com/Dragonmasterx87/Interactive-3D-Plotting-in-Seurat-3.0.0,,GPL-3.0,visualization;3d;seurat;umap
10,gssnng,Gene Set Scoring on the Nearest Neighbor Graph,A tool for performing gene set scoring on single-cell RNA-seq data using the nearest neighbor graph structure within AnnData objects.,B3,scoring;analysis,library,Jupyter Notebook,https://github.com/IlyaLab/gssnng,,MIT,gene-set-scoring;anndata;single-cell;graph
11,sc-atacseq-explorer,Preprocessing tool for single cell ATAC-Seq data,"A preprocessing utility for single-cell ATAC-Seq data, designed to prepare data for visualization and analysis in single cell explorer tools.",B3;B3-01,preprocessing;atac-seq,library,Jupyter Notebook,https://github.com/JetBrains-Research/sc-atacseq-explorer,,None,atac-seq;preprocessing;single-cell
12,DoubletDetection,Doublet detection in single-cell RNA-seq data,A Python package for detecting doublets (technical artifacts where two cells are sequenced as one) in single-cell RNA-seq data.,B3;B3-01,quality_control;doublet_detection,library,Python,https://github.com/JonathanShor/DoubletDetection,,MIT,doublet-detection;qc;scrnaseq
13,ALRA,Adaptively-thresholded Low-Rank Approximation for scRNA-seq,"A method for imputation of missing values in single-cell RNA-seq data using low-rank approximation, helping to recover true biological signals from sparse data.",B3;B3-01,imputation;denoising,library,R,https://github.com/KlugerLab/ALRA,,MIT,imputation;scrnaseq;low-rank-approximation
14,MAGIC,Markov Affinity-based Graph Imputation of Cells,"An algorithm for imputing missing values in high-dimensional data, particularly single-cell RNA-seq, by sharing information across similar cells to restore data structure.",B3;B3-01,imputation;denoising,library,Python,https://github.com/KrishnaswamyLab/MAGIC,https://magic.readthedocs.io/,GPL-2.0,imputation;scrnaseq;graph-diffusion
15,FastCAR,Fast Correction of Ambient RNA,"An R package designed to remove ambient RNA contamination from droplet-based single-cell sequencing data, improving the accuracy of downstream analysis.",B3;B3-01,quality_control;ambient_rna_removal,library,R,https://github.com/LungCellAtlas/FastCAR,,None,ambient-rna;decontamination;scrnaseq
16,Scasat,Single cell ATAC-seq preprocessing and analysis pipeline,"A complete pipeline for the preprocessing and analysis of single-cell ATAC-seq data, facilitating the study of chromatin accessibility at the single-cell level.",B3;B3-01,pipeline;preprocessing;atac-seq,workflow,Jupyter Notebook,https://github.com/ManchesterBioinference/Scasat,,None,atac-seq;pipeline;single-cell
17,alphapepttools,Biological interpretation tools for proteomics data,"A library for the biological interpretation of proteomics data, designed to be agnostic to the search and quantification engine used.",B3,analysis;proteomics,library,Python,https://github.com/MannLabs/alphapepttools,,Apache-2.0,proteomics;data-interpretation;mass-spectrometry
18,DropletUtils,Utilities for handling droplet-based single-cell data,"A comprehensive R package providing utilities for handling, processing, and analyzing droplet-based single-cell data, including empty droplet detection and barcode swapping correction.",B3;B3-01,preprocessing;quality_control;io,library,R,https://github.com/MarioniLab/DropletUtils,https://bioconductor.org/packages/DropletUtils,GPL-3.0,droplet-sequencing;qc;bioconductor
