id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,shiny.gosling,R Shiny wrapper for Gosling.js genomics visualization grammar,"An R package that provides a Shiny wrapper for Gosling.js, enabling the creation of scalable and interactive genomics data visualizations within R applications.",B2;B2-01,visualization,library,R,https://github.com/Appsilon/shiny.gosling,,None,visualization;genomics;shiny;r
2,epialleleR,"Fast, epiallele-aware methylation caller and reporter","An R/Bioconductor package for calling and reporting DNA methylation patterns (epialleles) from Next Generation Sequencing data, focusing on preserving haplotype information.",B2;B2-01,variant_calling;methylation_analysis,solver,R,https://github.com/BBCG/epialleleR,,None,methylation;epigenetics;bioconductor
3,SOAPnuke,Integrated Quality Control and Preprocessing tool for NGS data,"A C++ tool developed by BGI for rapid quality control and preprocessing (filtering, trimming) of FASTQ, BAM, and CRAM files generated by high-throughput sequencing.",B2;B2-01,quality_control;preprocessing,solver,C++,https://github.com/BGI-flexlab/SOAPnuke,,GPL-3.0,qc;fastq;bam;preprocessing
4,BamDeal,Comprehensive toolkit for BAM file manipulation,"A toolkit developed by BGI for various operations on BAM files, including statistics, filtering, and format conversion, facilitating downstream genomic analysis.",B2;B2-01,file_manipulation;statistics,solver,C++,https://github.com/BGI-shenzhen/BamDeal,,MIT,bam;genomics;toolkit
5,tb_variant_filter,VCF filtering tool specialized for M. tuberculosis,"A Python-based tool designed to filter Variant Call Format (VCF) files specifically for Mycobacterium tuberculosis genomes, aiding in the identification of high-confidence variants.",B2;B2-01,filtering;variant_calling,solver,Python,https://github.com/COMBAT-TB/tb_variant_filter,,GPL-3.0,tuberculosis;vcf;filtering
6,megadepth,High-performance BigWig and BAM coverage utilities,"A fast C++ tool for quantifying alignments and coverage from BAM and BigWig files, significantly faster than comparable tools like rtracklayer or mosdepth for specific tasks.",B2;B2-01,coverage_analysis;quantification,solver,C++,https://github.com/ChristopherWilks/megadepth,,NOASSERTION,bam;bigwig;coverage;high-performance
7,chanjo,Coverage analysis tool for clinical sequencing,"A tool to analyze and extract coverage metrics from clinical sequencing data (BAM/CRAM), designed to integrate with clinical diagnostic workflows.",B2;B2-01,coverage_analysis;clinical_diagnostics,solver,Python,https://github.com/Clinical-Genomics/chanjo,,MIT,coverage;clinical;sequencing
8,ont2cram,Oxford Nanopore HDF/Fast5 to CRAM conversion tool,A utility developed by EGA to convert Oxford Nanopore Technologies (ONT) raw data formats (HDF5/Fast5) into the compressed CRAM format for efficient storage and archival.,B2;B2-01,format_conversion;archival,solver,Python,https://github.com/EGA-archive/ont2cram,,Apache-2.0,ont;cram;fast5;conversion
9,vcf_annotation_pipeline,Snakemake workflow for VCF filtering and annotation,"A Snakemake-based pipeline integrating GATK4, SnpSift, and VEP to filter, annotate, and prepare variant call data for downstream analysis tools like Scout.",B2;B2-01,workflow;annotation;filtering,workflow,Python,https://github.com/ESR-NZ/vcf_annotation_pipeline,,None,snakemake;vcf;annotation;pipeline
10,BamM,Metagenomics-focused BAM file manipulation,"A C-based tool suite for parsing and manipulating BAM files specifically for metagenomics applications, including parsing, filtering, and profiling.",B2;B2-01,file_manipulation;metagenomics,solver,C,https://github.com/Ecogenomics/BamM,,LGPL-3.0,metagenomics;bam;parsing
