id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,shark,Mapping-free read selection tool for RNA-Seq data,"Shark is a mapping-free software designed to fish relevant reads in an RNA-Seq sample, optimizing the process of selecting specific sequences without full alignment.",B4;B4-01,read_filtering;rna_seq_analysis,solver,C++,https://github.com/AlgoLab/shark,,GPL-3.0,rna-seq;read-filtering;mapping-free
2,Arcadia-Science/metagenomics,Nextflow workflow for metagenomic QC and profiling,"A Nextflow workflow designed for quality control, evaluation, and profiling of metagenomic samples, supporting both short-read and long-read sequencing technologies.",B4;B4-01,quality_control;metagenomic_profiling;workflow,workflow,Nextflow,https://github.com/Arcadia-Science/metagenomics,,MIT,metagenomics;nextflow;quality-control;profiling
3,SOAPnuke,Integrated quality control and preprocessing tool for NGS data,"A tool for integrated Quality Control and Preprocessing on FASTQ or BAM/CRAM files, developed by BGI. It performs filtering, trimming, and statistics generation for high-throughput sequencing data.",B4;B4-01,quality_control;preprocessing;trimming,solver,C++,https://github.com/BGI-flexlab/SOAPnuke,,GPL-3.0,fastq;bam;quality-control;preprocessing
4,Bowtie 2,Fast and sensitive gapped read aligner,Bowtie 2 is an ultrafast and memory-efficient tool for aligning sequencing reads to long reference sequences. It supports gapped alignment and is widely used in NGS workflows.,B4;B4-01,alignment;read_mapping,solver,C++,https://github.com/BenLangmead/bowtie2,http://bowtie-bio.sourceforge.net/bowtie2/index.shtml,GPL-3.0,alignment;ngs;read-mapping
5,GateKeeper,FPGA-accelerated pre-alignment filter for DNA short reads,"GateKeeper is a fast alignment filter for DNA short read mapping, designed to quickly reject dissimilar sequences before expensive alignment steps, often utilizing FPGA acceleration.",B4;B4-01,alignment_filtering;pre_alignment,solver,VHDL,https://github.com/BilkentCompGen/GateKeeper,,GPL-3.0,alignment-filter;fpga;acceleration
6,bamql,Query language for filtering SAM/BAM reads,"BamQL provides a query language syntax for filtering reads in SAM/BAM files, allowing for complex selection criteria beyond standard flag filtering.",B4;B4-01,data_filtering;sam_bam_processing,solver,C++,https://github.com/BoutrosLaboratory/bamql,,NOASSERTION,bam;sam;filtering;query-language
7,SanitizeMe,Host contaminant removal tool for sequencing data,"A tool developed by CDC to remove host contaminants from sequencing files, ensuring privacy and data cleanliness for downstream analysis.",B4;B4-01,host_removal;contamination_control,workflow,Python,https://github.com/CDCgov/SanitizeMe,,Apache-2.0,decontamination;host-removal;sequencing
8,SneakySnake,Hardware-efficient pre-alignment filtering algorithm,"SneakySnake is a pre-alignment filtering algorithm that works efficiently on CPU, FPGA, and GPU architectures to expedite sequence alignment calculation for both short and long reads.",B4;B4-01,alignment_filtering;pre_alignment,solver,VHDL,https://github.com/CMU-SAFARI/SneakySnake,,GPL-3.0,alignment-filter;acceleration;genomics
9,CebolaLab/RNA-seq,Step-by-step analysis pipeline for RNA-seq data,"A shell-based analysis pipeline for RNA-seq data processing, covering steps from raw reads to expression quantification.",B4;B4-01,rna_seq_analysis;workflow,workflow,Shell,https://github.com/CebolaLab/RNA-seq,,None,rna-seq;pipeline;analysis
10,fadapa,Parser for FastQC output data,FAstqc DAta PArser (fadapa) is a minimal Python library to parse FastQC output data into a structured format for programmatic access.,B4;B4-01,qc_report_parsing;quality_control,library,Jupyter Notebook,https://github.com/ChillarAnand/fadapa,,None,fastqc;parser;python
11,UMICollapse,Fast deduplication for reads with Unique Molecular Identifiers,Accelerating the deduplication and collapsing process for reads with Unique Molecular Identifiers (UMI). Heavily optimized for scalability and speed.,B4;B4-01,deduplication;umi_processing,solver,Java,https://github.com/Daniel-Liu-c0deb0t/UMICollapse,,MIT,umi;deduplication;ngs
12,TrimGalore,Wrapper for Cutadapt and FastQC for consistent trimming,"A wrapper around Cutadapt and FastQC to consistently apply adapter and quality trimming to FastQ files, with extra functionality for RRBS data.",B4;B4-01,quality_control;adapter_trimming,solver,Perl,https://github.com/FelixKrueger/TrimGalore,,GPL-3.0,trimming;fastqc;cutadapt;ngs
13,sra-pipeline,Pipeline to download and process SRA files,"A pipeline to download sra files from SRA, pipe through fastq_dump and bowtie2, designed for containerized execution.",B4;B4-01,data_retrieval;alignment_workflow,workflow,Python,https://github.com/FredHutch/sra-pipeline,,None,sra;pipeline;fastq-dump
14,toulligQC,Post-sequencing QC tool for Oxford Nanopore data,A post sequencing QC tool specifically designed for Oxford Nanopore sequencers to evaluate run quality and read statistics.,B4;B4-01,quality_control;nanopore_qc,solver,JavaScript,https://github.com/GenomiqueENS/toulligQC,,NOASSERTION,nanopore;quality-control;ont
15,dropSeqPipe,Snakemake workflow for Drop-Seq scRNA-seq preprocessing,"A SingleCell RNASeq pre-processing snakemake workflow, specifically tailored for Drop-Seq data analysis.",B4;B4-01,scrna_seq_processing;workflow,workflow,Python,https://github.com/Hoohm/dropSeqPipe,,CC-BY-SA-4.0,single-cell;drop-seq;snakemake;pipeline
16,TGSFilter,Ultra-fast filtering and trimming tool for long reads,TGSFilter is an efficient tool designed for the filtering and trimming of Third Generation Sequencing (long read) data.,B4;B4-01,long_read_filtering;trimming,solver,C++,https://github.com/HuiyangYu/TGSFilter,,GPL-3.0,long-reads;filtering;trimming
17,fastprop,Fast molecular property prediction library,"Fast Molecular Property Prediction using mordredcommunity descriptors, designed for cheminformatics and materials science applications.",Chemistry;Materials,molecular_property_prediction;qsar,library,Python,https://github.com/JacksonBurns/fastprop,,MIT,cheminformatics;molecular-properties;prediction
18,AliNe,Nextflow alignment pipeline from FASTQ to BAM,"A Nextflow Alignment Pipeline that processes raw fastq.gz files into sorted BAM files, streamlining the alignment workflow.",B4;B4-01,alignment_workflow;preprocessing,workflow,Nextflow,https://github.com/Juke34/AliNe,,MIT,alignment;nextflow;pipeline
19,vtkToolbox,MATLAB interface for VTK scientific visualization,"A MEX interface to the VTK library, providing MATLAB functions to read/write VTK files and apply VTK filters for scientific visualization and data processing.",Scientific_Visualization,visualization;data_processing,library,C++,https://github.com/KIT-IBT/vtkToolbox,,MPL-2.0,vtk;matlab;visualization
20,FastqCLS,Score-based reordering compressor for FASTQ data,A robust FASTQ-specific compressor for recent generation sequencing data that utilizes score-based reordering to improve compression ratios.,B4;B4-01,data_compression;fastq_processing,solver,Python,https://github.com/Krlucete/FastqCLS,,MIT,compression;fastq;bioinformatics
21,Natrix,Bioinformatics pipeline for raw sequencing data preprocessing,"An open-source bioinformatics pipeline designed for the preprocessing of raw sequencing data, including quality control and filtering steps.",B4;B4-01,preprocessing_workflow;quality_control,workflow,Python,https://github.com/MW55/Natrix,,MIT,pipeline;preprocessing;ngs
22,DAmar,"Long read QC, assembly and scaffolding pipeline","A pipeline for Quality Control, assembly, and scaffolding of long-read sequencing data.",B4;B4-01,assembly;quality_control;scaffolding,workflow,C,https://github.com/MartinPippel/DAmar,,NOASSERTION,long-reads;assembly;pipeline
23,FastProNGS,"Integrated tool for FASTQ QC, trimming, and statistics","A tool used to cut adapter, perform quality control, trimming, splitting, and statistics generation for fastq data.",B4;B4-01,quality_control;preprocessing;trimming,solver,C,https://github.com/Megagenomics/FastProNGS,,None,fastq;quality-control;trimming
24,Ktrim,Extra-fast and accurate adapter and quality trimmer for sequencing data,"Ktrim is a lightweight and efficient tool designed for the quality control of high-throughput sequencing data. It performs adapter trimming and quality filtering with high speed and accuracy, suitable for preprocessing raw reads before downstream analysis.",Bioinfo;B4;B4-01,quality_control;adapter_trimming;read_filtering,solver,C++,https://github.com/hellosunking/Ktrim,,None,ngs;trimming;quality-control;fastq
25,HoCoRT,Host Contamination Removal Tool for sequencing reads,HoCoRT (Host Contamination Removal Tool) is a pipeline designed to efficiently remove specific organism sequences (such as host contamination) from sequencing reads. It utilizes fast alignment tools like Bowtie2 and Hisat2 to filter out unwanted reads while preserving the target microbial data.,Bioinfo;B4;B4-01,decontamination;host_removal;read_filtering,workflow,Python,https://github.com/ignasrum/hocort,,MIT,metagenomics;contamination-removal;fastq;host-filtering
26,AlignQC,Analysis and quality control tool for long read alignments,"AlignQC is a tool for analyzing long-read sequencing alignments. It generates comprehensive reports on mappability, error patterns, and read characteristics from BAM files, outputting XHTML reports for visualization and quality assessment of long-read data.",Bioinfo;B4;B4-01,quality_control;alignment_analysis;long_read_analysis,solver,Python,https://github.com/jason-weirather/AlignQC,,Apache-2.0,long-reads;bam;quality-control;alignment
27,eASV-pipeline-for-515Y-926R,Pipeline for analyzing mixed 16S/18S amplicon sequences,"This pipeline is designed for the analysis of mixed 16S and 18S amplicon sequences, specifically targeting the 515Y-926R primer set. It integrates tools like QIIME2, DADA2, and Deblur to perform quality control, denoising, and taxonomic classification for microbial ecology studies.",Bioinfo;B4,amplicon_analysis;microbial_ecology;pipeline,workflow,Shell,https://github.com/jcmcnch/eASV-pipeline-for-515Y-926R,,GPL-3.0,16s;18s;microbiome;qiime2
28,needLR,Structural variant filtering and prioritization for long-read data,needLR is a tool for filtering and prioritizing structural variants (SVs) detected in long-read sequencing data. It helps in reducing false positives and identifying high-confidence SVs for downstream genomic analysis.,Bioinfo,variant_filtering;structural_variant_analysis;long_read_analysis,solver,Shell,https://github.com/jgust1/needLR,,MIT,structural-variants;long-reads;filtering
29,TaxTriage,Nextflow workflow for agnostic identification and classification of microbial organisms,TaxTriage is a flexible Nextflow workflow designed for the agnostic identification and classification of microbial organisms from both short-read and long-read metagenomic NGS data. It facilitates rapid triage and analysis of metagenomic samples.,Bioinfo;B4,metagenomics;taxonomic_classification;microbial_identification,workflow,Java,https://github.com/jhuapl-bio/taxtriage,,MIT,metagenomics;nextflow;classification;microbiome
30,fastqcr,R package for quality control of sequencing data,"fastqcr is an R package that facilitates the quality control of sequencing data. It allows users to run FastQC from within R, aggregate the results, and generate summary reports, streamlining the QC process for large datasets.",Bioinfo;B4;B4-01,quality_control;qc_reporting;fastq_analysis,solver,R,https://github.com/kassambara/fastqcr,,None,r;fastqc;quality-control;ngs
31,FastQt,FastQC port to Qt5 for high throughput sequence data quality control,"FastQt is a graphical user interface tool for quality control of high-throughput sequencing data, ported from FastQC to the Qt5 framework. It provides an interactive environment for visualizing and assessing the quality of sequencing reads.",Bioinfo;B4;B4-01,quality_control;visualization;gui,solver,C++,https://github.com/labsquare/FastQt,,GPL-3.0,fastqc;qt;quality-control;gui
32,FastqCleaner,"Shiny application for quality control, filtering, and trimming of FASTQ files","FastqCleaner is a Bioconductor package providing a Shiny web application and R functions for the quality control, filtering, and trimming of FASTQ files. It offers a user-friendly interface for preprocessing sequencing data.",Bioinfo;B4;B4-01,quality_control;trimming;filtering;interactive_analysis,solver,HTML,https://github.com/leandroroser/FastqCleaner,,NOASSERTION,shiny;bioconductor;fastq;preprocessing
33,trimadap,Fast but inaccurate adapter trimmer for Illumina reads,trimadap is a lightweight C tool developed by Heng Li for removing adapter sequences from Illumina sequencing reads. It prioritizes speed and is designed for specific use cases where heuristic trimming is sufficient.,Bioinfo;B4;B4-01,adapter_trimming;read_preprocessing,solver,C,https://github.com/lh3/trimadap,,MIT,illumina;trimming;ngs
34,primer-trimming,Fast C code for identifying and removing primers and adapters,primer-trimming is a fast C-based utility for identifying and removing primer and adapter sequences from sequencing data. It is designed for efficient preprocessing of reads in metagenomic and genomic workflows.,Bioinfo;B4;B4-01,primer_removal;adapter_trimming;preprocessing,solver,C,https://github.com/linsalrob/primer-trimming,,MIT,c;trimming;primers;adapters
35,Cutadapt,"Tool to remove adapter sequences, primers, poly-A tails and other unwanted sequence from high-throughput sequencing reads","Cutadapt finds and removes adapter sequences, primers, poly-A tails and other types of unwanted sequence from your high-throughput sequencing reads. It is one of the most widely used tools for cleaning NGS data before alignment or assembly.",Bioinfo;B4;B4-01,adapter_trimming;quality_control;read_preprocessing,solver,Python,https://github.com/marcelm/cutadapt,https://cutadapt.readthedocs.io/,MIT,ngs;trimming;adapters;fastq
36,slide_snake,Snakemake pipeline for spatial transcriptomics data processing,"slide_snake is a Snakemake pipeline designed for the preprocessing, alignment, quality control, and quantification of spatial transcriptomics data. It supports both short-read and long-read sequencing technologies.",Bioinfo,spatial_transcriptomics;pipeline;quantification;alignment,workflow,Python,https://github.com/mckellardw/slide_snake,,MIT,spatial-transcriptomics;snakemake;pipeline;rna-seq
37,Metagenomics-Toolkit,"Scalable, data-agnostic workflow for short and long metagenomic read analysis","A scalable workflow that automates the analysis of short and long metagenomic reads obtained from Illumina or Oxford Nanopore Technology devices. It handles quality control, assembly, and other downstream tasks in a reproducible manner.",B4;B4-01,workflow;quality_control;assembly,workflow,Nextflow,https://github.com/metagenomics/metagenomics-tk,,AGPL-3.0,metagenomics;workflow;illumina;nanopore;quality-control
38,ChIPSeqFPro,Automated processing script for ChIP-Seq data from FASTQ to peaks,"A script for full processing of ChIP-Seq data starting from fastq files. It performs FastQC quality control, mapping to human or mouse genomes using BWA, SAM/BAM conversion, peak calling with MACS, and BigWig generation.",Bioinfo;Epigenetics,quality_control;alignment;peak_calling,workflow,Shell,https://github.com/milospjanic/ChIPSeqFPro,,None,chip-seq;pipeline;fastqc;bwa;macs
39,rnaSeqFPro,Automated processing script for RNA-Seq data analysis,"A script for full processing of RNA-Seq data starting from fastq files. It integrates FastQC, STAR mapping, featureCounts, and DESeq2 for differential expression analysis and visualization.",Bioinfo;Transcriptomics,quality_control;alignment;quantification;differential_expression,workflow,Shell,https://github.com/milospjanic/rnaSeqFPro,,Apache-2.0,rna-seq;pipeline;star;deseq2;fastqc
