id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,fastq_set,Tools for working with 10x Genomics FASTQ files,"A set of tools written in Rust for processing FASTQ files generated by 10x Genomics sequencers, handling R1/R2/I1/I2 read files.",B1;B1-01,parsing;processing,solver,Rust,https://github.com/10XGenomics/fastq_set,,NOASSERTION,fastq;10x-genomics;rust
2,pairsqc,QC report generator for Hi-C pairs files,"A tool designed to generate quality control reports for Hi-C pairs files, developed by the 4D Nucleome Data Coordination and Integration Center.",B1;B1-01,quality_control;qc_report,solver,HTML,https://github.com/4dn-dcic/pairsqc,,MIT,hi-c;qc;genomics
3,seqqc,Nextflow pipeline for sequencing data quality control,"A Nextflow pipeline designed to identify quality control issues with new sequencing data, facilitating automated QC workflows.",B1;B1-01,quality_control;workflow,workflow,Groovy,https://github.com/Arcadia-Science/seqqc,,MIT,nextflow;qc;sequencing
4,SOAPnuke,Integrated Quality Control and Preprocessing tool for FASTQ/BAM,"A C++ tool developed by BGI for integrated quality control and preprocessing of FASTQ or BAM/CRAM files, supporting filtering and trimming.",B1;B1-01,quality_control;preprocessing;trimming,solver,C++,https://github.com/BGI-flexlab/SOAPnuke,,GPL-3.0,fastq;bam;qc;bgi
5,FxTools,Comprehensive toolkit for FASTA and FASTQ manipulation,"A comprehensive toolkit developed by BGI for manipulating FASTA and FASTQ files, including various processing utilities.",B1;B1-01,file_manipulation;processing,solver,C++,https://github.com/BGI-shenzhen/FxTools,,MIT,fasta;fastq;toolkit
6,SeqFilter,Versatile FASTA/FASTQ sequence file analysis and modification tool,"A Perl-based tool for analyzing and modifying FASTA and FASTQ sequence files, providing filtering and processing capabilities.",B1;B1-01,filtering;analysis,solver,Perl,https://github.com/BioInf-Wuerzburg/SeqFilter,,MIT,fasta;fastq;filtering
7,FASTX.jl,Julia library for parsing FASTA and FASTQ files,A high-performance Julia library for parsing and processing FASTA and FASTQ formatted biological sequence files.,B1;B1-01,parsing;processing,library,Julia,https://github.com/BioJulia/FASTX.jl,,MIT,julia;bioinformatics;parsing
8,RNASeq,Tools for RNASeq analysis from SRA to DE genes,"A collection of tools for RNASeq analysis, covering steps from SRA file processing to FASTQ generation, QC, mapping, and differential expression analysis.",B1;B1-01,workflow;qc;mapping,workflow,Python,https://github.com/BradyLab/RNASeq,,None,rnaseq;pipeline;qc
9,mim,Auxiliary index to improve parallel FASTQ parsing,"A small, auxiliary index designed to massively improve the performance of parallel FASTQ parsing, developed by the COMBINE lab.",B1;B1-01,parsing;acceleration,solver,C++,https://github.com/COMBINE-lab/mim,,BSD-3-Clause,fastq;parallel;indexing
10,Bamboo,QC and error profiling tool for long-read sequencing,A tool for quality control and error profiling specifically designed for long-read sequencing data.,B1;B1-01,quality_control;error_profiling,solver,HTML,https://github.com/CycloneSEQ-Bioinformatics/Bamboo,,GPL-3.0,long-read;qc;sequencing
11,UMICollapse,Fast deduplication for reads with Unique Molecular Identifiers,"A tool for accelerating the deduplication and collapsing process for reads with Unique Molecular Identifiers (UMI), optimized for scalability.",B1;B1-01,deduplication;processing,solver,Java,https://github.com/Daniel-Liu-c0deb0t/UMICollapse,,MIT,umi;deduplication;java
12,TrimGalore,Wrapper for Cutadapt and FastQC for consistent trimming,"A wrapper around Cutadapt and FastQC to consistently apply adapter and quality trimming to FASTQ files, with specific functionality for RRBS data.",B1;B1-01,trimming;quality_control,solver,Perl,https://github.com/FelixKrueger/TrimGalore,,GPL-3.0,trimming;qc;ngs
13,filter-fastq,Filter reads from a FASTQ file using identifiers,A Python tool to filter reads from a FASTQ file based on a provided list of identifiers.,B1;B1-01,filtering,solver,Python,https://github.com/Floor-Lab/filter-fastq,,MIT,fastq;filtering;python
14,ssvQC,R package for QC of enrichment based NGS assays,"An R package designed for quality control of enrichment-based NGS assays such as ChIP-seq, Cut&Run, and ATAC-seq.",B1;B1-01,quality_control,library,R,https://github.com/FrietzeLabUVM/ssvQC,,NOASSERTION,r;qc;ngs;chip-seq
15,FASTQuick,Ultra Fast NGS Data QC Tool,A C++ tool designed for ultra-fast quality control of Next-Generation Sequencing (NGS) data.,B1;B1-01,quality_control,solver,C++,https://github.com/Griffan/FASTQuick,,MIT,qc;ngs;fast
16,dropSeqPipe,SingleCell RNASeq pre-processing snakemake workflow,"A Snakemake workflow for the pre-processing of SingleCell RNASeq data, handling steps from raw reads to expression matrices.",B1;B1-01,workflow;preprocessing,workflow,Python,https://github.com/Hoohm/dropSeqPipe,,CC-BY-SA-4.0,scrnaseq;snakemake;pipeline
17,TGSFilter,Ultra-fast tool for long reads filtering and trimming,An efficient C++ tool designed for filtering and trimming long-read sequencing data (Third Generation Sequencing).,B1;B1-01,filtering;trimming,solver,C++,https://github.com/HuiyangYu/TGSFilter,,GPL-3.0,long-read;filtering;trimming
18,quack,FASTQ quality assessment tool,"A tool written in C for assessing the quality of FASTQ files, developed by IGBB.",B1;B1-01,quality_control,solver,C,https://github.com/IGBB/quack,,GPL-3.0,fastq;qc;c
19,fastprop,Fast Molecular Property Prediction,"A Python tool for fast molecular property prediction using mordredcommunity descriptors, applicable in cheminformatics.",Chemistry,property_prediction;modeling,solver,Python,https://github.com/JacksonBurns/fastprop,,MIT,chemistry;molecular-properties;prediction
20,seave,Web platform for genetic variant filtering and annotation,A web platform that enables genetic variants to be filtered and annotated with pathogenicity prediction scores and annotations from disease databases.,B1,variant_filtering;annotation,platform,HTML,https://github.com/KCCG/seave,,NOASSERTION,genomics;variants;filtering
21,FastaParser,Python FASTA file Parser and Writer,"A Python library for parsing and writing FASTA files, facilitating sequence data manipulation.",B1;B1-01,parsing;io,library,Python,https://github.com/Kronopt/FastaParser,,GPL-3.0,fasta;parser;python
22,SumStatsRehab,GWAS summary statistics QC tool,"A tool for quality control of GWAS summary statistics files, helping to ensure data integrity for downstream analysis.",B1,quality_control,solver,Python,https://github.com/Kukuster/SumStatsRehab,,MIT,gwas;qc;genetics
23,fastq-filter,Fast FASTQ filter program,"A high-performance C program for filtering FASTQ files, developed by LUMC.",B1;B1-01,filtering,solver,C,https://github.com/LUMC/fastq-filter,,MIT,fastq;filtering;c
24,NorotyperII,Pipeline for Norovirus sequencing data processing,"A Nextflow-based pipeline for processing Oxford Nanopore sequencing data of norovirus GII, including genotyping and QC.",B1;B1-01,workflow;genotyping;qc,workflow,Nextflow,https://github.com/Laboratory-of-molecular-epidemiology/NorotyperII,,NOASSERTION,norovirus;nextflow;nanopore
25,seqparse,Parser for various sequence file formats,"A tool to parse sequence files (GenBank, FASTA, SnapGene, SBOL) and accession IDs to a common format.",B1;B1-01,parsing;conversion,library,TypeScript,https://github.com/Lattice-Automation/seqparse,,MIT,parsing;genbank;fasta
26,idemux,Demultiplexing tool for QuantSeq-Pool FASTQ files,A command line tool designed to demultiplex paired-end FASTQ files from QuantSeq-Pool experiments.,B1;B1-01,demultiplexing,solver,Python,https://github.com/Lexogen-Tools/idemux,,NOASSERTION,demultiplexing;fastq;lexogen
27,idemuxcpp,High-performance demultiplexing and error correction tool,"A C++ implementation of iDemux for demultiplexing and error correction of FASTQ files, supporting various RNA-Seq library preps.",B1;B1-01,demultiplexing;error_correction,solver,C++,https://github.com/Lexogen-Tools/idemuxcpp,,NOASSERTION,demultiplexing;c++;fastq
28,FastProNGS,"Tool for adapter cutting, QC, and trimming of FASTQ data","A C-based tool used to cut adapters, perform quality control, trimming, splitting, and statistics calculation for FASTQ data.",B1;B1-01,quality_control;trimming;processing,solver,C,https://github.com/Megagenomics/FastProNGS,,None,fastq;qc;trimming
29,RNAseq-Pipeline,Streamlined RNA-Seq analysis workflow in R,"A repository offering a streamlined RNA-Seq analysis workflow implemented in R, covering steps from quality control to functional analysis.",B1;B1-01,workflow;qc;analysis,workflow,R,https://github.com/Mehdi-Kn/RNAseq-Pipeline,,MIT,rnaseq;pipeline;r
30,adapterremoval,"Rapid adapter trimming, identification, and read merging","AdapterRemoval v2 is a tool for rapid adapter trimming, identification, and read merging of sequencing data.",B1;B1-01,trimming;merging,solver,C++,https://github.com/MikkelSchubert/adapterremoval,,GPL-3.0,adapter-trimming;fastq;merging
