id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,Abalign,Visualization software for antibody multiple sequence alignment,"A visualization tool specifically designed for antibody multiple sequence alignments, aiding in the analysis of sequence conservation and variability in immunological studies.",B5;B5-01,visualization;antibody_alignment,platform,Unknown,https://github.com/Abalign/Abalign,,MIT,antibody;visualization;msa
2,Phylogenetic-Analysis-and-Protein-Sequence-Alignment-Pipeline,Pipeline for protein sequence alignment and phylogenetic analysis,"A Python pipeline integrating Biopython and Clustal Omega for protein sequence alignment, distance matrix calculation, and phylogenetic tree construction (UPGMA & NJ) with visualization capabilities.",B5;B5-01,multiple_sequence_alignment;phylogenetic_tree_construction,workflow,Python,https://github.com/Ahmedhany750/Phylogenetic-Analysis-and-Protein-Sequence-Alignment-Pipeline,,MIT,pipeline;phylogenetics;clustal-omega;protein-alignment
3,figleaf_fasta,"Tool to mask, exclude, or extract FASTA sub-sequences","A command-line utility for manipulating FASTA files, offering functionality to hard or soft mask sequences, as well as exclude or extract specific sub-sequences based on criteria.",B5;B5-01,sequence_masking;sequence_manipulation,solver,Python,https://github.com/AlexOrlek/figleaf_fasta,,MIT,fasta;masking;sequence-manipulation
4,AliView,"Intuitive and fast software for aligning, viewing, and editing DNA/amino acid sequences",A lightweight and fast graphical interface for viewing and editing multiple sequence alignments. It supports large datasets and provides features for manual alignment adjustment.,B5;B5-01,alignment_visualization;alignment_editing,platform,Java,https://github.com/AliView/AliView,http://ormbunkar.se/aliview/,GPL-3.0,msa-viewer;alignment-editor;dna;protein
5,GateKeeper,Fast alignment filter for DNA short read mapping,"A hardware-accelerated (FPGA) pre-alignment filter designed to rapidly discard dissimilar DNA sequences before performing expensive sequence alignment, improving the speed of read mapping.",B5;B5-01,alignment_filtering;read_mapping,solver,VHDL,https://github.com/BilkentCompGen/GateKeeper,,GPL-3.0,fpga;alignment-filter;dna-mapping;acceleration
6,Chorus,Heterogeneous GPU+CPU multiple protein sequence alignment search,"A high-performance tool for searching large databases using multiple protein sequence alignment, leveraging heterogeneous computing (GPU+CPU) to accelerate the process.",B5;B5-01,multiple_sequence_alignment;homology_search,solver,C++,https://github.com/Bio-Acc/Chorus,,GPL-3.0,gpu;msa;protein-alignment;hpc
7,ProSeqViewer,Library to visualize sequences and multiple sequence alignments (MSA),"A TypeScript library for embedding and visualizing protein sequences and multiple sequence alignments in web applications, supporting interactive exploration of alignment data.",B5;B5-01,alignment_visualization,library,TypeScript,https://github.com/BioComputingUP/ProSeqViewer,,GPL-2.0,visualization;msa;web-component
8,ish,Alignment-based filtering CLI tool,"A command-line tool for filtering sequences based on alignment criteria, likely used for quality control or selecting specific sequences from larger datasets.",B5;B5-01,alignment_filtering,solver,Mojo,https://github.com/BioRadOpenSource/ish,,Apache-2.0,filtering;alignment;cli
9,Iterative_masking,Iterative masking algorithm on MSA Transformer for synthetic sequence generation,An implementation of an iterative masking algorithm using MSA Transformers to generate synthetic protein sequences that preserve evolutionary statistics.,B5,sequence_generation;evolutionary_modeling,solver,Jupyter Notebook,https://github.com/Bitbol-Lab/Iterative_masking,,Apache-2.0,msa-transformer;protein-design;generative-model
10,Phylogeny-MSA-Transformer,Code for analyzing phylogenetic relationships using protein language models,"A repository containing methods to demonstrate how protein language models trained on MSAs learn phylogenetic relationships, useful for evolutionary inference tasks.",B5,phylogenetic_inference;protein_language_model,library,Jupyter Notebook,https://github.com/Bitbol-Lab/Phylogeny-MSA-Transformer,,MIT,phylogeny;msa;transformer;evolution
11,Scrooge,High-performance pairwise sequence aligner based on GenASM,"A fast and accurate pairwise sequence aligner that utilizes the GenASM algorithm, optimized for both CPU and GPU architectures to accelerate sequence alignment tasks.",B5;B5-01,pairwise_alignment;sequence_alignment,solver,C,https://github.com/CMU-SAFARI/Scrooge,,MIT,alignment;gpu;genasm;acceleration
12,Shifted-Hamming-Distance,Filtering mechanism for sequence alignment using Shifted Hamming Distance,"An implementation of the Shifted Hamming Distance (SHD) algorithm, which serves as a pre-alignment filter to quickly identify and discard dissimilar sequence pairs.",B5;B5-01,alignment_filtering,solver,C,https://github.com/CMU-SAFARI/Shifted-Hamming-Distance,,GPL-2.0,filtering;hamming-distance;simd
13,Shouji,Fast and accurate pre-alignment filter for banded sequence alignment,A pre-alignment filtering tool designed to accelerate banded sequence alignment calculations by reducing the search space for alignment algorithms.,B5;B5-01,alignment_filtering,solver,VHDL,https://github.com/CMU-SAFARI/Shouji,,GPL-3.0,filtering;alignment;acceleration
14,SneakySnake,"Efficient pre-alignment filtering algorithm for CPU, FPGA, and GPU","A highly efficient pre-alignment filtering algorithm capable of running on modern CPU, FPGA, and GPU architectures to expedite sequence alignment for both short and long reads.",B5;B5-01,alignment_filtering,solver,VHDL,https://github.com/CMU-SAFARI/SneakySnake,,GPL-3.0,filtering;fpga;gpu;alignment
15,coati,Codon-aware multiple sequence alignments,"A tool for performing multiple sequence alignments that explicitly considers codon structure, improving alignment accuracy for coding sequences.",B5;B5-01,codon_alignment;multiple_sequence_alignment,solver,C++,https://github.com/CartwrightLab/coati,,MIT,codon;msa;evolution
16,ncGTW,Profile alignment by neighbor-wise compound-specific graphical time warping,"An R package for aligning profiles (likely LC-MS or similar time-series data) using a graphical time warping approach with misalignment detection, useful in metabolomics or proteomics.",Bioinfo,profile_alignment;time_warping,library,R,https://github.com/ChiungTingWu/ncGTW,,Unknown,alignment;time-warping;metabolomics
17,catsequences,Tool for concatenating multiple FASTA alignments,"A utility designed to concatenate multiple FASTA alignment files into a supermatrix, a common preprocessing step for phylogenomic analyses.",B5,sequence_concatenation;phylogenomics,solver,C,https://github.com/ChrisCreevey/catsequences,,GPL-3.0,fasta;concatenation;phylogenetics
18,PoincareMSA,Visualization of multiple sequence alignments using Poincaré maps,"A tool for visualizing and interpreting multiple sequence alignments by projecting them onto Poincaré maps, aiding in the detection of hierarchical organization and evolutionary relationships.",B5;B5-01,alignment_visualization;dimensionality_reduction,solver,Jupyter Notebook,https://github.com/DSIMB/PoincareMSA,,Unknown,visualization;poincare-maps;msa
19,block-aligner,SIMD-accelerated library for adaptive block-based sequence alignment,A high-performance library for computing global and X-drop affine gap penalty sequence alignments using SIMD instructions and an adaptive block-based algorithm.,B5;B5-01,sequence_alignment;pairwise_alignment,library,Jupyter Notebook,https://github.com/Daniel-Liu-c0deb0t/block-aligner,,MIT,simd;alignment;library
20,infernal,RNA secondary structure and sequence profile alignment and search,A standard tool for searching DNA sequence databases for RNA structure and sequence similarities using covariance models (CMs).,B5,rna_alignment;homology_search,solver,C,https://github.com/EddyRivasLab/infernal,http://eddylab.org/infernal/,NOASSERTION,rna;covariance-models;alignment
21,msa4u,Simple visualization tool for Multiple Sequence Alignment,"A lightweight tool designed for the visualization of multiple sequence alignments, facilitating quick inspection of alignment results.",B5;B5-01,alignment_visualization,platform,Shell,https://github.com/GCA-VH-lab/msa4u,,WTFPL,visualization;msa
22,JBrowseMSA,Multiple sequence alignment viewer for JBrowse,A plugin or component for JBrowse that enables the visualization of multiple sequence alignments within the genome browser context.,B5;B5-01,alignment_visualization,platform,TypeScript,https://github.com/GMOD/JBrowseMSA,,MIT,jbrowse;visualization;msa
