id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,NER-RE Pipeline,"Spacy-based pipeline for Named Entity Recognition, Linking, and Relation Extraction","A comprehensive NLP pipeline built on Spacy v3 that performs Named Entity Recognition (NER), Entity Linking to a Knowledge Base, and Relation Extraction. It is designed to extract entities, normalize them, and identify relationships within text.",B6;B6-01,named_entity_recognition;entity_linking;relation_extraction,workflow,Python,https://github.com/AdirthaBorgohain/NER-RE,,None,ner;entity-linking;relation-extraction;spacy;nlp
2,OntoMerger,Ontology alignment library for deduplicating knowledge graph nodes,"A Python library developed by AstraZeneca for ontology alignment and knowledge graph deduplication. It helps in merging overlapping concepts from different ontologies into a unified hierarchy, essential for maintaining clean biological knowledge graphs.",B6;B6-01,ontology_alignment;knowledge_graph_construction,library,Python,https://github.com/AstraZeneca/onto_merger,,Apache-2.0,ontology-alignment;knowledge-graph;deduplication;bioinformatics
3,argNorm,Antibiotic Resistance Gene (ARG) normalization tool,"A tool to normalize Antibiotic Resistance Genes (ARGs) by mapping them to the Antibiotic Resistance Ontology (ARO). It supports outputs from various ARG prediction tools like DeepARG, ARGs-OAP, and Abricate.",B6;B6-01,normalization;ontology_mapping,library,Python,https://github.com/BigDataBiology/argNorm,https://github.com/BigDataBiology/argNorm,MIT,arg;antibiotic-resistance;normalization;ontology
4,MedCAT,Medical Concept Annotation Tool for biomedical text,"A highly efficient Natural Language Processing tool for extracting, linking, and normalizing medical concepts from Electronic Health Records (EHRs) and biomedical text. It uses unsupervised learning to build concept databases and performs Named Entity Recognition and Linking (NER+L).",B6;B6-01,named_entity_recognition;entity_linking;clinical_nlp,library,Python,https://github.com/CogStack/MedCAT,https://medcat.readthedocs.io/,Apache-2.0,clinical-nlp;ner;entity-linking;ehr;biomedical
5,MedCATtrainer,Interactive interface for training and improving MedCAT models,"A web-based interface designed to inspect, improve, and add concepts to MedCAT models. It allows for active learning and manual annotation to create high-quality training datasets for biomedical Named Entity Recognition and Linking.",B6;B6-01,data_annotation;model_training,platform,Python,https://github.com/CogStack/MedCATtrainer,,Apache-2.0,annotation-tool;active-learning;clinical-nlp
6,CogStack NLP,NLP pipeline and platform for clinical data analysis,"The core NLP component of the CogStack platform, designed to process and analyze unstructured clinical data. It integrates tools like MedCAT to enable information extraction and enterprise-level clinical search and analytics.",B6;B6-01,clinical_nlp;information_extraction,platform,HTML,https://github.com/CogStack/cogstack-nlp,https://cogstack.org/,Apache-2.0,clinical-nlp;healthcare;analytics;platform
7,OXO,Ontology cross-reference and mapping service,"A service provided by EMBL-EBI for finding mappings (cross-references) between terms from different ontologies, vocabularies, and coding standards. It allows users to traverse the network of ontology mappings.",B6;B6-01,ontology_mapping;cross_referencing,service,JavaScript,https://github.com/EBISPOT/OXO,https://www.ebi.ac.uk/spot/oxo/,Apache-2.0,ontology;mapping;ebi;bioinformatics
8,OntoString,Tool for curating mappings from free text to ontology terms,"A curation tool developed by EMBL-EBI to assist in mapping free text descriptions to ontology terms, facilitating the standardization of biomedical data.",B6;B6-01,data_curation;ontology_mapping,solver,Java,https://github.com/EBISPOT/OntoString,,None,curation;ontology;text-mining;ebi
9,ZOOMA,Optimal Ontology Mapping Application,"A service for automatically mapping free text annotations to ontology terms based on curated knowledge bases. Developed by EMBL-EBI, it helps in harmonizing biological data by predicting ontology codes for text descriptions.",B6;B6-01,ontology_mapping;text_annotation,service,Java,https://github.com/EBISPOT/zooma,http://www.ebi.ac.uk/spot/zooma,Apache-2.0,ontology-mapping;annotation;ebi;bioinformatics
10,Bio-YODIE,Biomedical named entity linking pipeline for GATE,"A biomedical Named Entity Linking (NEL) pipeline built on the GATE framework. It links entities in biomedical text to the UMLS (Unified Medical Language System) concepts, handling disambiguation and normalization.",B6;B6-01,entity_linking;named_entity_recognition,workflow,Java,https://github.com/GateNLP/Bio-YODIE,https://gate.ac.uk/,NOASSERTION,gate;entity-linking;umls;biomedical-nlp
