id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,iCVMapp3r,Deep learning based brain extraction (skull-stripping) algorithm,"A brain extraction tool using Convolutional Neural Networks (CNNs) developed by AICONSlab, designed for skull-stripping in MRI analysis.",N1;N1-01,skull_stripping;segmentation,solver,Python,https://github.com/AICONSlab/iCVMapp3r,,GPL-3.0,skull-stripping;mri;deep-learning
2,ANTs,Advanced Normalization Tools for medical image registration and segmentation,"A state-of-the-art medical image processing toolkit providing advanced algorithms for image registration, segmentation, and template building. It is widely used in neuroimaging for normalizing brain images to standard spaces.",N1;N1-01,registration;segmentation;normalization,solver,C++,https://github.com/ANTsX/ANTs,http://stnava.github.io/ANTs/,Apache-2.0,registration;neuroimaging;normalization
3,ANTsPy,Python interface for Advanced Normalization Tools (ANTs),"A Python library wrapping the ANTs C++ toolkit, enabling fast and efficient medical image registration, segmentation, and visualization within Python workflows.",N1;N1-01,registration;segmentation,library,Python,https://github.com/ANTsX/ANTsPy,https://antspy.readthedocs.io/,Apache-2.0,python;medical-imaging;registration
4,ANTsR,R interface for Advanced Normalization Tools (ANTs),"An R package providing an interface to the ANTs library, allowing statistical analysis and image processing of medical imaging data directly within the R environment.",N1;N1-01,registration;statistical_analysis,library,R,https://github.com/ANTsX/ANTsR,,Apache-2.0,r;neuroimaging;statistics
5,BrainExtraction,Brain extraction application based on ANTsRNet,A specific application within the ANTsX ecosystem for performing brain extraction (skull stripping) on MRI data.,N1;N1-01,skull_stripping,solver,R,https://github.com/ANTsXNet/BrainExtraction,,None,skull-stripping;ants;mri
6,qsm_sstv,BIDS app for QSM processing using single step total variation,"A BIDS-compliant application for processing Quantitative Susceptibility Mapping (QSM) data, specifically designed for Siemens 7T data using a single-step total variation method.",N1;N1-01,reconstruction;preprocessing,workflow,Python,https://github.com/AlanKuurstra/qsm_sstv,,None,qsm;bids-app;mri
7,SynthSeg,Contrast-agnostic segmentation of MRI scans,"A deep learning tool for segmentation of brain MRI scans that is robust to variations in contrast and resolution, enabling analysis of heterogeneous clinical data.",N1;N1-01,segmentation,solver,Python,https://github.com/BBillot/SynthSeg,,Apache-2.0,segmentation;mri;deep-learning
8,BRAINSTools,Suite of tools for medical image processing,"A comprehensive suite of command-line tools for medical image analysis, including registration, segmentation, and tissue classification, focused on brain analysis.",N1;N1-01,preprocessing;registration;segmentation,solver,C++,https://github.com/BRAINSia/BRAINSTools,,Apache-2.0,medical-imaging;brain-analysis;image-processing
9,MIRTK,Medical Image Registration ToolKit,"A research-focused toolkit for image registration, reconstruction, and analysis, providing a library and command-line tools for medical imaging tasks.",N1;N1-01,registration;reconstruction,solver,C++,https://github.com/BioMedIA/MIRTK,https://mirtk.github.io/,Apache-2.0,registration;medical-imaging;toolkit
10,BluePyEfe,Electrophysiological feature extraction library,A Python library developed by the Blue Brain Project for extracting electrical features from electrophysiological recordings of neurons.,N1,feature_extraction;electrophysiology,library,Python,https://github.com/BlueBrain/BluePyEfe,,NOASSERTION,neuroscience;electrophysiology;feature-extraction
11,Blue Brain Search,Text mining toolbox for neuroscience,"A text mining and semantic search toolbox designed to extract structured information from scientific literature, supporting knowledge discovery in neuroscience.",N1,text_mining;knowledge_extraction,library,Python,https://github.com/BlueBrain/Search,,LGPL-3.0,nlp;neuroscience;semantic-search
12,BraTS Algorithms,Collection of top-performing BraTS segmentation algorithms,"A repository providing implementations of top-performing algorithms from the Brain Tumor Segmentation (BraTS) challenges, serving as a benchmark and toolkit for tumor segmentation.",N1;N1-01,segmentation;benchmarking,library,Python,https://github.com/BrainLesion/BraTS,,Apache-2.0,brats;tumor-segmentation;deep-learning
