id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,knowledge-extraction,Java library for extracting knowledge graphs from natural language text,"A Java-based pipeline that converts natural language text into graph database structures, facilitating knowledge extraction and graph construction.",G2;G2-01,knowledge_extraction;graph_construction,library,Java,https://github.com/5agado/knowledge-extraction,,Apache-2.0,knowledge-graph;nlp;java
2,NER-RE,"SpaCy-based pipeline for NER, Entity Linking, and Relation Extraction","A comprehensive NLP pipeline built on spaCy v3 that performs Named Entity Recognition, Entity Linking to a Knowledge Base, and Relation Extraction to normalize and structure text data.",G2;G2-01,ner;entity_linking;relation_extraction,workflow,Python,https://github.com/AdirthaBorgohain/NER-RE,,None,spacy;pipeline;information-extraction
3,KAZU,High-performance biomedical Named Entity Recognition and Linking framework,"A production-ready biomedical NER and Entity Linking framework developed by AstraZeneca, designed for fast and accurate extraction of biomedical concepts from text.",G2;G2-01;Biomedical,bioner;entity_linking,solver,Python,https://github.com/AstraZeneca/KAZU,,Apache-2.0,biomedical;ner;entity-linking
4,REBEL,Seq2Seq model for end-to-end Relation Extraction,"A sequence-to-sequence model that simplifies relation extraction by translating raw text directly into relation triplets, widely used as a component in knowledge graph construction pipelines.",G2;G2-01,relation_extraction;knowledge_graph,solver,Python,https://github.com/Babelscape/rebel,,None,seq2seq;relation-extraction;transformer
5,astred,Library for linguistic comparison and word alignment analysis,"A Python library designed to linguistically compare sentences and analyze word alignments, useful for translation studies and syntactic analysis.",Linguistics;NLP,linguistic_analysis;alignment,library,Python,https://github.com/BramVanroy/astred,,Apache-2.0,linguistics;alignment;syntax
6,spacy_conll,SpaCy pipeline component for CoNLL-U formatting,"A pipeline component for spaCy that adds CoNLL-U properties to documents, facilitating interoperability with standard linguistic data formats.",NLP;Linguistics,data_formatting;parsing,library,Python,https://github.com/BramVanroy/spacy_conll,,BSD-2-Clause,spacy;conll-u;nlp-pipeline
7,flair,Full-Length Alternative Isoform analysis of RNA,"A tool for the correction, isoform definition, and quantification of full-length RNA sequencing data, specifically designed for nanopore cDNA reads.",Bioinformatics;Genomics,rna_analysis;isoform_quantification,solver,Python,https://github.com/BrooksLabUCSC/flair,,NOASSERTION,rna-seq;nanopore;isoforms
8,uniflow,LLM-based unstructured data extraction and cleaning tool,"A unified interface for extracting, cleaning, and transforming text from unstructured data sources like PDFs and HTMLs using LLMs, aiding in scientific knowledge base construction.",G2;G2-01,text_extraction;data_cleaning,workflow,Python,https://github.com/CambioML/uniflow-llm-based-pdf-extraction-text-cleaning-data-clustering,,Apache-2.0,llm;pdf-extraction;etl
9,chemdataextractor,Automated extraction of chemical properties from scientific documents,"A toolkit for automatically extracting chemical names, properties, and spectra from scientific text, facilitating chemical database construction.",Chemistry;G2,chemical_extraction;text_mining,library,Python,https://github.com/CambridgeMolecularEngineering/chemdataextractor,http://chemdataextractor.org/docs,MIT,chemistry;text-mining;property-extraction
10,tuna,Hyperparameter optimization for AllenNLP using Ray Tune,A library that integrates Ray Tune with AllenNLP to enable efficient hyperparameter search for NLP models.,NLP;MLOps,hyperparameter_optimization;model_training,library,Python,https://github.com/ChristophAlt/tuna,,Apache-2.0,allennlp;ray-tune;optimization
