id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,SLM4Mol,Quantitative benchmark and analysis suite for molecular large language models,"A comprehensive benchmark and analysis framework designed for Molecular Large Language Models (MolLLMs). It provides quantitative evaluation metrics and datasets to assess the performance of LLMs on molecular tasks, facilitating the development of AI for molecular science.",AI4;AI4-01,model_evaluation;molecular_modeling,solver,Jupyter Notebook,https://github.com/AI-HPC-Research-Team/SLM4Mol,,MIT,molecular-llm;benchmark;chemistry;ai4science
2,AISBench Benchmark,Model evaluation tool extending OpenCompass for service-based models,"An AI model evaluation tool built upon the OpenCompass framework. It is compatible with OpenCompass's configuration system and dataset structure but extends capabilities to support service-based models, facilitating comprehensive benchmarking of AI systems.",AI4;AI4-01,model_evaluation;benchmarking,platform,Python,https://github.com/AISBench/benchmark,,Apache-2.0,benchmarking;model-evaluation;opencompass;ai-infrastructure
3,ThinkingAgent,Evaluation framework for rating overthinking behavior in LLMs,A systematic evaluation framework designed to automatically rate and analyze 'overthinking' behavior in Large Language Models. It serves as a tool for behavioral analysis and interpretability of LLM reasoning processes.,AI4;AI4-01,model_evaluation;interpretability,solver,Shell,https://github.com/AlexCuadron/ThinkingAgent,,MIT,llm-evaluation;reasoning;behavioral-analysis
4,DocGenome,Large-scale scientific document benchmark for multi-modal large models,"An open, large-scale benchmark specifically designed for training and testing Multi-modal Large Models (MLLMs) on scientific documents. It facilitates the evaluation of AI models' capabilities in understanding and processing complex scientific literature.",AI4;AI4-01,benchmarking;scientific_literature_mining,dataset,Jupyter Notebook,https://github.com/Alpha-Innovator/DocGenome,,CC-BY-4.0,scientific-documents;multimodal-llm;benchmark;dataset
5,FedHeteroBench,Benchmark framework for data heterogeneity in federated learning,A repository of frameworks and unified implementations for handling data heterogeneity in federated learning (Non-IID settings). It provides reproducible experiments and benchmarks to evaluate FL algorithms under heterogeneous data conditions.,AI4;AI4-01,benchmarking;federated_learning,library,Python,https://github.com/AntonioZC666/FedHeteroBench,,MIT,federated-learning;benchmark;non-iid;data-heterogeneity
6,EmotionCircuits-LLM,Framework for discovering and controlling emotion circuits in LLMs,"A complete and reproducible framework for analyzing, discovering, and controlling 'emotion circuits' within Large Language Models. It provides tools for interpretability and mechanistic analysis of LLM internal states.",AI4;AI4-01,interpretability;model_analysis,library,Python,https://github.com/Aurora-cx/EmotionCircuits-LLM,,GPL-3.0,llm-interpretability;mechanistic-interpretability;emotion-analysis
7,ai4sci-2021-denovo-benchmarks,Benchmarks for de novo molecular design from NeurIPS AI4Sci workshop,Code and benchmark definitions for the 'A Fresh Look at De Novo Molecular Design Benchmarks' paper presented at the NeurIPS 2021 AI for Science Workshop. It provides a standardized environment for evaluating molecular generation models.,AI4;AI4-01,benchmarking;molecular_design,solver,Python,https://github.com/AustinT/ai4sci-2021-denovo-benchmarks,,MIT,molecular-design;benchmark;neurips-workshop;drug-discovery
8,BigVectorBench,Benchmark suite for vector database embedding performance,A benchmark suite designed to evaluate the embedding performance of vector databases. It supports heterogeneous data and abstracts compound queries (multimodal or single-modal) to assess vector search capabilities critical for AI applications.,AI4;AI4-01,benchmarking;vector_search,solver,Python,https://github.com/BenchCouncil/BigVectorBench,,MIT,vector-database;benchmark;embedding;ai-infrastructure
9,ko-lm-evaluation-harness,Evaluation harness for Korean language models,A specialized fork of the lm-evaluation-harness adapted for Korean Language Models. It provides a framework for few-shot evaluation of autoregressive language models on Korean datasets.,AI4;AI4-01,model_evaluation;nlp_benchmarking,library,Python,https://github.com/Beomi/ko-lm-evaluation-harness,,MIT,llm-evaluation;korean-nlp;benchmark
10,MolGenBench,Benchmark for molecular generative models from de novo design to lead optimization,"A codebase and benchmark suite for evaluating the real-world applicability of molecular generative models. It covers tasks ranging from de novo design to lead optimization, providing metrics for chemical validity and optimization success.",AI4;AI4-01,benchmarking;molecular_generation,solver,Python,https://github.com/CAODH/MolGenBench,,MIT,molecular-generation;drug-design;benchmark;lead-optimization
