id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,flexibletopology,Machine learning-based molecular representation models library,"A PyTorch-based library providing machine learning models for generating molecular representations, specifically focusing on flexible topology approaches for drug discovery applications.",S4;S4-01,molecular_representation;featurization,library,Python,https://github.com/ADicksonLab/flexibletopology,,MIT,pytorch;molecular-representation;machine-learning
2,Jupyter_Dock,Interactive molecular docking protocols using Jupyter Notebooks,"A collection of Jupyter Notebooks designed to perform molecular docking protocols interactively. It includes functionalities for file format conversion, visualization, and analysis of docking results.",S4;S4-01,molecular_docking;visualization,workflow,Jupyter Notebook,https://github.com/AngelRuizMoreno/Jupyter_Dock,,MIT,molecular-docking;jupyter-notebook;visualization
3,autochem,Library for manipulating molecular descriptors,"A Python library designed for the manipulation and management of molecular descriptors, facilitating the preparation of chemical data for machine learning and QSAR modeling.",S4;S4-01,descriptor_calculation;featurization,library,Python,https://github.com/Auto-Mech/autochem,,MIT,molecular-descriptors;cheminformatics
4,BCL,Integrated cheminformatics and QSAR modeling toolkit,The Biochemical Library (BCL) is a comprehensive toolkit that integrates traditional small molecule cheminformatics tools with machine learning-based QSAR/QSPR modeling capabilities for computer-aided drug discovery.,S4;S4-01,qsar_modeling;cheminformatics;drug_design,platform,C++,https://github.com/BCLCommons/bcl,http://www.meilerlab.org/index.php/bclcommons/bcl,MIT,qsar;cheminformatics;drug-discovery
5,QSPRpred,Framework for creating QSAR/QSPR models,"A comprehensive tool designed to facilitate the creation, training, and evaluation of Quantitative Structure-Property/Activity Relationship (QSPR/QSAR) models for drug discovery.",S4;S4-01,qsar_modeling;property_prediction,solver,Jupyter Notebook,https://github.com/CDDLeiden/QSPRpred,https://cddleiden.github.io/QSPRpred/,MIT,qsar;qspr;machine-learning
6,specProc,Preprocessing tools for spectroscopy data analysis,An R package providing a collection of preprocessing tools specifically designed for the analysis and standardization of spectroscopy data.,S4;S4-01,data_preprocessing;spectroscopy_analysis,library,R,https://github.com/ChristianGoueguel/specProc,,NOASSERTION,spectroscopy;preprocessing;r-package
7,SMILES Transformer,Pre-trained molecular fingerprint generator using Transformers,"An implementation of the SMILES Transformer model, serving as a tool to generate pre-trained molecular fingerprints for low-data drug discovery tasks.",S4;S4-01,molecular_representation;fingerprint_generation,model,Jupyter Notebook,https://github.com/DSPsleeporg/smiles-transformer,,MIT,transformer;smiles;molecular-fingerprint
8,u-signal3D,Platform for 3D molecular organization analysis at cell surfaces,"A computational platform that defines shape-invariant representations of spatial scales of molecular organization, enabling machine learning analysis of signaling across diverse cell morphologies.",S4;S4-01,molecular_organization_analysis;image_analysis,platform,MATLAB,https://github.com/DanuserLab/u-signal3D,,GPL-3.0,matlab;cell-signaling;3d-analysis
9,GNPS-Trinity,Workflow for LC-MS feature detection and molecular networking,"A comprehensive workflow combining LC-MS feature detection, molecular networking, and in silico annotation to enhance compound identification in metabolomics.",S4;S4-01,metabolomics;feature_detection;molecular_networking,workflow,Jupyter Notebook,https://github.com/DorresteinLaboratory/GNPS-Trinity,,GPL-3.0,metabolomics;lc-ms;gnps
10,rdkit-scripts,Collection of RDKit utility scripts,"A set of Python scripts utilizing RDKit to perform common cheminformatics tasks, simplifying molecular data processing and analysis.",S4;S4-01,cheminformatics;data_processing,library,Python,https://github.com/DrrDom/rdkit-scripts,,MIT,rdkit;scripts;cheminformatics
