id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,TPMS-Designer,MATLAB application for generating and analyzing TPMS-like 3D structures,"An open-source Matlab application designed to assist with the generation, analysis, and visualisation of Triply Periodic Minimal Surfaces (TPMS) and other 3D objects, often used in materials science and tissue engineering scaffolds.",Materials Science;Biomedical Engineering,structure_generation;geometric_modeling,solver,MATLAB,https://github.com/Alistairj43/TPMS-Designer,,MIT,tpms;matlab;3d-structure;scaffolds
2,Jupyter_Dock,Interactive Jupyter Notebooks for molecular docking workflows,"A set of Jupyter Notebooks designed to perform molecular docking protocols interactively. It includes functionality for visualizing molecules, converting file formats, and analyzing docking results, streamlining the structure-based drug design process.",S3;S3-01,molecular_docking;workflow,workflow,Jupyter Notebook,https://github.com/AngelRuizMoreno/Jupyter_Dock,,MIT,molecular-docking;jupyter;visualization;drug-discovery
3,MMELON (biomed-multi-view),"Multi-view molecular embedding model combining image, graph, and text","Implementation of the Multi-view Molecular Embedding with Late Fusion (MMELON) architecture. It combines molecular representations from images, graphs, and text to learn a joint embedding suitable for finetuning on downstream chemical and biological property prediction tasks.",S3;Drug Discovery,molecular_representation;property_prediction,solver,Python,https://github.com/BiomedSciAI/biomed-multi-view,,Apache-2.0,molecular-embedding;multi-view-learning;deep-learning;drug-discovery
4,3D-MCTS,Structure-based molecule generation using Monte Carlo Tree Search,A general structure-based molecule generation method that utilizes Monte Carlo Tree Search (MCTS) to explore chemical space and generate 3D molecular structures optimized for specific targets.,S3;Drug Discovery,molecule_generation;de_novo_design,solver,Python,https://github.com/Brian-hongyan/3D-MCTS,,None,mcts;molecule-generation;3d-structure;drug-design
5,PCMol,De novo molecular generator conditioned on protein embeddings,"A multi-target de novo molecular generation tool that conditions generation on AlphaFold's latent protein embeddings, enabling the design of ligands tailored to specific protein structures.",S3;Drug Discovery,molecule_generation;structure_based_design,solver,Jupyter Notebook,https://github.com/CDDLeiden/PCMol,,MIT,alphafold;generative-model;drug-design;protein-ligand
6,ConfGF,Molecular conformation generation via learning gradient fields,"Implementation of 'Learning Gradient Fields for Molecular Conformation Generation'. It uses a score-based generative model to estimate the gradient fields of the log-density of atomic coordinates, enabling the generation of stable molecular conformations.",S3;S3-01,conformation_generation;molecular_dynamics,solver,Python,https://github.com/DeepGraphLearning/ConfGF,,MIT,conformation-generation;gradient-fields;geometric-deep-learning
7,rdkit-scripts,Collection of utility scripts for RDKit-based cheminformatics,"A repository of Python scripts utilizing RDKit to automate and simplify common cheminformatics tasks, serving as a utility library for molecular data processing and analysis.",S3;Cheminformatics,data_processing;cheminformatics_utility,library,Python,https://github.com/DrrDom/rdkit-scripts,,MIT,rdkit;scripts;cheminformatics;automation
8,rdeditor,Simple GUI molecule editor based on RDKit,"A graphical user interface (GUI) for editing molecular structures, built using PySide and RDKit. It allows users to interactively modify chemical structures and visualize changes.",S3;Cheminformatics,molecule_editing;visualization,solver,Python,https://github.com/EBjerrum/rdeditor,,LGPL-3.0,rdkit;gui;molecule-editor;python
9,scikit-mol,Scikit-learn compatible molecular vectorization using RDKit,"A Python library that provides scikit-learn compatible transformer classes for molecular vectorization (fingerprints, descriptors) using RDKit, facilitating the integration of cheminformatics data into standard machine learning pipelines.",S3;Cheminformatics,molecular_representation;feature_engineering,library,Python,https://github.com/EBjerrum/scikit-mol,,LGPL-3.0,scikit-learn;rdkit;molecular-fingerprints;machine-learning
10,WGFormer,SE(3)-Transformer for molecular ground-state conformation prediction,"Implementation of WGFormer, a model driven by Wasserstein Gradient Flows for predicting molecular ground-state conformations. It utilizes an SE(3)-equivariant transformer architecture to generate accurate 3D molecular structures.",S3;S3-01,conformation_prediction;molecular_modeling,solver,Python,https://github.com/FanmengWang/WGFormer,,GPL-3.0,conformation-prediction;se3-transformer;geometric-deep-learning
