id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,AmpliGraph,Python library for Representation Learning on Knowledge Graphs,"A library for graph representation learning that provides a suite of neural machine learning models for relational learning on knowledge graphs, widely used in scientific knowledge discovery.",AI2;AI2-01,knowledge_graph_embedding;link_prediction,library,Python,https://github.com/Accenture/AmpliGraph,https://docs.ampligraph.org,Apache-2.0,knowledge-graph;embedding;tensorflow;graph-neural-networks
2,GRAPE,High-performance graph representation learning library for biological networks,"A Rust/Python library optimized for graph representation learning, specifically designed to handle large-scale biological networks for predictions and evaluations.",AI2;AI2-01,graph_representation_learning;link_prediction;node_classification,library,Jupyter Notebook,https://github.com/AnacletoLAB/grape,,MIT,graph-neural-networks;bioinformatics;rust;graph-embedding
3,BioELMo,Biomedical version of ELMo embeddings pre-trained on PubMed,"A biomedical language model providing contextualized word embeddings, pre-trained on 10 million PubMed abstracts to improve performance on biomedical NLP tasks.",AI2;AI2-01,biomedical_text_embedding;named_entity_recognition,model,Python,https://github.com/Andy-jqa/bioelmo,,None,nlp;biomedical;elmo;embeddings
4,Evo2,Foundation model for genome modeling and design across domains,"A genomic foundation model capable of modeling and design tasks across all domains of life, enabling zero-shot function prediction and generation of DNA sequences.",AI2;AI2-01,genome_modeling;sequence_generation;variant_effect_prediction,model,Jupyter Notebook,https://github.com/ArcInstitute/evo2,,Apache-2.0,genomics;foundation-model;dna;evolution
5,TMbed,Transmembrane protein prediction using Language Model embeddings,"A tool for predicting transmembrane proteins and their features using embeddings from protein language models, offering high accuracy and speed.",AI2;AI2-01,protein_embedding;transmembrane_prediction,solver,Python,https://github.com/BernhoferM/TMbed,,Apache-2.0,protein-language-model;transmembrane;embeddings
6,MMELON,Multi-view Molecular Embedding with Late Fusion,"An architecture that combines molecular representations from image, graph, and text views to learn a joint embedding for downstream chemical and biological property prediction.",AI2;AI2-01,molecular_embedding;property_prediction,model,Python,https://github.com/BiomedSciAI/biomed-multi-view,,Apache-2.0,multi-modal;molecular-graph;chemical-structure
7,PST,Protein Structure Transformer for endowing PLMs with structural knowledge,A model that integrates structural knowledge into pre-trained protein language models to improve representation learning for protein tasks.,AI2;AI2-01,protein_representation_learning;structure_encoding,model,Python,https://github.com/BorgwardtLab/PST,,BSD-3-Clause,protein-structure;transformer;embeddings
8,PCMol,Multi-target de novo molecular generator conditioned on protein embeddings,A deep learning model for de novo drug design that generates molecules conditioned on AlphaFold's latent protein embeddings to target specific protein structures.,AI2;AI2-01,de_novo_drug_design;molecular_generation,solver,Jupyter Notebook,https://github.com/CDDLeiden/PCMol,,MIT,drug-discovery;generative-model;alphafold
9,MULAN,Multimodal Protein Language Model for Sequence and Structure Encoding,A multimodal protein language model that jointly encodes protein sequence and structure information for enhanced representation learning.,AI2;AI2-01,protein_embedding;structure_prediction,model,Python,https://github.com/DFrolova/MULAN,,MIT,multimodal;protein-language-model;structure-encoding
10,SMILES Transformer,Pre-trained SMILES Transformer for molecular fingerprinting,"A transformer-based model pre-trained on SMILES strings to generate molecular fingerprints, useful for low-data drug discovery tasks.",AI2;AI2-01,molecular_fingerprinting;representation_learning,library,Jupyter Notebook,https://github.com/DSPsleeporg/smiles-transformer,,MIT,smiles;transformer;drug-discovery;fingerprint
11,SiamDiff,Pre-training Protein Encoder via Siamese Sequence-Structure Diffusion,A pre-training framework for protein encoders that utilizes Siamese sequence-structure diffusion trajectory prediction to learn robust protein representations.,AI2;AI2-01,protein_embedding;pre_training,model,Python,https://github.com/DeepGraphLearning/SiamDiff,,None,diffusion-model;protein-encoder;self-supervised-learning
12,esm-s,Structure-informed protein language model for protein representation learning,"A protein language model that incorporates structural information to improve protein representation learning, useful for downstream tasks in protein engineering and biology.",AI2;AI2-01,protein_language_modeling;structure_prediction,model,Python,https://github.com/DeepGraphLearning/esm-s,,None,protein-language-model;structure-informed;representation-learning
13,SpikeNet,Dynamic graph representation learning framework using Spiking Neural Networks,"A framework for scaling up dynamic graph representation learning by leveraging Spiking Neural Networks (SNNs), offering energy-efficient processing for temporal graph data.",AI2;AI2-01,graph_representation_learning;dynamic_graph_embedding,model,Python,https://github.com/EdisonLeeeee/SpikeNet,,MIT,snn;dynamic-graphs;representation-learning
14,InstructPLM,Protein language model trained with structure-based instructions,"A large protein language model trained to follow structure instructions, enhancing its ability to generate and analyze proteins with specific structural properties.",AI2;AI2-01,protein_language_modeling;protein_design,model,Python,https://github.com/Eikor/InstructPLM,,Apache-2.0,protein-language-model;instruction-tuning;structural-biology
15,InterPLM,Tool for discovering interpretable features in protein language models,"A toolkit utilizing sparse autoencoders to extract and analyze interpretable features from Protein Language Models (PLMs), aiding in the understanding of black-box biological models.",AI2;AI2-01,interpretability;feature_extraction,toolkit,Python,https://github.com/ElanaPearl/InterPLM,,MIT,protein-language-model;interpretability;sparse-autoencoder
16,eICU-GNN-LSTM,Graph representation learning model for predicting patient outcomes in ICU,"A hybrid GNN-LSTM model designed to predict patient outcomes using data from the eICU database, leveraging graph representation learning to model patient states.",AI2;AI2-01,clinical_prediction;graph_representation_learning,model,Python,https://github.com/EmmaRocheteau/eICU-GNN-LSTM,,MIT,healthcare;gnn;patient-outcome
17,MAGIC,Masked graph representation learning for APT detection,A security tool that utilizes masked graph representation learning to detect Advanced Persistent Threats (APTs) by modeling system entity interactions.,AI2;AI2-01,anomaly_detection;graph_representation_learning,solver,Python,https://github.com/FDUDSDE/MAGIC,,MIT,cybersecurity;graph-learning;apt-detection
18,DySAT_pytorch,PyTorch implementation of DySAT for dynamic graph representation learning,"An implementation of Deep Neural Representation Learning on Dynamic Graphs via Self-Attention Networks (DySAT), enabling embedding learning on temporal graph data.",AI2;AI2-01,dynamic_graph_embedding;representation_learning,library,Python,https://github.com/FeiGSSS/DySAT_pytorch,,None,dynamic-graph;self-attention;pytorch
19,GTR,Graph representation learning for complex table retrieval,"A model for retrieving complex tables using multi-granular graph representation learning, useful for structured data information retrieval.",AI2;AI2-01,information_retrieval;graph_representation_learning,model,Python,https://github.com/FeiWang96/GTR,,Apache-2.0,table-retrieval;gnn;sigir
20,TinyDNABERT,Lightweight genomic language model for DNA sequence analysis,"A compact genomic language model based on RoBERTa architecture and BPE tokenization, designed for efficient DNA sequence embedding and analysis.",AI2;AI2-01,genomic_language_modeling;sequence_embedding,model,Jupyter Notebook,https://github.com/ForestsKing/TinyDNABERT,,None,dna;bert;genomics
21,MatDeepLearn,Graph neural networks package for materials chemistry,"A Python package designed for applying graph neural networks to materials chemistry tasks, facilitating property prediction and materials discovery.",AI2;AI2-01,materials_property_prediction;graph_neural_networks,library,Python,https://github.com/Fung-Lab/MatDeepLearn,,None,materials-science;gnn;chemistry
22,wxECGAnalyzer,ECG signal analysis and algorithm validation tool,"A tool for designing and validating Electrocardiogram (ECG) signal algorithms, including preprocessing, QRS detection, and segmentation.",AI2,signal_processing;biomedical_analysis,solver,C,https://github.com/GCY/wxECGAnalyzer,,MIT,ecg;signal-processing;medical
23,REGAL,Representation learning-based graph alignment tool,A framework for graph alignment using representation learning based on implicit matrix factorization and structural embeddings.,AI2;AI2-01,graph_alignment;network_embedding,solver,Python,https://github.com/GemsLab/REGAL,,MIT,graph-alignment;matrix-factorization;embedding
24,QSoME,Quantum Solid and Molecular Embedding library,"A Python library for Quantum Solid and Molecular Embedding, facilitating quantum chemical calculations and simulations.",AI2;AI2-01,quantum_chemistry;molecular_embedding,library,Python,https://github.com/Goodpaster/QSoME,,Apache-2.0,quantum-chemistry;embedding;molecular-simulation
25,BioBERTpt,Biomedical and Clinical BERT model for Portuguese,"A pre-trained BERT model adapted for biomedical and clinical text in the Portuguese language, enabling NLP tasks in this specific domain.",AI2;AI2-01,biomedical_nlp;language_modeling,model,Jupyter Notebook,https://github.com/HAILab-PUCPR/BioBERTpt,,None,bert;biomedical-nlp;portuguese
26,WSI-HGNN,Heterogeneous graph learning for whole slide image analysis,"A heterogeneous graph neural network framework for analyzing histopathology whole slide images (WSI), capturing complex tissue structures.",AI2;AI2-01,medical_imaging;graph_representation_learning,model,Python,https://github.com/HKU-MedAI/WSI-HGNN,,None,histopathology;wsi;hgnn
27,SELFormer,Molecular representation learning using SELFIES language models,"A chemical language model leveraging SELFIES strings for molecular representation learning, suitable for various cheminformatics tasks.",AI2;AI2-01,molecular_representation;chemical_language_model,model,Python,https://github.com/HUBioDataLab/SELFormer,,None,selfies;transformer;cheminformatics
28,scELMo,Language model embeddings for single-cell data analysis,"A method applying embeddings from language models (ELMo) to single-cell data, facilitating analysis and learning from scRNA-seq data.",AI2;AI2-01,single_cell_analysis;embedding,model,Jupyter Notebook,https://github.com/HelloWorldLTY/scELMo,,None,single-cell;elmo;scrna-seq
29,Ligand_Generation,Target-aware ligand generation using multimodal protein representation,A framework using target-aware Variational Auto-encoders (VAEs) and multimodal protein representation learning for generating novel ligands.,AI2;AI2-01,drug_discovery;ligand_generation,model,Python,https://github.com/HySonLab/Ligand_Generation,,None,drug-design;vae;multimodal
30,otter-knowledge,Knowledge-enhanced representation learning for drug target binding,A library that enriches protein and drug representations with knowledge graphs to improve drug-target binding affinity predictions.,AI2;AI2-01,drug_target_interaction;knowledge_graph_embedding,library,Python,https://github.com/IBM/otter-knowledge,,MIT,knowledge-graph;drug-discovery;binding-affinity
31,ProtFlash,Lightweight protein language model,A lightweight and efficient protein language model designed for protein sequence analysis and representation learning.,AI2;AI2-01,protein_language_modeling;sequence_analysis,model,Python,https://github.com/ISYSLAB-HUST/ProtFlash,,MIT,protein-language-model;efficient-learning;bioinformatics
32,scDEED,Statistical method for detecting dubious single-cell embeddings,A statistical tool (scDED) for evaluating the quality of non-linear embeddings in single-cell data analysis by detecting dubious representations.,AI2;AI2-01,single_cell_qc;embedding_evaluation,library,R,https://github.com/JSB-UCLA/scDEED,,MIT,single-cell;embedding-quality;r
33,agatha,Transformer-based hypothesis generation from graphs,An automatic graph-mining and Transformer-based approach for generating scientific hypotheses from large-scale literature-derived graphs.,AI2;AI2-01,hypothesis_generation;graph_mining,solver,Python,https://github.com/JSybrandt/agatha,,GPL-3.0,hypothesis-generation;transformer;graph-mining
