id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,telemetry-parser,Parser for real-time sensor telemetry metadata from video files and flight logs,"A tool to extract and parse real-time physical measurements (gyroscope, accelerometer, GPS) embedded in video files (GoPro GPMF, Sony, Insta360) and flight logs (Betaflight). This data is essential for drone dynamics analysis, SLAM research, and biomechanics.",D1;D1-01,data_extraction;sensor_processing,solver,Rust,https://github.com/AdrianEddy/telemetry-parser,,Apache-2.0,telemetry;gpmf;sensor-data;drone;blackbox
2,xsv,"A fast CSV command line toolkit for data slicing, indexing, and statistical analysis","A high-performance command-line toolkit for processing CSV data. It provides commands for indexing, slicing, partitioning, and computing summary statistics (mean, median, frequency) on large tabular datasets without loading them entirely into memory. Widely used in bioinformatics and data science pipelines for preprocessing.",D1;D1-01,data_processing;statistics;filtering,solver,Rust,https://github.com/BurntSushi/xsv,,Unlicense,csv;cli;data-processing;statistics
3,PySysML2,Parser for SysML 2.0 textual modeling language for data analysis,"A Python-based parser for the SysML 2.0 textual modeling language. It parses SysML 2.0 models into Python objects to enable data science and analysis on system engineering models, facilitating Model-Based Systems Engineering (MBSE) workflows.",D1;D1-01,parsing;modeling;systems_engineering,library,Python,https://github.com/DAF-Digital-Transformation-Office/PySysML2,,Apache-2.0,sysml;mbse;parsing;systems-engineering
4,configr,Configuration file parser (JSON/INI/YAML/TOML) for R language workflows,"An R package that implements parsers for multiple configuration formats (JSON, INI, YAML, TOML) to facilitate the setting and writing of configuration files in R-based scientific workflows and bioinformatics pipelines.",D1;D1-01,data_parsing;workflow_configuration,library,R,https://github.com/Miachol/configr,,NOASSERTION,r-package;configuration;parser;json;yaml
5,dataframely,Declarative data frame validation library for Polars and Pandas,A Python library for validating data frames (Polars and Pandas) using a declarative schema approach. It is used in data science and scientific data processing pipelines to ensure data quality and structural integrity.,D1;D1-01,data_validation;quality_control,library,Python,https://github.com/Quantco/dataframely,,BSD-3-Clause,validation;dataframe;polars;pandas;data-quality
6,missingno,Missing data visualization module for Python,A flexible and easy-to-use Python library for visualizing missing data in pandas dataframes. It provides a small toolset of flexible and easy-to-use missing data visualizations and utilities that allow data scientists to get a quick visual summary of the completeness (or lack thereof) of their dataset.,D1;D1-01,data_visualization;quality_control,library,Python,https://github.com/ResidentMario/missingno,,MIT,visualization;missing-data;pandas;data-cleaning
7,pyreadstat,"Reader and writer for SAS, SPSS, and Stata files in Python","A Python package to read and write SAS (sas7bdat, xport), SPSS (sav, zsav, por), and Stata (dta) data files into/from pandas and polars data frames. It serves as a critical bridge for processing statistical data formats common in social sciences and clinical research within the Python scientific ecosystem.",D1;D1-01,format_conversion;data_parsing,library,C,https://github.com/Roche/pyreadstat,,NOASSERTION,spss;sas;stata;pandas;polars;converter
8,SPARQL Anything,"System for querying any data format (JSON, CSV, XML, etc.) with SPARQL","A system for Semantic Web re-engineering that allows users to query heterogeneous file formats (JSON, CSV, XML, HTML, Markdown, etc.) using SPARQL. It is widely used in scientific data integration and knowledge graph construction to bridge non-RDF data with semantic workflows.",D1;D1-01,data_integration;format_conversion;semantic_query,solver,Java,https://github.com/SPARQL-Anything/sparql.anything,http://sparql-anything.cc,Apache-2.0,sparql;semantic-web;knowledge-graph;data-integration;rdf
9,StackExchange XML Converter,Converter for StackExchange data dumps from XML to CSV format,"A utility tool designed to parse and convert StackExchange data dumps (provided in XML format) into CSV format, facilitating data analysis in social computing and network science research.",D1;D1-01,data_conversion;parsing,solver,Go,https://github.com/SkobelevIgor/stackexchange-xml-converter,,MIT,xml;csv;converter;stackexchange;data-processing
10,jsonschema (Rust),High-performance JSON Schema validator for Rust,A fast and compliant JSON Schema validator written in Rust. It is essential for validating metadata and data structures in scientific workflows that rely on JSON-based standards.,D1;D1-01,validation;parsing,library,Rust,https://github.com/Stranger6667/jsonschema,https://docs.rs/jsonschema,MIT,json-schema;validation;rust;data-integrity
11,Preswald,WASM-based packager for interactive scientific data applications,"A tool to bundle Python-based data analysis and visualization workflows (using Pandas, DuckDB, Plotly) into single-file, browser-runnable applications via Pyodide, facilitating the sharing of scientific reports and dashboards.",D1,visualization;workflow_automation;reporting,platform,Python,https://github.com/StructuredLabs/preswald,,Apache-2.0,wasm;visualization;dashboard;python;data-science
12,Tablecruncher,Lightweight CSV editor and processor,"A desktop tool for opening, editing, and processing large CSV files, supporting JavaScript macros for data cleaning and manipulation tasks common in data science.",D1;D1-01,data_cleaning;data_editing,solver,C++,https://github.com/Tablecruncher/tablecruncher,https://tablecruncher.com,GPL-3.0,csv;editor;data-cleaning;macros
13,RapidJSON,Fast JSON parser and generator for C++,A high-performance C++ library for parsing and generating JSON. It is widely used in scientific computing applications for handling configuration files and data serialization due to its speed and DOM/SAX API support.,D1;D1-01,parsing;serialization,library,C++,https://github.com/Tencent/rapidjson,http://rapidjson.org/,NOASSERTION,json;parser;cpp;serialization;high-performance
14,NightConfig,"Configuration library for TOML, YAML, JSON, and HOCON","A Java library for reading and writing various configuration formats (TOML, YAML, JSON). It supports scientific software development by providing robust parsing for experiment configurations.",D1;D1-01,parsing;configuration_management,library,Java,https://github.com/TheElectronWill/night-config,,LGPL-3.0,toml;yaml;json;configuration;java
15,TinyCsvParser,High-performance CSV parsing library for .NET,"A library designed for easy and fast parsing of CSV data in .NET applications, suitable for ingesting large scientific datasets stored in CSV format.",D1;D1-01,parsing;data_ingestion,library,C#,https://github.com/TinyCsvParser/TinyCsvParser,,MIT,csv;parser;dotnet;csharp;data-ingestion
16,dasel,"Command-line tool for querying and converting data formats (JSON, YAML, TOML, XML, CSV)","A versatile command-line tool that allows selecting, updating, and deleting data from various structured formats (JSON, TOML, YAML, XML, CSV). It is useful in scientific workflows for data extraction and format conversion.",D1;D1-01,data_conversion;querying;parsing,solver,Go,https://github.com/TomWright/dasel,https://daseldocs.tomwright.me/,MIT,json;yaml;toml;xml;csv;cli
17,fastexcel,Fast Excel reader for Rust and Python,"A high-performance library for reading Excel files (XLSX), enabling efficient ingestion of spreadsheet data into Rust or Python-based scientific analysis pipelines.",D1;D1-01,parsing;data_ingestion,library,Rust,https://github.com/ToucanToco/fastexcel,,MIT,excel;xlsx;parser;rust;python
18,ccorp_yaml_include,YAML parser plugin for file inclusion,"A plugin for the Ruamel.YAML parser that adds support for the `!include` tag, allowing modular composition of YAML files, which is useful for managing complex scientific configurations.",D1;D1-01,parsing;configuration_management,library,Python,https://github.com/Tristan-Sweeney-CambridgeConsultants/ccorp_yaml_include,,MIT,yaml;parser-extension;python;configuration
19,VBA-JSON,JSON parsing and conversion library for VBA,"A library for parsing and generating JSON within Visual Basic for Applications (VBA), enabling Excel-based scientific workflows to interact with JSON data sources and APIs.",D1;D1-01,parsing;serialization,library,Visual Basic,https://github.com/VBA-tools/VBA-JSON,,MIT,json;vba;excel;parsing
20,jtoml,TOML parser library for Java,"A fully compliant TOML parser for Java, facilitating the use of TOML configuration files in Java-based scientific applications.",D1;D1-01,parsing;configuration_management,library,Java,https://github.com/WasabiThumb/jtoml,,Apache-2.0,toml;parser;java;configuration
21,flatted,Circular JSON parser,"A fast and minimal JavaScript parser for JSON structures with circular references, useful for serializing complex data graphs in scientific web applications.",D1;D1-01,parsing;serialization,library,JavaScript,https://github.com/WebReflection/flatted,,ISC,json;circular-reference;serialization;javascript
22,pxi,Command-line data processor for JSON and other formats,"A command-line tool for processing and transforming data, similar to jq and awk, supporting efficient data manipulation in scientific pipelines.",D1;D1-01,data_processing;transformation,solver,JavaScript,https://github.com/Yord/pxi,,MIT,cli;data-processing;json;transformation
23,PolarCodeDecodersInMatlab,Matlab implementation of Polar Code decoders,"A Matlab library implementing various Polar Code decoding algorithms (CA-SCL, BP), serving as a simulation tool for information theory and telecommunications research.",D1,simulation;decoding;algorithm_implementation,library,MATLAB,https://github.com/YuYongRun/PolarCodeDecodersInMatlab,,None,polar-codes;decoding;matlab;information-theory
24,construct (Java),Binary and textual data structure parsing library for Java,"A Java port of the Python 'construct' library, used for declarative parsing and building of binary data structures, essential for handling custom binary formats in scientific data.",D1;D1-01,parsing;binary_processing,library,Java,https://github.com/ZiglioUK/construct,,MIT,binary-parsing;java;data-structures
25,YamlDotNet,YAML library for .NET,A comprehensive .NET library for parsing and serializing YAML. It is a foundational tool for handling configuration and data serialization in scientific software developed in the .NET ecosystem.,D1;D1-01,parsing;serialization,library,C#,https://github.com/aaubry/YamlDotNet,https://github.com/aaubry/YamlDotNet/wiki,MIT,yaml;dotnet;serialization;parsing
26,saneyaml,Safer and simpler YAML parsing for Python,"A Python library built on top of PyYAML that provides a safer and cleaner interface for parsing and serializing YAML, reducing risks and complexity in scientific configuration management.",D1;D1-01,parsing;serialization,library,Python,https://github.com/aboutcode-org/saneyaml,,None,yaml;python;safety;parsing
27,polars_ds_extension,Polars extension for data science utilities,"An extension for the Polars dataframe library that adds general data science functionalities, enhancing data processing workflows in Rust and Python.",D1,data_analysis;statistics,library,Rust,https://github.com/abstractqqq/polars_ds_extension,,MIT,polars;data-science;rust;python;extension
28,node-csv,Full-featured CSV parser and generator for Node.js,"A comprehensive CSV parsing and generation library for Node.js, widely used for processing tabular data in JavaScript-based scientific applications and data pipelines.",D1;D1-01,parsing;serialization,library,JavaScript,https://github.com/adaltas/node-csv,https://csv.js.org/,MIT,csv;parser;nodejs;data-processing
29,node-csv-parse,Stream-based CSV parser for Node.js,"A CSV parsing module implementing the Node.js stream API, allowing efficient processing of large scientific datasets row-by-row.",D1;D1-01,parsing;stream_processing,library,JavaScript,https://github.com/adaltas/node-csv-parse,https://csv.js.org/parse/,None,csv;parser;stream;nodejs
30,node-csv-stringify,Stream-based CSV stringifier for Node.js,"A CSV generation module implementing the Node.js stream API, used for exporting scientific data to CSV format efficiently.",D1;D1-01,serialization;export,library,JavaScript,https://github.com/adaltas/node-csv-stringify,https://csv.js.org/stringify/,None,csv;generator;stream;nodejs
31,PandasGUI,GUI for analyzing Pandas DataFrames,"A graphical user interface tool for viewing, plotting, and analyzing Pandas DataFrames, facilitating interactive data exploration for scientists using Python.",D1,visualization;data_exploration,solver,Python,https://github.com/adamerose/PandasGUI,,MIT-0,pandas;gui;visualization;data-analysis
32,zaml,Fast YAML 1.2 parsing library,"A high-performance YAML 1.2 parsing library, providing fast configuration loading for performance-critical scientific applications.",D1;D1-01,parsing,library,Zig,https://github.com/adamserafini/zaml,,BSD-3-Clause,yaml;parser;zig;performance
33,Trafilatura,Web scraping and text extraction tool,"A tool and library for gathering text and metadata from the web, outputting to formats like CSV, JSON, and XML. It is valuable for creating datasets for NLP and social science research.",D1,data_collection;text_extraction;scraping,solver,Python,https://github.com/adbar/trafilatura,https://trafilatura.readthedocs.io/,Apache-2.0,scraping;text-extraction;nlp;dataset-creation
