id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,DINOv2-3D-Med,3D implementation of DINOv2 for self-supervised pretraining on medical images,"A PyTorch implementation of DINOv2 adapted for 3D volumetric medical imaging, supporting self-supervised pretraining pipelines using Lightly and MONAI frameworks.",H1;H1-01,self_supervised_learning;pretraining,library,Python,https://github.com/AIM-Harvard/DINOv2-3D-Med,,Apache-2.0,medical-imaging;3d-vision;self-supervised-learning;monai
2,pyradiomics,Comprehensive library for extraction of Radiomics features from medical images,"An open-source Python package for the extraction of Radiomics features from 2D and 3D medical images and binary masks, widely used for quantitative image analysis.",H1;H1-01,feature_extraction;quantification,library,Python,https://github.com/AIM-Harvard/pyradiomics,https://pyradiomics.readthedocs.io/,BSD-3-Clause,radiomics;feature-extraction;medical-imaging;bioinformatics
3,AlizaMS,High-performance DICOM viewer and medical image analyzer,"A DICOM viewer and medical image analysis tool written in C++, supporting 2D/3D visualization and basic measurement tasks.",H1;H1-01,visualization;image_viewing,solver,C++,https://github.com/AlizaMedicalImaging/AlizaMS,http://www.aliza-dicom-viewer.com/,GPL-3.0,dicom-viewer;medical-visualization;cpp
4,ecg-dicom-web-viewer,Web-based viewer for ECG files in DICOM format,A TypeScript library and viewer for rendering Electrocardiogram (ECG) data stored in DICOM format directly in web browsers.,H1;H1-01,visualization;signal_processing,library,TypeScript,https://github.com/ArturRod/ecg-dicom-web-viewer,,MIT,ecg;dicom;web-viewer;visualization
5,pydicer,Python tool for converting DICOM data to analysis-ready formats,"A tool to streamline the conversion of DICOM data into formats suitable for research (like NIfTI) and analysis, handling RTStructs and other radiotherapy specific data.",H1;H1-01,format_conversion;data_preprocessing,library,Python,https://github.com/AustralianCancerDataNetwork/pydicer,https://pydicer.readthedocs.io/,Apache-2.0,dicom;radiotherapy;conversion;nifti
6,brkraw,Tool to access and convert raw Bruker Biospin MRI data,"A comprehensive Python tool and library to access, read, and convert raw data from Bruker Biospin MRI scanners, facilitating integration into standard neuroimaging pipelines.",H1;H1-01,data_io;format_conversion,library,Python,https://github.com/BrkRaw/brkraw,,GPL-3.0,mri;bruker;data-conversion;neuroimaging
7,OHIF-AI,OHIF DICOM Viewer integrated with server-side AI segmentation models,"An extension of the OHIF DICOM Web viewer that integrates server-side AI models (like SAM2, medSAM) for advanced interactive segmentation and annotation.",H1;H1-01,visualization;annotation;interactive_segmentation,platform,Python,https://github.com/CCI-Bonn/OHIF-AI,,Apache-2.0,ohif;dicom-viewer;ai-assisted-annotation;segmentation
8,SlicerAutomatedDentalTools,3D Slicer extension for automated dental image analysis,"A 3D Slicer extension providing automated tools for dental CBCT analysis, including segmentation and landmark detection.",H1;H1-01,segmentation;image_analysis,solver,Python,https://github.com/DCBIA-OrthoLab/SlicerAutomatedDentalTools,,NOASSERTION,3d-slicer;dental;segmentation;cbct
9,picai_prep,Preprocessing library for 3D prostate MRI data,"A Python library designed for preprocessing 3D medical images (specifically MRI) for prostate cancer detection tasks, handling resampling and standardization.",H1;H1-01,preprocessing;normalization,library,Python,https://github.com/DIAGNijmegen/picai_prep,,Apache-2.0,mri;prostate-cancer;preprocessing;medical-imaging
10,rse-grand-challenge-metrics,Utilities for creating evaluation metrics for Grand Challenge competitions,A library (evalutils) to assist in creating evaluation containers and metrics for medical imaging challenges hosted on grand-challenge.org.,H1;H1-01,evaluation;metrics,library,Python,https://github.com/DIAGNijmegen/rse-grand-challenge-metrics,,MIT,evaluation;metrics;grand-challenge;medical-imaging
11,DICOMweb-js,JavaScript client for DICOM Web Services,"A JavaScript client library for consuming DICOM Web Services (QIDO-RS, WADO-RS, STOW-RS), enabling web-based medical imaging applications.",H1;H1-01,data_io;connectivity,library,TypeScript,https://github.com/DICOMcloud/DICOMweb-js,,MIT,dicomweb;javascript;medical-imaging;web-client
