id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,LB-t,Multi-threaded object-oriented LBM CFD solver for 3D incompressible flows,"A computational fluid dynamics code implementing the Lattice-Boltzmann method (LBM) for three-dimensional incompressible fluid flow. It supports general lattices (D2Q9, D3Q15, etc.) and is written in C++17 with OpenMP parallelization.",P1;P1-01,simulation;solver,solver,C++,https://github.com/2b-t/LB-t,,MIT,cfd;lbm;lattice-boltzmann;openmp;cpp
2,PeleC,AMR code for compressible reacting flow simulations,"An adaptive mesh refinement (AMR) solver for compressible reacting flows, built on the AMReX framework. It is designed for high-performance simulations of combustion and compressible fluid dynamics.",P1;P1-01,simulation;solver,solver,C++,https://github.com/AMReX-Combustion/PeleC,https://amrex-combustion.github.io/PeleC/,NOASSERTION,amr;combustion;compressible-flow;cfd;amrex
3,CAMR,AMR code for compressible flow simulation,"A compressible flow solver utilizing adaptive mesh refinement (AMR), part of the AMReX-Fluids ecosystem. It serves as a core component for simulating compressible fluid dynamics phenomena.",P1;P1-01,simulation;solver,solver,C++,https://github.com/AMReX-Fluids/CAMR,,None,amr;compressible-flow;cfd;amrex
4,IAMR,Parallel AMR code for variable-density incompressible Navier-Stokes equations,"A parallel, adaptive mesh refinement (AMR) code that solves the variable-density incompressible Navier-Stokes equations. It is built on the AMReX framework and is suitable for large-scale fluid simulations.",P1;P1-01,simulation;solver,solver,C++,https://github.com/AMReX-Fluids/IAMR,https://amrex-fluids.github.io/IAMR/,None,amr;incompressible-flow;navier-stokes;cfd;amrex
5,incflo,Incompressible Navier-Stokes solver for complex geometries,"An incompressible Navier-Stokes solver designed for complex geometries, leveraging the AMReX framework for adaptive mesh refinement. It is often used in coupled multi-physics simulations.",P1;P1-01,simulation;solver,solver,C++,https://github.com/AMReX-Fluids/incflo,https://amrex-fluids.github.io/incflo/,BSD-3-Clause,cfd;incompressible-flow;complex-geometry;amrex
6,Basilisk (Astrodynamics),Astrodynamics simulation framework,A modular and fast astrodynamics simulation framework capable of simulating complex spacecraft dynamics and control systems. Note: This is distinct from the CFD solver also named Basilisk.,Astrodynamics,simulation;modeling,framework,C,https://github.com/AVSLab/basilisk,http://hanspeterschaub.info/basilisk,ISC,astrodynamics;spacecraft;simulation;control-systems
7,bsk_rl,RL environments and tools for spacecraft autonomy research,"A library providing Reinforcement Learning (RL) environments and tools for spacecraft autonomy research, built on top of the Basilisk astrodynamics framework.",Astrodynamics;AI4S,simulation;modeling,library,Python,https://github.com/AVSLab/bsk_rl,,MIT,reinforcement-learning;spacecraft;autonomy;basilisk
8,DLBFoam,Dynamic load balancing model for OpenFOAM,"An open-source dynamic load balancing library for OpenFOAM, specifically optimized for fast reacting flow simulations with uneven computational loads.",P1;P1-01,simulation;hpc_optimization,library,C,https://github.com/Aalto-CFD/DLBFoam,,GPL-3.0,openfoam;load-balancing;hpc;cfd;reacting-flow
9,AMR-LBM-OpenMP-2D,AMR-LBM solver for multiphase flows,"A numerical simulation tool utilizing the Lattice-Boltzmann Method (LBM) with Adaptive Mesh Refinement (AMR) for multiphase flows, parallelized with OpenMP.",P1;P1-01,simulation;solver,solver,Fortran,https://github.com/AbbasHub/AMR-LBM-OpenMP-2D,,GPL-3.0,lbm;amr;multiphase-flow;openmp;cfd
10,Improved_Phase-Field_LBM_2D,Improved conservative phase-field LBM code for multiphase flows,A Fortran implementation of an improved conservative phase-field Lattice Boltzmann Method for simulating multiphase flows in 2D periodic domains.,P1;P1-01,simulation;solver,solver,Fortran,https://github.com/AbbasHub/Improved_Phase-Field_LBM_2D,,GPL-3.0,lbm;phase-field;multiphase-flow;cfd
11,flowTorch,Library for analysis and reduced-order modeling of fluid flows,"A Python library designed for the analysis and reduced-order modeling (ROM) of fluid flow data, integrating with PyTorch for machine learning applications in fluid dynamics.",P1;AI4S,analysis;modeling,library,Python,https://github.com/AndreWeiner/flowtorch,https://flowtorch.readthedocs.io/,GPL-3.0,rom;fluid-dynamics;pytorch;reduced-order-modeling
12,pimpleTKEBudgetFoam,OpenFOAM solver for runtime turbulence statistics,"An OpenFOAM solver extension to calculate resolved Reynolds stress, turbulent kinetic energy, and dissipation rate at runtime during Large Eddy Simulations (LES).",P1;P1-01,simulation;analysis,solver,C++,https://github.com/AndreaDesan/pimpleTKEBudgetFoam,,GPL-3.0,openfoam;les;turbulence;cfd
13,Omega2D,2D flow solver using vortex particle and boundary element methods,"A two-dimensional fluid flow solver featuring a GUI, utilizing vortex particle methods and boundary element methods for simulation.",P1;P1-01,simulation;solver,solver,C++,https://github.com/Applied-Scientific-Research/Omega2D,,GPL-3.0,vortex-method;bem;cfd;2d-flow
14,XLB,Accelerated Lattice Boltzmann for Physics-based ML,"A high-performance, differentiable Lattice Boltzmann Method (LBM) solver implemented in JAX, designed for physics-based machine learning and inverse design problems.",P1;P1-01;AI4S,simulation;modeling,library,Python,https://github.com/Autodesk/XLB,,NOASSERTION,lbm;jax;differentiable-physics;cfd;machine-learning
15,VISCOPLASTIC-LBM,GPU-accelerated LBM software for flow simulation,"A Lattice Boltzmann Method (LBM) software package for fluid flow simulation, featuring GPU acceleration for high performance.",P1;P1-01,simulation;solver,solver,Cuda,https://github.com/CERNN/VISCOPLASTIC-LBM,,GPL-2.0,lbm;gpu;cuda;cfd
