id,name,one_line_profile,detailed_description,domains,subtask_category,application_level,primary_language,repo_url,help_website,license,tags
1,PiFold,Effective and efficient protein inverse folding model,"The official implementation of PiFold, a method for protein inverse folding (designing sequences for a given backbone structure) presented at ICLR 2023.",S1;S1-01,inverse_folding;protein_design,solver,Python,https://github.com/A4Bio/PiFold,,MIT,protein-design;inverse-folding;deep-learning
2,RFold,RNA secondary structure prediction using probabilistic matching,"Official implementation of RFold (ICML'24), a method for deciphering RNA secondary structure prediction through a probabilistic K-Rook matching perspective.",S1;S1-01,rna_structure_prediction;secondary_structure,solver,Python,https://github.com/A4Bio/RFold,,None,rna;structure-prediction;deep-learning
3,dyAb,Flow matching for flexible antibody design,"Official implementation of dyAb (AAAI'25), utilizing flow matching for flexible antibody design with AlphaFold-driven pre-binding antigen conditioning.",S1;S1-01,antibody_design;protein_design,solver,Python,https://github.com/A4Bio/dyAb,,MIT,antibody;generative-model;flow-matching
4,Alphafold2import,PyMOL plugin to import AlphaFold2 models,A PyMOL plugin that facilitates the fetching and importing of AlphaFold2 predicted models hosted by EMBL directly into the PyMOL environment.,S1;S1-01,visualization;data_import,library,Python,https://github.com/APAJanssen/Alphafold2import,,None,pymol-plugin;alphafold;visualization
5,AlphaFold-MCP-Server,Model Context Protocol server for AlphaFold Database,"A Model Context Protocol (MCP) server that provides programmatic access to the AlphaFold Protein Structure Database, enabling LLM agents or other tools to query protein structure data.",S1;S1-01,data_access;database_interface,service,JavaScript,https://github.com/Augmented-Nature/AlphaFold-MCP-Server,,MIT,alphafold-db;mcp;llm-agent
6,PriFold,RNA secondary structure prediction with biological priors,"Official implementation of the AAAI'25 paper 'PriFold', which improves RNA secondary structure predictions by incorporating biological priors.",S1;S1-01,rna_structure_prediction,solver,Python,https://github.com/BEAM-Labs/PriFold,,MIT,rna;structure-prediction;aaai-2025
7,IntaRNA,Efficient RNA target prediction tool,A tool for efficient prediction of RNA-RNA interactions incorporating accessibility of interaction sites and seed regions.,S1;S1-01,interaction_prediction;rna_analysis,solver,C++,https://github.com/BackofenLab/IntaRNA,http://rna.informatik.uni-freiburg.de/IntaRNA,NOASSERTION,rna;interaction;bioinformatics
8,RNA-Playground,Interactive visualization of RNA bioinformatics algorithms,"A web-based tool to visualize the inner workings of RNA bioinformatics algorithms for structure prediction, interaction prediction, and sequence alignment.",S1;S1-01,visualization;education,platform,JavaScript,https://github.com/BackofenLab/RNA-Playground,,None,rna;visualization;education
9,PolyFold,Interactive visual simulator for protein folding,"An interactive visual simulator for distance-based protein folding, allowing users to explore folding dynamics and constraints.",S1;S1-01,simulation;visualization,solver,Java,https://github.com/Bhattacharya-Lab/PolyFold,,GPL-3.0,protein-folding;simulation;education
10,ProRNA3D-single,Single-sequence protein-RNA complex structure prediction,A tool for predicting protein-RNA complex structures from single sequences using biological language models.,S1;S1-01,complex_prediction;protein_rna_interaction,solver,Python,https://github.com/Bhattacharya-Lab/ProRNA3D-single,,GPL-3.0,protein-rna;structure-prediction;language-models
11,DIPS-Plus,Dataset and tools for protein interface prediction,The Enhanced Database of Interacting Protein Structures (DIPS-Plus) designed for training and evaluating interface prediction models.,S1;S1-01,interface_prediction;dataset_generation,dataset,Python,https://github.com/BioinfoMachineLearning/DIPS-Plus,,GPL-3.0,protein-interface;dataset;deep-learning
12,DProQ,Protein complex structure quality assessment,A deep learning method for predicting the quality of protein complex structures (QA/Model Quality Assessment).,S1;S1-01,quality_assessment;model_evaluation,solver,Python,https://github.com/BioinfoMachineLearning/DProQ,,MIT,quality-assessment;protein-complex;deep-learning
13,MULTICOM3,Protein tertiary and quaternary structure prediction system,"A software system for improving AlphaFold2-based protein structure prediction, ranked among the best predictors in CASP15 (2022).",S1;S1-01,structure_prediction;multimer_prediction,solver,Python,https://github.com/BioinfoMachineLearning/MULTICOM3,,None,casp15;alphafold-optimization;structure-prediction
14,MULTICOM4,Advanced protein structure prediction system,"The successor to MULTICOM3, a protein structure prediction system developed by the Bioinformatics and Machine Learning Lab at the University of Missouri.",S1;S1-01,structure_prediction,solver,Python,https://github.com/BioinfoMachineLearning/MULTICOM4,,NOASSERTION,structure-prediction;deep-learning
